time,time_since_command,joint_name,commanded_norm,actual_norm,commanded_deg,actual_deg,raw_ticks,speed_raw,load_raw,current_raw,voltage,temperature,experiment_id,load_condition,measured_vel_deg_s
0.001092,4e-06,elbow_flex,-30,0.0898,-29.373,0.0879,1973,0,20,0,12.2,35,ramp,no_load,0.0
0.01142,0.010331,elbow_flex,-30,0.0898,-29.373,0.0879,1973,0,24,0,12.2,35,ramp,no_load,0.0
0.022702,0.021614,elbow_flex,-30,0.0898,-29.373,0.0879,1973,0,68,2,12.2,35,ramp,no_load,0.0
0.033266,0.032178,elbow_flex,-30,0.0898,-29.373,0.0879,1973,0,100,3,12.2,35,ramp,no_load,0.0
0.043721,0.042632,elbow_flex,-30,0.0,-29.373,0.0,1972,0,176,8,12.2,35,ramp,no_load,-8.407
0.054029,0.052941,elbow_flex,-30,-0.0898,-29.373,-0.0879,1971,-100,228,9,12.2,35,ramp,no_load,-8.527
0.06483,0.063742,elbow_flex,-30,-0.2693,-29.373,-0.2637,1969,-100,312,17,12.2,35,ramp,no_load,-16.276
0.075398,0.07431,elbow_flex,-30,-0.8977,-29.373,-0.8789,1962,-300,360,16,12.1,35,ramp,no_load,-58.213
0.085959,0.084871,elbow_flex,-30,-1.7953,-29.373,-1.7578,1952,-300,420,22,12.1,35,ramp,no_load,-83.221
0.096347,0.095259,elbow_flex,-30,-2.693,-29.373,-2.6367,1942,-900,468,25,12.1,35,ramp,no_load,-84.607
0.106974,0.105885,elbow_flex,-30,-3.86,-29.373,-3.7793,1929,-900,528,28,12.1,35,ramp,no_load,-107.519
0.117541,0.116453,elbow_flex,-30,-5.1167,-29.373,-5.0098,1915,-1200,612,48,12.1,35,ramp,no_load,-116.447
0.127884,0.126795,elbow_flex,-30,-6.7325,-29.373,-6.5918,1897,-1200,656,44,12.1,35,ramp,no_load,-152.954
0.138554,0.137466,elbow_flex,-30,-8.4381,-29.373,-8.2617,1878,-1550,636,27,12.1,35,ramp,no_load,-156.504
0.148718,0.147629,elbow_flex,-30,-10.1436,-29.373,-9.9316,1859,-1550,644,26,12.2,35,ramp,no_load,-164.296
0.158956,0.157868,elbow_flex,-30,-12.0287,-29.373,-11.7773,1838,-1850,568,5,12.2,35,ramp,no_load,-180.279
