time,time_since_command,joint_name,commanded_norm,actual_norm,commanded_deg,actual_deg,raw_ticks,speed_raw,load_raw,current_raw,voltage,temperature,experiment_id,load_condition,measured_vel_deg_s
0.000892,3e-06,gripper,20.0,50.2886,27.4043,68.9062,2606,0,32,1,12.3,39,ramp,no_load,0.0
0.011539,0.01065,gripper,20.0,50.2886,27.4043,68.9062,2606,0,48,2,12.3,39,ramp,no_load,0.0
0.022236,0.021347,gripper,20.0,50.2886,27.4043,68.9062,2606,0,68,3,12.2,39,ramp,no_load,0.0
0.032794,0.031906,gripper,20.0,50.2886,27.4043,68.9062,2606,0,132,6,12.2,39,ramp,no_load,0.0
0.043444,0.042555,gripper,20.0,50.1604,27.4043,68.7305,2604,-50,168,6,12.3,39,ramp,no_load,-16.498
0.054069,0.053181,gripper,20.0,49.9679,27.4043,68.4668,2601,-50,228,10,12.2,39,ramp,no_load,-24.819
0.064175,0.063287,gripper,20.0,49.6472,27.4043,68.0273,2596,-350,268,11,12.3,39,ramp,no_load,-43.489
0.074876,0.073988,gripper,20.0,49.1341,27.4043,67.3242,2588,-350,340,17,12.2,39,ramp,no_load,-65.704
0.085356,0.084468,gripper,20.0,48.6209,27.4043,66.6211,2580,-700,392,20,12.3,39,ramp,no_load,-67.09
0.095933,0.095045,gripper,20.0,47.8512,27.4043,65.5664,2568,-700,448,23,12.2,39,ramp,no_load,-99.716
0.106723,0.105835,gripper,20.0,46.9532,27.4043,64.3359,2554,-1050,500,22,12.3,39,ramp,no_load,-114.041
0.117307,0.116418,gripper,20.0,45.9269,27.4043,62.9297,2538,-1050,500,15,12.3,39,ramp,no_load,-132.861
0.128355,0.127466,gripper,20.0,44.7723,27.4043,61.3477,2520,-1450,500,9,12.2,39,ramp,no_load,-143.193
0.138788,0.1379,gripper,20.0,43.746,27.4043,59.9414,2504,-1600,500,10,12.2,39,ramp,no_load,-134.793
0.149125,0.148236,gripper,20.0,42.5914,27.4043,58.3594,2486,-1600,500,8,12.3,39,ramp,no_load,-153.042
0.159324,0.158436,gripper,20.0,41.501,27.4043,56.8652,2469,-1650,500,10,12.3,39,ramp,no_load,-146.505
0.169558,0.16867,gripper,20.0,40.3464,27.4043,55.2832,2451,-1650,500,7,12.3,39,ramp,no_load,-154.583
