time,time_since_command,joint_name,commanded_norm,actual_norm,commanded_deg,actual_deg,raw_ticks,speed_raw,load_raw,current_raw,voltage,temperature,experiment_id,load_condition,measured_vel_deg_s
0.000534,2e-06,gripper,50.0,50.3528,68.5107,68.9941,2607,0,32,1,12.3,38,reverse,no_load,0.0
0.01106,0.010528,gripper,50.0,50.3528,68.5107,68.9941,2607,0,32,1,12.3,39,reverse,no_load,0.0
0.022012,0.02148,gripper,50.0,50.3528,68.5107,68.9941,2607,0,32,0,12.3,39,reverse,no_load,0.0
0.032775,0.032243,gripper,50.0,50.3528,68.5107,68.9941,2607,0,32,0,12.3,39,reverse,no_load,0.0
0.042924,0.042392,gripper,50.0,50.3528,68.5107,68.9941,2607,0,32,1,12.3,39,reverse,no_load,0.0
0.053528,0.052996,gripper,50.0,50.3528,68.5107,68.9941,2607,0,32,1,12.3,39,reverse,no_load,0.0
0.063792,0.06326,gripper,50.0,50.3528,68.5107,68.9941,2607,0,32,0,12.3,39,reverse,no_load,0.0
0.074429,0.073897,gripper,50.0,50.3528,68.5107,68.9941,2607,0,32,1,12.3,39,reverse,no_load,0.0
0.084723,0.08419,gripper,50.0,50.3528,68.5107,68.9941,2607,0,32,1,12.3,39,reverse,no_load,0.0
0.094911,0.094379,gripper,50.0,50.3528,68.5107,68.9941,2607,0,32,1,12.3,39,reverse,no_load,0.0
0.105033,0.104501,gripper,50.0,50.3528,68.5107,68.9941,2607,0,32,0,12.3,39,reverse,no_load,0.0
0.115323,0.114791,gripper,50.0,50.3528,68.5107,68.9941,2607,0,32,1,12.3,39,reverse,no_load,0.0
0.12565,0.125118,gripper,50.0,50.3528,68.5107,68.9941,2607,0,32,1,12.3,39,reverse,no_load,0.0
0.136143,0.135611,gripper,50.0,50.3528,68.5107,68.9941,2607,0,32,1,12.3,39,reverse,no_load,0.0
0.146882,0.14635,gripper,50.0,50.3528,68.5107,68.9941,2607,0,32,1,12.3,39,reverse,no_load,0.0
0.157338,0.156806,gripper,50.0,50.3528,68.5107,68.9941,2607,0,32,0,12.3,39,reverse,no_load,0.0
0.167723,0.167191,gripper,50.0,50.3528,68.5107,68.9941,2607,0,32,0,12.3,39,reverse,no_load,0.0
0.178932,0.1784,gripper,50.0,50.3528,68.5107,68.9941,2607,0,32,1,12.3,39,reverse,no_load,0.0
0.189566,0.189034,gripper,50.0,50.3528,68.5107,68.9941,2607,0,32,1,12.3,39,reverse,no_load,0.0
0.200367,0.199835,gripper,50.0,50.3528,68.5107,68.9941,2607,0,32,0,12.3,39,reverse,no_load,0.0
0.210816,0.210284,gripper,50.0,50.3528,68.5107,68.9941,2607,0,32,1,12.3,39,reverse,no_load,0.0
0.221419,0.220886,gripper,50.0,50.3528,68.5107,68.9941,2607,0,32,0,12.3,39,reverse,no_load,0.0
0.232055,0.231523,gripper,50.0,50.3528,68.5107,68.9941,2607,0,32,1,12.3,39,reverse,no_load,0.0
0.242145,0.241613,gripper,50.0,50.3528,68.5107,68.9941,2607,0,32,1,12.3,39,reverse,no_load,0.0
0.252519,0.251987,gripper,50.0,50.3528,68.5107,68.9941,2607,0,32,0,12.3,39,reverse,no_load,0.0
0.262681,0.262149,gripper,50.0,50.2886,68.5107,68.9062,2606,0,28,0,12.3,39,reverse,no_load,-8.65
0.273132,0.2726,gripper,50.0,50.2886,68.5107,68.9062,2606,0,24,0,12.3,39,reverse,no_load,0.0
0.283566,0.283034,gripper,50.0,50.2886,68.5107,68.9062,2606,-50,28,1,12.2,39,reverse,no_load,0.0
0.293764,0.293232,gripper,50.0,50.2886,68.5107,68.9062,2606,-50,28,1,12.3,39,reverse,no_load,0.0
0.304124,0.303592,gripper,50.0,50.2886,68.5107,68.9062,2606,0,28,0,12.3,39,reverse,no_load,0.0
0.314296,0.313764,gripper,50.0,50.2886,68.5107,68.9062,2606,0,28,1,12.3,39,reverse,no_load,0.0
0.324658,0.324125,gripper,50.0,50.2886,68.5107,68.9062,2606,0,28,1,12.3,39,reverse,no_load,0.0
0.334985,0.334453,gripper,50.0,50.2886,68.5107,68.9062,2606,0,28,0,12.3,39,reverse,no_load,0.0
0.345558,0.345026,gripper,50.0,50.2886,68.5107,68.9062,2606,0,28,0,12.3,39,reverse,no_load,0.0
0.356223,0.355691,gripper,50.0,50.2886,68.5107,68.9062,2606,0,28,0,12.3,39,reverse,no_load,0.0
