time,time_since_command,joint_name,commanded_norm,actual_norm,commanded_deg,actual_deg,raw_ticks,speed_raw,load_raw,current_raw,voltage,temperature,experiment_id,load_condition,measured_vel_deg_s
0.001107,4e-06,shoulder_lift,-30,1.0085,-33.9873,1.1426,2044,0,68,3,12.3,36,ramp,no_load,0.0
0.011448,0.010345,shoulder_lift,-30,1.0085,-33.9873,1.1426,2044,0,76,3,12.3,37,ramp,no_load,0.0
0.022441,0.021338,shoulder_lift,-30,0.931,-33.9873,1.0547,2043,-50,108,5,12.2,36,ramp,no_load,-7.996
0.033287,0.032184,shoulder_lift,-30,0.931,-33.9873,1.0547,2043,-50,144,6,12.2,36,ramp,no_load,0.0
0.043922,0.042819,shoulder_lift,-30,0.7758,-33.9873,0.8789,2041,-50,216,14,12.3,36,ramp,no_load,-16.53
0.054145,0.053042,shoulder_lift,-30,0.6206,-33.9873,0.7031,2039,-50,256,16,12.2,36,ramp,no_load,-17.197
0.064713,0.06361,shoulder_lift,-30,0.3103,-33.9873,0.3516,2035,-250,332,26,12.2,36,ramp,no_load,-33.261
0.07544,0.074337,shoulder_lift,-30,-0.1552,-33.9873,-0.1758,2029,-250,392,32,12.2,36,ramp,no_load,-49.166
0.085992,0.084889,shoulder_lift,-30,-0.6206,-33.9873,-0.7031,2023,-550,460,45,12.2,36,ramp,no_load,-49.972
0.096763,0.09566,shoulder_lift,-30,-1.3189,-33.9873,-1.4941,2014,-550,528,51,12.1,36,ramp,no_load,-73.438
0.107368,0.106265,shoulder_lift,-30,-2.1722,-33.9873,-2.4609,2003,-800,616,78,12.1,36,ramp,no_load,-91.165
0.117593,0.11649,shoulder_lift,-30,-3.1032,-33.9873,-3.5156,1991,-800,684,97,12.1,36,ramp,no_load,-103.149
0.128167,0.127064,shoulder_lift,-30,-4.1893,-33.9873,-4.7461,1977,-1100,780,123,12.0,36,ramp,no_load,-116.37
0.138913,0.137811,shoulder_lift,-30,-5.353,-33.9873,-6.0645,1962,-1100,832,131,12.0,36,ramp,no_load,-122.688
0.149765,0.148662,shoulder_lift,-30,-6.827,-33.9873,-7.7344,1943,-1450,848,123,12.1,36,ramp,no_load,-153.879
0.160536,0.159433,shoulder_lift,-30,-8.3786,-33.9873,-9.4922,1923,-1800,868,93,12.0,36,ramp,no_load,-163.197
0.171082,0.169979,shoulder_lift,-30,-10.1629,-33.9873,-11.5137,1900,-1800,796,75,12.1,36,ramp,no_load,-191.684
0.18121,0.180107,shoulder_lift,-30,-11.7921,-33.9873,-13.3594,1879,-2050,784,57,12.2,36,ramp,no_load,-182.237
0.191847,0.190744,shoulder_lift,-30,-13.4213,-33.9873,-15.2051,1858,-2050,704,41,12.2,36,ramp,no_load,-173.517
0.202011,0.200908,shoulder_lift,-30,-15.128,-33.9873,-17.1387,1836,-2200,612,17,12.3,36,ramp,no_load,-190.24
0.212543,0.21144,shoulder_lift,-30,-16.9123,-33.9873,-19.1602,1813,-2200,568,7,12.3,36,ramp,no_load,-191.939
0.223226,0.222123,shoulder_lift,-30,-18.7742,-33.9873,-21.2695,1789,-2100,472,0,12.3,36,ramp,no_load,-197.445
0.233832,0.232729,shoulder_lift,-30,-20.2483,-33.9873,-22.9395,1770,-2100,408,0,12.3,36,ramp,no_load,-157.458
0.244039,0.242936,shoulder_lift,-30,-21.7998,-33.9873,-24.6973,1750,-1950,300,0,12.3,36,ramp,no_load,-172.215
0.255249,2e-06,shoulder_lift,-28,-22.9635,-31.7215,-26.0156,1735,-1950,240,0,12.3,36,ramp,no_load,-117.6
0.266315,0.011068,shoulder_lift,-28,-23.8945,-31.7215,-27.0703,1723,-1400,216,0,12.3,36,ramp,no_load,-95.31
0.277123,0.021875,shoulder_lift,-28,-24.7479,-31.7215,-28.0371,1712,-1400,152,0,12.3,36,ramp,no_load,-89.452
0.287285,0.032037,shoulder_lift,-28,-25.5237,-31.7215,-28.916,1702,-1000,60,0,12.3,36,ramp,no_load,-86.489
0.297912,0.042665,shoulder_lift,-28,-26.1443,-31.7215,-29.6191,1694,-1000,1052,1,12.3,36,ramp,no_load,-66.162
0.309117,0.05387,shoulder_lift,-28,-26.5322,-31.7215,-30.0586,1689,-800,1076,1,12.3,36,ramp,no_load,-39.224
0.319719,0.064471,shoulder_lift,-28,-26.6874,-31.7215,-30.2344,1687,-300,1084,1,12.3,36,ramp,no_load,-16.582
0.330363,0.075115,shoulder_lift,-28,-26.7649,-31.7215,-30.3223,1686,-300,44,1,12.3,36,ramp,no_load,-8.258
0.340901,0.085654,shoulder_lift,-28,-26.8425,-31.7215,-30.4102,1685,-100,36,0,12.3,36,ramp,no_load,-8.341
0.351033,0.095786,shoulder_lift,-28,-26.9201,-31.7215,-30.498,1684,-100,60,0,12.3,36,ramp,no_load,-8.666
0.361764,0.106516,shoulder_lift,-28,-26.9201,-31.7215,-30.498,1684,-50,60,1,12.3,36,ramp,no_load,0.0
0.372255,0.117007,shoulder_lift,-28,-26.9201,-31.7215,-30.498,1684,-50,68,0,12.3,36,ramp,no_load,0.0
0.383363,0.128116,shoulder_lift,-28,-26.9977,-31.7215,-30.5859,1683,0,60,0,12.3,36,ramp,no_load,-7.913
0.394082,0.138835,shoulder_lift,-28,-26.9977,-31.7215,-30.5859,1683,0,60,0,12.3,36,ramp,no_load,0.0
0.404745,0.149498,shoulder_lift,-28,-26.9977,-31.7215,-30.5859,1683,-50,64,1,12.3,36,ramp,no_load,0.0
0.415768,0.160521,shoulder_lift,-28,-27.0753,-31.7215,-30.6738,1682,-50,60,0,12.3,36,ramp,no_load,-7.974
0.426387,0.171139,shoulder_lift,-28,-27.0753,-31.7215,-30.6738,1682,-50,52,0,12.3,36,ramp,no_load,0.0
0.436494,0.181247,shoulder_lift,-28,-27.1528,-31.7215,-30.7617,1681,-50,52,1,12.3,36,ramp,no_load,-8.697
0.446939,0.191691,shoulder_lift,-28,-27.2304,-31.7215,-30.8496,1680,-100,44,0,12.3,36,ramp,no_load,-8.416
0.457913,0.202665,shoulder_lift,-28,-27.3856,-31.7215,-31.0254,1678,-100,36,0,12.3,36,ramp,no_load,-16.02
0.468476,0.213228,shoulder_lift,-28,-27.3856,-31.7215,-31.0254,1678,-100,36,0,12.3,36,ramp,no_load,0.0
0.479029,0.223782,shoulder_lift,-28,-27.4631,-31.7215,-31.1133,1677,-50,32,1,12.3,36,ramp,no_load,-8.329
0.489779,0.234532,shoulder_lift,-28,-27.4631,-31.7215,-31.1133,1677,-50,36,0,12.3,36,ramp,no_load,0.0
0.500807,0.245559,shoulder_lift,-28,-27.4631,-31.7215,-31.1133,1677,0,36,1,12.4,36,ramp,no_load,0.0
0.511999,1e-06,shoulder_lift,-26,-27.4631,-29.4557,-31.1133,1677,0,40,1,12.3,36,ramp,no_load,0.0
0.522996,0.010999,shoulder_lift,-26,-27.4631,-29.4557,-31.1133,1677,0,32,0,12.3,36,ramp,no_load,0.0
0.533575,0.021577,shoulder_lift,-26,-27.3856,-29.4557,-31.0254,1678,0,0,0,12.3,36,ramp,no_load,8.309
0.544598,0.0326,shoulder_lift,-26,-27.3856,-29.4557,-31.0254,1678,50,1096,2,12.3,36,ramp,no_load,0.0
0.555226,0.043228,shoulder_lift,-26,-27.308,-29.4557,-30.9375,1679,50,1116,2,12.2,36,ramp,no_load,8.271
0.565372,0.053375,shoulder_lift,-26,-27.2304,-29.4557,-30.8496,1680,50,1136,3,12.3,36,ramp,no_load,8.664
0.575971,0.063974,shoulder_lift,-26,-27.0753,-29.4557,-30.6738,1682,50,1132,2,12.3,36,ramp,no_load,16.586
0.586193,0.074196,shoulder_lift,-26,-26.9201,-29.4557,-30.498,1684,200,1080,0,12.3,36,ramp,no_load,17.198
0.59673,0.084733,shoulder_lift,-26,-26.9201,-29.4557,-30.498,1684,200,1080,0,12.3,36,ramp,no_load,0.0
0.607357,0.095359,shoulder_lift,-26,-26.7649,-29.4557,-30.3223,1686,100,1068,0,12.3,36,ramp,no_load,16.533
0.618029,0.106032,shoulder_lift,-26,-26.6098,-29.4557,-30.1465,1688,100,1060,0,12.3,36,ramp,no_load,16.473
0.628655,0.116658,shoulder_lift,-26,-26.4546,-29.4557,-29.9707,1690,150,1044,0,12.3,36,ramp,no_load,16.544
0.638827,0.126829,shoulder_lift,-26,-26.2995,-29.4557,-29.7949,1692,200,20,0,12.3,36,ramp,no_load,17.283
0.650265,0.138267,shoulder_lift,-26,-26.2995,-29.4557,-29.7949,1692,200,0,0,12.3,36,ramp,no_load,0.0
0.660374,0.148377,shoulder_lift,-26,-26.2219,-29.4557,-29.707,1693,50,20,0,12.3,36,ramp,no_load,8.695
0.670982,0.158984,shoulder_lift,-26,-26.2219,-29.4557,-29.707,1693,50,1044,0,12.3,36,ramp,no_load,0.0
0.681557,0.16956,shoulder_lift,-26,-26.2219,-29.4557,-29.707,1693,0,1048,0,12.3,36,ramp,no_load,0.0
0.692186,0.180189,shoulder_lift,-26,-26.1443,-29.4557,-29.6191,1694,0,1044,0,12.3,36,ramp,no_load,8.27
0.70295,0.190953,shoulder_lift,-26,-26.1443,-29.4557,-29.6191,1694,50,0,0,12.4,36,ramp,no_load,0.0
0.71358,0.201583,shoulder_lift,-26,-26.1443,-29.4557,-29.6191,1694,50,0,0,12.3,36,ramp,no_load,0.0
0.724628,0.212631,shoulder_lift,-26,-26.0667,-29.4557,-29.5312,1695,0,0,0,12.3,36,ramp,no_load,7.956
0.735473,0.223475,shoulder_lift,-26,-26.0667,-29.4557,-29.5312,1695,0,0,0,12.3,36,ramp,no_load,0.0
0.746571,0.234573,shoulder_lift,-26,-26.0667,-29.4557,-29.5312,1695,50,20,0,12.3,36,ramp,no_load,0.0
0.757233,0.245236,shoulder_lift,-26,-26.0667,-29.4557,-29.5312,1695,50,20,0,12.3,36,ramp,no_load,0.0
0.768819,1e-06,shoulder_lift,-24,-26.0667,-27.1898,-29.5312,1695,0,0,0,12.3,36,ramp,no_load,0.0
0.779479,0.010661,shoulder_lift,-24,-26.0667,-27.1898,-29.5312,1695,0,1044,1,12.3,36,ramp,no_load,0.0
0.790489,0.021671,shoulder_lift,-24,-26.0667,-27.1898,-29.5312,1695,0,1072,1,12.3,36,ramp,no_load,0.0
0.801168,0.032349,shoulder_lift,-24,-26.0667,-27.1898,-29.5312,1695,0,1152,5,12.3,36,ramp,no_load,0.0
0.812302,0.043483,shoulder_lift,-24,-26.0667,-27.1898,-29.5312,1695,0,1180,4,12.3,36,ramp,no_load,0.0
0.822935,0.054117,shoulder_lift,-24,-25.9116,-27.1898,-29.3555,1697,100,1164,1,12.3,36,ramp,no_load,16.524
0.833046,0.064227,shoulder_lift,-24,-25.6788,-27.1898,-29.0918,1700,100,1156,2,12.3,36,ramp,no_load,26.081
0.843668,0.07485,shoulder_lift,-24,-25.5237,-27.1898,-28.916,1702,200,1104,0,12.3,36,ramp,no_load,16.551
