time,time_since_command,joint_name,commanded_norm,actual_norm,commanded_deg,actual_deg,raw_ticks,speed_raw,load_raw,current_raw,voltage,temperature,experiment_id,load_condition,measured_vel_deg_s
0.0028,5e-06,shoulder_pan,-30,0.0986,-26.7363,0.0879,2072,0,20,0,12.2,34,ramp,no_load,0.0
0.013307,0.010512,shoulder_pan,-30,0.0986,-26.7363,0.0879,2072,0,40,1,12.2,34,ramp,no_load,0.0
0.023475,0.02068,shoulder_pan,-30,0.0986,-26.7363,0.0879,2072,0,60,2,12.2,34,ramp,no_load,0.0
0.034213,0.031418,shoulder_pan,-30,0.0986,-26.7363,0.0879,2072,0,132,6,12.2,34,ramp,no_load,0.0
0.045208,0.042413,shoulder_pan,-30,0.0986,-26.7363,0.0879,2072,0,180,9,12.2,34,ramp,no_load,0.0
0.055771,0.052976,shoulder_pan,-30,0.0,-26.7363,0.0,2071,0,268,14,12.2,34,ramp,no_load,-8.321
0.066246,0.063451,shoulder_pan,-30,-0.3945,-26.7363,-0.3516,2067,-100,308,16,12.2,34,ramp,no_load,-33.566
0.076993,0.074198,shoulder_pan,-30,-1.2821,-26.7363,-1.1426,2058,-100,356,18,12.1,34,ramp,no_load,-73.602
0.087764,0.084969,shoulder_pan,-30,-2.1696,-26.7363,-1.9336,2049,-650,408,22,12.2,34,ramp,no_load,-73.438
0.09796,0.095165,shoulder_pan,-30,-3.1558,-26.7363,-2.8125,2039,-950,476,27,12.2,34,ramp,no_load,-86.2
0.108414,0.105618,shoulder_pan,-30,-4.4379,-26.7363,-3.9551,2026,-950,536,37,12.2,34,ramp,no_load,-109.298
0.118811,0.116015,shoulder_pan,-30,-5.9172,-26.7363,-5.2734,2011,-1350,596,38,12.1,34,ramp,no_load,-126.796
0.12984,0.127044,shoulder_pan,-30,-7.5937,-26.7363,-6.7676,1994,-1350,628,34,12.2,34,ramp,no_load,-135.479
0.140214,0.137418,shoulder_pan,-30,-9.5661,-26.7363,-8.5254,1974,-1700,600,19,12.2,34,ramp,no_load,-169.443
0.15036,0.147564,shoulder_pan,-30,-11.4398,-26.7363,-10.1953,1955,-1700,600,7,12.2,34,ramp,no_load,-164.587
0.160594,0.157798,shoulder_pan,-30,-13.4122,-26.7363,-11.9531,1935,-1900,516,0,12.2,34,ramp,no_load,-171.761
0.17099,0.168195,shoulder_pan,-30,-15.3846,-26.7363,-13.7109,1915,-1900,488,0,12.2,34,ramp,no_load,-169.084
0.181172,0.178377,shoulder_pan,-30,-17.6529,-26.7363,-15.7324,1892,-2050,396,0,12.2,34,ramp,no_load,-198.537
0.19143,0.188634,shoulder_pan,-30,-19.428,-26.7363,-17.3145,1874,-2050,356,0,12.2,34,ramp,no_load,-154.231
