time,time_since_command,joint_name,commanded_norm,actual_norm,commanded_deg,actual_deg,raw_ticks,speed_raw,load_raw,current_raw,voltage,temperature,experiment_id,load_condition,measured_vel_deg_s
0.002031,6e-06,wrist_flex,-30,1.2093,-28.3447,1.1426,1909,0,68,3,12.3,37,ramp,no_load,0.0
0.012792,0.010767,wrist_flex,-30,1.2093,-28.3447,1.1426,1909,0,80,5,12.3,37,ramp,no_load,0.0
0.02325,0.021226,wrist_flex,-30,1.2093,-28.3447,1.1426,1909,0,108,5,12.3,37,ramp,no_load,0.0
0.033584,0.031559,wrist_flex,-30,1.2093,-28.3447,1.1426,1909,0,144,10,12.2,37,ramp,no_load,0.0
0.043911,0.041886,wrist_flex,-30,1.0233,-28.3447,0.9668,1907,0,212,10,12.2,37,ramp,no_load,-17.023
0.054412,0.052388,wrist_flex,-30,0.6512,-28.3447,0.6152,1903,-200,252,14,12.2,37,ramp,no_load,-33.483
0.064832,0.062808,wrist_flex,-30,0.186,-28.3447,0.1758,1898,-200,312,21,12.2,37,ramp,no_load,-42.169
0.075054,0.07303,wrist_flex,-30,-0.5581,-28.3447,-0.5273,1890,-550,348,23,12.2,37,ramp,no_load,-68.783
0.086068,0.084044,wrist_flex,-30,-1.3953,-28.3447,-1.3184,1881,-550,432,29,12.2,37,ramp,no_load,-71.827
0.096471,0.094447,wrist_flex,-30,-2.3256,-28.3447,-2.1973,1871,-850,496,34,12.2,37,ramp,no_load,-84.485
0.107038,0.105014,wrist_flex,-30,-3.6279,-28.3447,-3.4277,1857,-850,548,36,12.1,37,ramp,no_load,-116.438
0.117307,0.115283,wrist_flex,-30,-5.0233,-28.3447,-4.7461,1842,-1200,612,41,12.2,37,ramp,no_load,-128.386
0.127726,0.125702,wrist_flex,-30,-6.6977,-28.3447,-6.3281,1824,-1200,652,39,12.1,37,ramp,no_load,-151.838
0.138029,0.136005,wrist_flex,-30,-8.3721,-28.3447,-7.9102,1806,-1600,632,26,12.1,37,ramp,no_load,-153.557
0.148576,0.146552,wrist_flex,-30,-10.4186,-28.3447,-9.8438,1784,-1950,632,22,12.2,37,ramp,no_load,-183.332
0.159323,0.157299,wrist_flex,-30,-12.3721,-28.3447,-11.6895,1763,-1950,560,4,12.2,37,ramp,no_load,-171.741
0.170126,0.168102,wrist_flex,-30,-14.4186,-28.3447,-13.623,1741,-1950,536,6,12.3,37,ramp,no_load,-178.978
0.181038,0.179014,wrist_flex,-30,-16.2791,-28.3447,-15.3809,1721,-1950,480,1,12.2,37,ramp,no_load,-161.098
0.191641,0.189617,wrist_flex,-30,-17.8605,-28.3447,-16.875,1704,-1800,452,0,12.3,37,ramp,no_load,-140.913
0.201964,0.19994,wrist_flex,-30,-19.4419,-28.3447,-18.3691,1687,-1800,388,0,12.2,37,ramp,no_load,-144.735
0.21216,0.210136,wrist_flex,-30,-20.8372,-28.3447,-19.6875,1672,-1550,344,0,12.2,37,ramp,no_load,-129.306
0.223215,0.221191,wrist_flex,-30,-22.1395,-28.3447,-20.918,1658,-1550,252,0,12.3,37,ramp,no_load,-111.307
0.233625,0.231601,wrist_flex,-30,-23.1628,-28.3447,-21.8848,1647,-1250,208,0,12.2,37,ramp,no_load,-92.872
0.24389,0.241866,wrist_flex,-30,-24.0,-28.3447,-22.6758,1638,-1250,176,0,12.3,37,ramp,no_load,-77.058
0.254914,4e-06,wrist_flex,-28,-24.7442,-26.4551,-23.3789,1630,-850,168,1,12.3,37,ramp,no_load,-63.779
0.265315,0.010406,wrist_flex,-28,-25.3023,-26.4551,-23.9063,1624,-850,136,0,12.3,38,ramp,no_load,-50.707
0.275684,0.020775,wrist_flex,-28,-25.7674,-26.4551,-24.3457,1619,-550,104,0,12.2,37,ramp,no_load,-42.376
0.286053,0.031143,wrist_flex,-28,-26.1395,-26.4551,-24.6973,1615,-550,56,0,12.2,37,ramp,no_load,-33.909
0.296757,0.041848,wrist_flex,-28,-26.4186,-26.4551,-24.9609,1612,-450,0,0,12.2,37,ramp,no_load,-24.626
0.307642,0.052732,wrist_flex,-28,-26.5116,-26.4551,-25.0488,1611,-150,1056,0,12.2,37,ramp,no_load,-8.075
0.317735,0.062826,wrist_flex,-28,-26.5116,-26.4551,-25.0488,1611,-150,52,2,12.2,37,ramp,no_load,0.0
0.328439,0.073529,wrist_flex,-28,-26.5116,-26.4551,-25.0488,1611,0,52,1,12.2,37,ramp,no_load,0.0
0.339131,0.084222,wrist_flex,-28,-26.5116,-26.4551,-25.0488,1611,0,76,2,12.2,37,ramp,no_load,0.0
0.349308,0.094399,wrist_flex,-28,-26.5116,-26.4551,-25.0488,1611,0,76,3,12.2,37,ramp,no_load,0.0
0.35951,0.1046,wrist_flex,-28,-26.6047,-26.4551,-25.1367,1610,0,72,2,12.3,37,ramp,no_load,-8.616
0.37013,0.115221,wrist_flex,-28,-26.6977,-26.4551,-25.2246,1609,-50,68,2,12.2,37,ramp,no_load,-8.277
0.380271,0.125362,wrist_flex,-28,-26.6977,-26.4551,-25.2246,1609,-50,60,1,12.3,37,ramp,no_load,0.0
0.390861,0.135952,wrist_flex,-28,-26.7907,-26.4551,-25.3125,1608,-100,56,2,12.2,37,ramp,no_load,-8.3
0.401628,0.146718,wrist_flex,-28,-26.7907,-26.4551,-25.3125,1608,-100,60,2,12.2,37,ramp,no_load,0.0
0.412538,0.157629,wrist_flex,-28,-26.7907,-26.4551,-25.3125,1608,0,64,2,12.3,37,ramp,no_load,0.0
0.423464,0.168555,wrist_flex,-28,-26.7907,-26.4551,-25.3125,1608,0,64,2,12.3,37,ramp,no_load,0.0
0.434018,0.179109,wrist_flex,-28,-26.7907,-26.4551,-25.3125,1608,0,64,2,12.3,38,ramp,no_load,0.0
0.444383,0.189474,wrist_flex,-28,-26.7907,-26.4551,-25.3125,1608,0,64,2,12.2,37,ramp,no_load,0.0
0.454549,0.19964,wrist_flex,-28,-26.7907,-26.4551,-25.3125,1608,0,64,2,12.2,37,ramp,no_load,0.0
0.464674,0.209765,wrist_flex,-28,-26.7907,-26.4551,-25.3125,1608,0,64,2,12.2,37,ramp,no_load,0.0
0.474849,0.21994,wrist_flex,-28,-26.7907,-26.4551,-25.3125,1608,0,64,2,12.2,37,ramp,no_load,0.0
0.485112,0.230203,wrist_flex,-28,-26.7907,-26.4551,-25.3125,1608,0,64,2,12.3,37,ramp,no_load,0.0
0.495668,0.240759,wrist_flex,-28,-26.7907,-26.4551,-25.3125,1608,0,64,2,12.2,37,ramp,no_load,0.0
0.506668,2e-06,wrist_flex,-26,-26.7907,-24.5654,-25.3125,1608,0,64,1,12.2,37,ramp,no_load,0.0
0.517036,0.01037,wrist_flex,-26,-26.7907,-24.5654,-25.3125,1608,0,60,2,12.2,37,ramp,no_load,0.0
0.52766,0.020994,wrist_flex,-26,-26.7907,-24.5654,-25.3125,1608,0,40,0,12.2,37,ramp,no_load,0.0
0.538067,0.031401,wrist_flex,-26,-26.7907,-24.5654,-25.3125,1608,0,1072,1,12.2,37,ramp,no_load,0.0
0.548485,0.041819,wrist_flex,-26,-26.7907,-24.5654,-25.3125,1608,0,1088,1,12.2,37,ramp,no_load,0.0
0.55883,0.052163,wrist_flex,-26,-26.6977,-24.5654,-25.2246,1609,0,1100,1,12.2,37,ramp,no_load,8.497
0.569338,0.062672,wrist_flex,-26,-26.5116,-24.5654,-25.0488,1611,100,1092,0,12.3,37,ramp,no_load,16.73
0.579828,0.073162,wrist_flex,-26,-26.3256,-24.5654,-24.873,1613,100,1044,0,12.2,37,ramp,no_load,16.759
0.590481,0.083815,wrist_flex,-26,-26.2326,-24.5654,-24.7852,1614,200,24,1,12.2,37,ramp,no_load,8.242
0.600682,0.094016,wrist_flex,-26,-26.1395,-24.5654,-24.6973,1615,200,28,0,12.2,37,ramp,no_load,8.617
0.610898,0.104231,wrist_flex,-26,-26.1395,-24.5654,-24.6973,1615,50,20,0,12.2,37,ramp,no_load,0.0
0.621374,0.114708,wrist_flex,-26,-26.1395,-24.5654,-24.6973,1615,50,20,0,12.2,37,ramp,no_load,0.0
0.63193,0.125263,wrist_flex,-26,-26.1395,-24.5654,-24.6973,1615,0,0,0,12.3,37,ramp,no_load,0.0
0.642607,0.135941,wrist_flex,-26,-26.1395,-24.5654,-24.6973,1615,0,0,0,12.2,37,ramp,no_load,0.0
0.652996,0.146329,wrist_flex,-26,-26.1395,-24.5654,-24.6973,1615,0,0,0,12.2,37,ramp,no_load,0.0
0.663185,0.156519,wrist_flex,-26,-26.1395,-24.5654,-24.6973,1615,0,0,0,12.2,37,ramp,no_load,0.0
0.673788,0.167122,wrist_flex,-26,-26.1395,-24.5654,-24.6973,1615,0,0,0,12.2,37,ramp,no_load,0.0
0.684607,0.177941,wrist_flex,-26,-26.1395,-24.5654,-24.6973,1615,0,0,0,12.2,37,ramp,no_load,0.0
0.695145,0.188479,wrist_flex,-26,-26.1395,-24.5654,-24.6973,1615,0,0,0,12.2,37,ramp,no_load,0.0
0.705541,0.198875,wrist_flex,-26,-26.1395,-24.5654,-24.6973,1615,0,0,0,12.3,37,ramp,no_load,0.0
0.715684,0.209018,wrist_flex,-26,-26.1395,-24.5654,-24.6973,1615,0,0,0,12.2,37,ramp,no_load,0.0
0.726509,0.219843,wrist_flex,-26,-26.1395,-24.5654,-24.6973,1615,0,0,0,12.2,37,ramp,no_load,0.0
0.736853,0.230187,wrist_flex,-26,-26.1395,-24.5654,-24.6973,1615,0,0,0,12.2,37,ramp,no_load,0.0
0.747253,0.240587,wrist_flex,-26,-26.1395,-24.5654,-24.6973,1615,0,0,0,12.2,37,ramp,no_load,0.0
0.7585,5e-06,wrist_flex,-24,-26.1395,-22.6758,-24.6973,1615,0,0,0,12.2,37,ramp,no_load,0.0
0.76927,0.010775,wrist_flex,-24,-26.1395,-22.6758,-24.6973,1615,0,1052,1,12.3,37,ramp,no_load,0.0
0.779452,0.020957,wrist_flex,-24,-26.1395,-22.6758,-24.6973,1615,0,1068,1,12.2,37,ramp,no_load,0.0
0.789854,0.031359,wrist_flex,-24,-26.1395,-22.6758,-24.6973,1615,0,1144,5,12.3,37,ramp,no_load,0.0
0.800447,0.041952,wrist_flex,-24,-26.0465,-22.6758,-24.6094,1616,0,1164,4,12.3,37,ramp,no_load,8.298
0.811028,0.052533,wrist_flex,-24,-25.7674,-22.6758,-24.3457,1619,100,1136,1,12.3,37,ramp,no_load,24.922
0.821293,0.062798,wrist_flex,-24,-25.4884,-22.6758,-24.082,1622,100,1120,0,12.2,37,ramp,no_load,25.689
0.831374,0.072879,wrist_flex,-24,-25.1163,-22.6758,-23.7305,1626,300,1056,0,12.2,37,ramp,no_load,34.868
0.84149,0.082995,wrist_flex,-24,-24.8372,-22.6758,-23.4668,1629,300,1044,0,12.2,37,ramp,no_load,26.068
0.851739,0.093244,wrist_flex,-24,-24.6512,-22.6758,-23.291,1631,300,1044,0,12.2,37,ramp,no_load,17.153
0.862247,0.103752,wrist_flex,-24,-24.5581,-22.6758,-23.2031,1632,150,0,0,12.2,37,ramp,no_load,8.365
0.872324,0.113829,wrist_flex,-24,-24.4651,-22.6758,-23.1152,1633,150,1048,0,12.2,37,ramp,no_load,8.723
0.882479,0.123984,wrist_flex,-24,-24.4651,-22.6758,-23.1152,1633,50,1048,0,12.2,37,ramp,no_load,0.0
0.893031,0.134536,wrist_flex,-24,-24.4651,-22.6758,-23.1152,1633,50,1052,0,12.3,37,ramp,no_load,0.0
0.903715,0.14522,wrist_flex,-24,-24.4651,-22.6758,-23.1152,1633,0,1052,0,12.2,37,ramp,no_load,0.0
0.913784,0.155289,wrist_flex,-24,-24.4651,-22.6758,-23.1152,1633,0,1056,0,12.2,37,ramp,no_load,0.0
0.924156,0.165661,wrist_flex,-24,-24.4651,-22.6758,-23.1152,1633,0,1056,0,12.3,37,ramp,no_load,0.0
0.934676,0.176181,wrist_flex,-24,-24.4651,-22.6758,-23.1152,1633,0,1056,0,12.3,37,ramp,no_load,0.0
