time,time_since_command,joint_name,commanded_norm,actual_norm,commanded_deg,actual_deg,raw_ticks,speed_raw,load_raw,current_raw,voltage,temperature,experiment_id,load_condition,measured_vel_deg_s
0.000467,1e-06,wrist_roll,-30,0.0733,-53.9868,0.1318,2049,0,0,0,12.2,37,ramp,no_load,0.0
0.010957,0.010491,wrist_roll,-30,0.0733,-53.9868,0.1318,2049,0,28,0,12.2,37,ramp,no_load,0.0
0.021143,0.020677,wrist_roll,-30,0.0733,-53.9868,0.1318,2049,0,48,1,12.2,37,ramp,no_load,0.0
0.031225,0.030759,wrist_roll,-30,0.0733,-53.9868,0.1318,2049,0,104,4,12.2,37,ramp,no_load,0.0
0.041279,0.040814,wrist_roll,-30,0.0244,-53.9868,0.0439,2048,-50,136,5,12.2,37,ramp,no_load,-8.743
0.052284,0.051818,wrist_roll,-30,-0.1221,-53.9868,-0.2197,2045,-50,212,8,12.2,37,ramp,no_load,-23.953
0.063281,0.062815,wrist_roll,-30,-0.3663,-53.9868,-0.6592,2040,-300,252,12,12.2,37,ramp,no_load,-39.965
0.073704,0.073238,wrist_roll,-30,-0.7082,-53.9868,-1.2744,2033,-300,320,13,12.2,37,ramp,no_load,-59.023
0.084744,0.084278,wrist_roll,-30,-1.1477,-53.9868,-2.0654,2024,-600,384,19,12.2,37,ramp,no_load,-71.649
0.095037,0.094571,wrist_roll,-30,-1.6361,-53.9868,-2.9443,2014,-600,440,22,12.1,37,ramp,no_load,-85.388
0.105154,0.104688,wrist_roll,-30,-2.2711,-53.9868,-4.0869,2001,-950,508,29,12.1,37,ramp,no_load,-112.939
0.115321,0.114855,wrist_roll,-30,-2.9548,-53.9868,-5.3174,1987,-950,572,30,12.1,37,ramp,no_load,-121.029
0.125844,0.125378,wrist_roll,-30,-3.8339,-53.9868,-6.8994,1969,-1350,644,41,12.1,37,ramp,no_load,-150.337
0.136647,0.136181,wrist_roll,-30,-4.7131,-53.9868,-8.4814,1951,-1800,700,38,12.1,37,ramp,no_load,-146.441
0.147455,0.146989,wrist_roll,-30,-5.8364,-53.9868,-10.5029,1928,-1800,740,39,12.2,37,ramp,no_load,-187.037
0.157776,0.15731,wrist_roll,-30,-7.0574,-53.9868,-12.7002,1903,-2150,784,38,12.2,37,ramp,no_load,-212.896
0.168776,0.16831,wrist_roll,-30,-8.3272,-53.9868,-14.9854,1877,-2150,796,30,12.1,37,ramp,no_load,-207.745
0.178949,0.178483,wrist_roll,-30,-9.5971,-53.9868,-17.2705,1851,-2400,820,30,12.2,37,ramp,no_load,-224.624
0.189478,0.189012,wrist_roll,-30,-11.0134,-53.9868,-19.8193,1822,-2400,828,27,12.1,37,ramp,no_load,-242.074
0.199945,0.199479,wrist_roll,-30,-12.2833,-53.9868,-22.1045,1796,-2650,844,23,12.2,37,ramp,no_load,-218.324
0.211036,0.21057,wrist_roll,-30,-13.895,-53.9868,-25.0049,1763,-2650,824,14,12.2,37,ramp,no_load,-261.509
0.221376,0.22091,wrist_roll,-30,-15.2625,-53.9868,-27.4658,1735,-2750,812,5,12.2,37,ramp,no_load,-237.998
0.231747,0.231281,wrist_roll,-30,-16.7277,-53.9868,-30.1025,1705,-2750,744,0,12.2,37,ramp,no_load,-254.238
0.242005,0.241539,wrist_roll,-30,-17.9976,-53.9868,-32.3877,1679,-2700,680,0,12.2,37,ramp,no_load,-222.772
0.252598,1e-06,wrist_roll,-28,-19.4139,-50.3877,-34.9365,1650,-2700,644,0,12.2,37,ramp,no_load,-240.612
0.262725,0.010129,wrist_roll,-28,-20.5861,-50.3877,-37.0459,1626,-2650,580,0,12.3,37,ramp,no_load,-208.295
0.272979,0.020383,wrist_roll,-28,-21.6606,-50.3877,-38.9795,1604,-2650,540,0,12.2,37,ramp,no_load,-188.57
0.283045,0.030449,wrist_roll,-28,-22.6862,-50.3877,-40.8252,1583,-2250,480,0,12.2,37,ramp,no_load,-183.36
0.293256,0.04066,wrist_roll,-28,-23.7607,-50.3877,-42.7588,1561,-2250,428,0,12.2,37,ramp,no_load,-189.364
0.303339,0.050742,wrist_roll,-28,-24.591,-50.3877,-44.2529,1544,-1950,352,0,12.3,37,ramp,no_load,-148.18
0.313542,0.060946,wrist_roll,-28,-25.3236,-50.3877,-45.5713,1529,-1950,300,0,12.3,37,ramp,no_load,-129.217
0.323812,0.071216,wrist_roll,-28,-26.0073,-50.3877,-46.8018,1515,-1550,224,0,12.2,37,ramp,no_load,-119.815
0.33425,0.081654,wrist_roll,-28,-26.4957,-50.3877,-47.6807,1505,-1150,164,0,12.2,37,ramp,no_load,-84.202
0.344931,0.092334,wrist_roll,-28,-26.9841,-50.3877,-48.5596,1495,-1150,96,0,12.2,37,ramp,no_load,-82.286
0.355238,0.102642,wrist_roll,-28,-27.2283,-50.3877,-48.999,1490,-700,28,0,12.2,37,ramp,no_load,-42.631
0.365847,0.113251,wrist_roll,-28,-27.4237,-50.3877,-49.3506,1486,-700,1080,2,12.2,37,ramp,no_load,-33.142
0.376448,0.123852,wrist_roll,-28,-27.4725,-50.3877,-49.4385,1485,-250,1108,3,12.2,37,ramp,no_load,-8.292
0.387251,0.134655,wrist_roll,-28,-27.4237,-50.3877,-49.3506,1486,-250,1052,0,12.3,37,ramp,no_load,8.137
0.39788,0.145284,wrist_roll,-28,-27.3748,-50.3877,-49.2627,1487,100,1048,0,12.3,37,ramp,no_load,8.27
0.408498,0.155902,wrist_roll,-28,-27.3748,-50.3877,-49.2627,1487,100,68,2,12.2,37,ramp,no_load,0.0
0.419511,0.166915,wrist_roll,-28,-27.3748,-50.3877,-49.2627,1487,0,68,1,12.2,37,ramp,no_load,0.0
0.429692,0.177095,wrist_roll,-28,-27.4237,-50.3877,-49.3506,1486,0,60,0,12.2,37,ramp,no_load,-8.634
