time,time_since_command,joint_name,commanded_norm,actual_norm,commanded_deg,actual_deg,raw_ticks,speed_raw,load_raw,current_raw,voltage,temperature,experiment_id,load_condition,measured_vel_deg_s
0.00046,2e-06,wrist_roll,0.0,0.3175,0.0,0.5713,2054,0,36,1,12.2,37,triangle,no_load,0.0
0.010888,0.01043,wrist_roll,0.0,0.3175,0.0,0.5713,2054,0,36,1,12.2,37,triangle,no_load,0.0
0.02119,0.020732,wrist_roll,0.0,0.3175,0.0,0.5713,2054,0,36,0,12.2,37,triangle,no_load,0.0
0.032104,0.031646,wrist_roll,0.0,0.3175,0.0,0.5713,2054,0,36,1,12.2,37,triangle,no_load,0.0
0.04217,0.041712,wrist_roll,0.0,0.3175,0.0,0.5713,2054,0,36,0,12.2,37,triangle,no_load,0.0
0.053195,0.052737,wrist_roll,0.0,0.3175,0.0,0.5713,2054,0,36,1,12.2,37,triangle,no_load,0.0
0.063512,0.063054,wrist_roll,0.0,0.3175,0.0,0.5713,2054,0,36,0,12.2,37,triangle,no_load,0.0
0.074112,0.073654,wrist_roll,0.0,0.3175,0.0,0.5713,2054,0,36,1,12.2,37,triangle,no_load,0.0
0.084293,0.083835,wrist_roll,0.0,0.3175,0.0,0.5713,2054,0,36,1,12.2,37,triangle,no_load,0.0
0.094511,0.094053,wrist_roll,0.0,0.3175,0.0,0.5713,2054,0,36,1,12.2,37,triangle,no_load,0.0
0.105545,0.105087,wrist_roll,0.0,0.3175,0.0,0.5713,2054,0,36,1,12.2,37,triangle,no_load,0.0
0.115874,0.115416,wrist_roll,0.0,0.3175,0.0,0.5713,2054,0,36,1,12.3,37,triangle,no_load,0.0
0.126115,0.125657,wrist_roll,0.0,0.3175,0.0,0.5713,2054,0,36,0,12.2,37,triangle,no_load,0.0
0.137152,0.136694,wrist_roll,0.0,0.3175,0.0,0.5713,2054,0,36,1,12.3,37,triangle,no_load,0.0
0.147668,0.14721,wrist_roll,0.0,0.3175,0.0,0.5713,2054,0,36,0,12.2,37,triangle,no_load,0.0
0.158274,0.157816,wrist_roll,0.0,0.3175,0.0,0.5713,2054,0,36,1,12.2,37,triangle,no_load,0.0
0.169012,0.168554,wrist_roll,0.0,0.3175,0.0,0.5713,2054,0,36,1,12.2,37,triangle,no_load,0.0
0.179385,0.178927,wrist_roll,0.0,0.3175,0.0,0.5713,2054,0,36,0,12.2,37,triangle,no_load,0.0
0.189569,0.189111,wrist_roll,0.0,0.3175,0.0,0.5713,2054,0,36,1,12.2,37,triangle,no_load,0.0
0.200607,0.200149,wrist_roll,0.0,0.3175,0.0,0.5713,2054,0,36,0,12.2,37,triangle,no_load,0.0
0.211052,0.210594,wrist_roll,0.0,0.3175,0.0,0.5713,2054,0,36,0,12.2,37,triangle,no_load,0.0
0.22124,0.220782,wrist_roll,0.0,0.3175,0.0,0.5713,2054,0,36,1,12.2,37,triangle,no_load,0.0
0.2316,0.231142,wrist_roll,0.0,0.3175,0.0,0.5713,2054,0,36,0,12.2,37,triangle,no_load,0.0
