time,commanded_deg,real_deg,sim_deg,error_deg,real_vel_deg_s,sim_vel_deg_s,experiment_id,load_condition
0.001161,-29.373,-0.0879,-0.0198,-0.0681,0.0,0.005,ramp,loaded
0.012054,-29.373,-0.0879,-0.0198,-0.0681,0.0,0.005,ramp,loaded
0.023229,-29.373,-0.0879,-0.0197,-0.0682,0.0,0.005,ramp,loaded
0.034236,-29.373,-0.0879,-0.0197,-0.0682,0.0,0.004,ramp,loaded
0.044678,-29.373,-0.2637,-0.0196,-0.2441,-16.836,0.004,ramp,loaded
0.055235,-29.373,-0.5273,-0.0196,-0.5077,-24.969,0.004,ramp,loaded
0.065484,-29.373,-0.8789,-0.0195,-0.8594,-34.306,0.003,ramp,loaded
0.076049,-29.373,-1.4062,-0.2731,-1.1331,-49.91,-25.353,ramp,loaded
0.086668,-29.373,-2.0215,-0.8198,-1.2017,-57.943,-54.677,ramp,loaded
0.096959,-29.373,-2.9004,-1.6174,-1.2830,-85.405,-79.754,ramp,loaded
0.107099,-29.373,-3.8672,-2.6299,-1.2373,-95.345,-101.253,ramp,loaded
0.117654,-29.373,-5.2734,-3.8268,-1.4466,-133.226,-119.690,ramp,loaded
0.127864,-29.373,-6.7676,-5.1819,-1.5857,-146.347,-135.507,ramp,loaded
0.138851,-29.373,-8.5254,-6.6727,-1.8527,-159.989,-149.082,ramp,loaded
0.149401,-29.373,-10.5469,-8.2801,-2.2668,-191.611,-160.739,ramp,loaded
0.16013,-29.373,-12.3047,-10.8746,-1.4301,-163.836,-172.966,ramp,loaded
0.171159,-29.373,-14.5020,-12.7069,-1.7951,-199.229,-183.234,ramp,loaded
0.181347,-29.373,-16.6992,-14.6083,-2.0909,-215.665,-190.140,ramp,loaded
0.191903,-29.373,-18.3691,-16.5695,-1.7996,-158.194,-196.115,ramp,loaded
0.202076,-29.373,-20.1270,-18.3685,-1.7585,-172.801,-179.903,ramp,loaded
0.212631,-29.373,-21.7090,-19.9966,-1.7124,-149.882,-162.808,ramp,loaded
0.222784,-29.373,-23.2031,-21.2682,-1.9349,-147.158,-127.166,ramp,loaded
0.233398,-29.373,-24.5215,-22.3645,-2.1570,-124.213,-109.626,ramp,loaded
0.24358,-29.373,-25.4004,-23.3887,-2.0117,-86.319,-102.417,ramp,loaded
0.254177,-27.4148,-25.9277,-24.2961,-1.6316,-49.759,-90.738,ramp,loaded
0.265105,-27.4148,-26.2793,-25.4062,-0.8731,-32.174,-74.012,ramp,loaded
0.275704,-27.4148,-26.4551,-26.0062,-0.4489,-16.586,-59.995,ramp,loaded
0.285845,-27.4148,-26.4551,-26.5139,0.0588,0.0,-50.766,ramp,loaded
0.296383,-27.4148,-26.6309,-26.9434,0.3125,-16.682,-42.957,ramp,loaded
0.306569,-27.4148,-26.9824,-27.3069,0.3245,-34.508,-36.349,ramp,loaded
0.317151,-27.4148,-27.3340,-27.6145,0.2805,-33.226,-30.758,ramp,loaded
0.327345,-27.4148,-27.3340,-27.6180,0.2840,0.0,-0.354,ramp,loaded
0.337511,-27.4148,-27.3340,-27.5817,0.2477,0.0,3.637,ramp,loaded
0.348647,-27.4148,-27.4219,-27.5481,0.1262,-7.893,3.352,ramp,loaded
0.359236,-27.4148,-27.4219,-27.5195,0.0976,0.0,2.860,ramp,loaded
0.370211,-27.4148,-27.4219,-27.4846,0.0627,0.0,2.327,ramp,loaded
0.380843,-27.4148,-27.4219,-27.4658,0.0439,0.0,1.885,ramp,loaded
0.390989,-27.4148,-27.4219,-27.4498,0.0279,0.0,1.595,ramp,loaded
0.401662,-27.4148,-27.4219,-27.4364,0.0145,0.0,1.349,ramp,loaded
0.412448,-27.4148,-27.4219,-27.4249,0.0030,0.0,1.142,ramp,loaded
0.422965,-27.4148,-27.4219,-27.4153,-0.0066,0.0,0.966,ramp,loaded
0.433126,-27.4148,-27.5098,-27.4071,-0.1027,-8.651,0.817,ramp,loaded
0.443702,-27.4148,-27.5098,-27.4002,-0.1096,0.0,0.691,ramp,loaded
0.454649,-27.4148,-27.5098,-27.3943,-0.1155,0.0,0.585,ramp,loaded
0.465282,-27.4148,-27.5098,-27.3872,-0.1226,0.0,0.475,ramp,loaded
0.475424,-27.4148,-27.5098,-27.3834,-0.1264,0.0,0.385,ramp,loaded
0.485995,-27.4148,-27.5098,-27.3801,-0.1297,0.0,0.326,ramp,loaded
0.49651,-27.4148,-27.5098,-27.3773,-0.1325,0.0,0.277,ramp,loaded
0.507684,-25.4566,-27.5098,-27.3750,-0.1348,0.0,0.238,ramp,loaded
0.518205,-25.4566,-27.5098,-27.3729,-0.1369,0.0,0.206,ramp,loaded
0.528832,-25.4566,-27.5098,-27.3711,-0.1387,0.0,0.180,ramp,loaded
0.539797,-25.4566,-27.5098,-27.3695,-0.1403,0.0,0.158,ramp,loaded
0.550427,-25.4566,-27.5098,-27.3675,-0.1423,0.0,0.136,ramp,loaded
0.561032,-25.4566,-27.5098,-27.3663,-0.1435,0.0,0.118,ramp,loaded
0.572334,-25.4566,-27.4219,-27.3652,-0.0567,7.777,0.105,ramp,loaded
0.583108,-25.4566,-27.4219,-27.1061,-0.3158,0.0,25.912,ramp,loaded
0.59346,-25.4566,-27.4219,-26.8471,-0.5748,0.0,25.897,ramp,loaded
0.604693,-25.4566,-27.3340,-26.6252,-0.7088,7.825,22.191,ramp,loaded
0.61571,-25.4566,-27.3340,-26.3543,-0.9797,0.0,18.060,ramp,loaded
0.626538,-25.4566,-27.3340,-26.2080,-1.1260,0.0,14.637,ramp,loaded
0.636828,-25.4566,-27.3340,-26.0841,-1.2499,0.0,12.385,ramp,loaded
0.647453,-25.4566,-27.3340,-25.9793,-1.3547,0.0,10.480,ramp,loaded
0.658506,-25.4566,-27.3340,-25.8906,-1.4434,0.0,8.867,ramp,loaded
0.66914,-25.4566,-27.3340,-25.8156,-1.5184,0.0,7.503,ramp,loaded
0.679743,-25.4566,-27.3340,-25.7521,-1.5819,0.0,6.349,ramp,loaded
0.690812,-25.4566,-27.3340,-25.6747,-1.6593,0.0,5.160,ramp,loaded
0.701448,-25.4566,-27.3340,-25.6329,-1.7011,0.0,4.182,ramp,loaded
0.71208,-25.4566,-27.3340,-25.5975,-1.7365,0.0,3.538,ramp,loaded
0.722222,-25.4566,-27.3340,-25.5676,-1.7664,0.0,2.994,ramp,loaded
0.732844,-25.4566,-27.3340,-25.5423,-1.7917,0.0,2.533,ramp,loaded
