time,commanded_deg,real_deg,sim_deg,error_deg,real_vel_deg_s,sim_vel_deg_s,experiment_id,load_condition
0.001092,-29.373,0.0879,0.1560,-0.0681,0.0,0.005,ramp,no_load
0.01142,-29.373,0.0879,0.1561,-0.0682,0.0,0.005,ramp,no_load
0.022702,-29.373,0.0879,0.1561,-0.0682,0.0,0.005,ramp,no_load
0.033266,-29.373,0.0879,0.1562,-0.0683,0.0,0.004,ramp,no_load
0.043721,-29.373,0.0000,0.1562,-0.1562,-8.407,0.004,ramp,no_load
0.054029,-29.373,-0.0879,0.1562,-0.2441,-8.527,0.004,ramp,no_load
0.06483,-29.373,-0.2637,0.1563,-0.4200,-16.276,0.003,ramp,no_load
0.075398,-29.373,-0.8789,-0.0982,-0.7807,-58.213,-16.962,ramp,no_load
0.085959,-29.373,-1.7578,-0.6466,-1.1112,-83.221,-54.838,ramp,no_load
0.096347,-29.373,-2.6367,-1.4457,-1.1910,-84.607,-79.917,ramp,no_load
0.106974,-29.373,-3.7793,-2.4595,-1.3198,-107.519,-101.380,ramp,no_load
0.117541,-29.373,-5.0098,-3.6572,-1.3526,-116.447,-119.766,ramp,no_load
0.127884,-29.373,-6.5918,-5.0125,-1.5793,-152.954,-135.529,ramp,no_load
0.138554,-29.373,-8.2617,-6.5030,-1.7587,-156.504,-149.056,ramp,no_load
0.148718,-29.373,-9.9316,-8.1098,-1.8218,-164.296,-160.673,ramp,no_load
0.158956,-29.373,-11.7773,-9.8165,-1.9608,-180.279,-170.671,ramp,no_load
0.169826,-29.373,-13.9746,-11.6094,-2.3652,-202.144,-179.290,ramp,no_load
0.180821,-29.373,-16.2598,-14.4349,-1.8249,-207.84,-188.369,ramp,no_load
0.191376,-29.373,-18.1055,-16.3952,-1.7103,-174.865,-196.031,ramp,no_load
0.201825,-29.373,-19.6875,-18.1928,-1.4947,-151.402,-179.756,ramp,no_load
0.212089,-29.373,-21.2695,-19.8306,-1.4389,-154.131,-163.778,ramp,no_load
0.222936,-29.373,-22.6758,-21.1198,-1.5560,-129.649,-128.919,ramp,no_load
0.233569,-29.373,-23.9941,-22.2366,-1.7575,-123.982,-111.683,ramp,no_load
0.243794,-29.373,-24.9609,-23.2793,-1.6816,-94.553,-104.272,ramp,no_load
0.254937,-27.4148,-25.8398,-24.2035,-1.6363,-78.875,-92.417,ramp,no_load
0.265209,-27.4148,-26.3672,-25.3342,-1.0330,-51.343,-75.381,ramp,no_load
0.275669,-27.4148,-26.8066,-25.9452,-0.8614,-42.008,-61.105,ramp,no_load
0.286704,-27.4148,-27.1582,-26.4623,-0.6959,-31.862,-51.706,ramp,no_load
0.297303,-27.4148,-27.2461,-26.8998,-0.3463,-8.293,-43.752,ramp,no_load
0.30793,-27.4148,-27.3340,-27.2700,-0.0640,-8.271,-37.022,ramp,no_load
0.318326,-27.4148,-27.2461,-27.5833,0.3372,8.455,-31.326,ramp,no_load
0.32892,-27.4148,-27.2461,-27.5912,0.3451,0.0,-0.786,ramp,no_load
0.339557,-27.4148,-27.2461,-27.5589,0.3128,0.0,3.223,ramp,no_load
0.350661,-27.4148,-27.2461,-27.5156,0.2695,0.0,2.891,ramp,no_load
0.360838,-27.4148,-27.2461,-27.4920,0.2459,0.0,2.361,ramp,no_load
