time,commanded_deg,real_deg,sim_deg,error_deg,real_vel_deg_s,sim_vel_deg_s,experiment_id,load_condition
0.000973,0.0,0.0879,0.1560,-0.0681,0.0,0.005,reverse,loaded
0.011857,0.0,0.0879,0.1561,-0.0682,0.0,0.005,reverse,loaded
0.022428,0.0,0.0879,0.1561,-0.0682,0.0,0.005,reverse,loaded
0.032966,0.0,0.0879,0.1562,-0.0683,0.0,0.004,reverse,loaded
0.04315,0.0,0.0879,0.1562,-0.0683,0.0,0.004,reverse,loaded
0.053929,0.0,0.0879,0.1562,-0.0683,0.0,0.004,reverse,loaded
0.064468,0.0,0.0879,0.1563,-0.0684,0.0,0.003,reverse,loaded
0.074566,0.0,0.0879,0.1514,-0.0635,0.0,-0.482,reverse,loaded
0.085656,0.0,0.0879,0.1352,-0.0473,0.0,-1.083,reverse,loaded
0.096221,0.0,0.0879,0.1261,-0.0382,0.0,-0.909,reverse,loaded
0.107197,0.0,0.0879,0.1184,-0.0305,0.0,-0.769,reverse,loaded
0.117944,0.0,0.0879,0.1119,-0.0240,0.0,-0.650,reverse,loaded
0.128069,0.0,0.0879,0.1064,-0.0185,0.0,-0.550,reverse,loaded
0.138652,0.0,0.0879,0.1018,-0.0139,0.0,-0.465,reverse,loaded
0.149457,0.0,0.0879,0.0978,-0.0099,0.0,-0.393,reverse,loaded
0.159787,0.0,0.0879,0.0945,-0.0066,0.0,-0.333,reverse,loaded
0.170334,0.0,0.0879,0.0904,-0.0025,0.0,-0.272,reverse,loaded
0.181302,0.0,0.0879,0.0882,-0.0003,0.0,-0.226,reverse,loaded
0.191974,0.0,0.0879,0.0862,0.0017,0.0,-0.196,reverse,loaded
0.202582,0.0,0.0879,0.0845,0.0034,0.0,-0.172,reverse,loaded
0.213174,0.0,0.0879,0.0830,0.0049,0.0,-0.152,reverse,loaded
0.224571,0.0,0.0879,0.0816,0.0063,0.0,-0.134,reverse,loaded
0.235214,0.0,0.0879,0.0799,0.0080,0.0,-0.116,reverse,loaded
0.245423,0.0,0.0879,0.0789,0.0090,0.0,-0.101,reverse,loaded
0.255488,0.0,0.0879,0.0780,0.0099,0.0,-0.091,reverse,loaded
0.266118,0.0,0.0879,0.0771,0.0108,0.0,-0.082,reverse,loaded
0.276191,0.0,0.0879,0.0764,0.0115,0.0,-0.074,reverse,loaded
0.28683,0.0,0.0879,0.0757,0.0122,0.0,-0.067,reverse,loaded
0.297905,0.0,0.0879,0.0751,0.0128,0.0,-0.061,reverse,loaded
0.308533,0.0,0.0879,0.0746,0.0133,0.0,-0.055,reverse,loaded
0.319571,0.0,0.0879,0.0741,0.0138,0.0,-0.050,reverse,loaded
0.330195,0.0,0.0879,0.0734,0.0145,0.0,-0.045,reverse,loaded
0.341265,0.0,0.0879,0.0730,0.0149,0.0,-0.040,reverse,loaded
0.351819,0.0,0.0879,0.0726,0.0153,0.0,-0.036,reverse,loaded
0.362843,0.0,0.0879,0.0723,0.0156,0.0,-0.033,reverse,loaded
0.373966,0.0,0.0879,0.0720,0.0159,0.0,-0.030,reverse,loaded
0.384575,0.0,0.0879,0.0717,0.0162,0.0,-0.028,reverse,loaded
0.394794,0.0,0.0879,0.0715,0.0164,0.0,-0.025,reverse,loaded
0.405002,0.0,0.0879,0.0711,0.0168,0.0,-0.023,reverse,loaded
0.415845,0.0,0.0879,0.0709,0.0170,0.0,-0.020,reverse,loaded
0.426445,0.0,0.0879,0.0708,0.0171,0.0,-0.018,reverse,loaded
0.436771,0.0,0.0879,0.0706,0.0173,0.0,-0.017,reverse,loaded
0.447192,0.0,0.0879,0.0704,0.0175,0.0,-0.015,reverse,loaded
0.457388,0.0,0.0879,0.0703,0.0176,0.0,-0.014,reverse,loaded
0.467936,0.0,0.0879,0.0702,0.0177,0.0,-0.013,reverse,loaded
0.479113,0.0,0.0879,0.0700,0.0179,0.0,-0.012,reverse,loaded
0.489654,0.0,0.0879,0.0699,0.0180,0.0,-0.011,reverse,loaded
0.500233,0.0,0.0879,0.0698,0.0181,0.0,-0.010,reverse,loaded
0.511073,0.0,0.0879,0.0697,0.0182,0.0,-0.009,reverse,loaded
0.522113,0.0,0.0879,0.0696,0.0183,0.0,-0.008,reverse,loaded
0.533126,0.0,0.0879,0.0695,0.0184,0.0,-0.007,reverse,loaded
0.543181,0.0,0.0879,0.0695,0.0184,0.0,-0.007,reverse,loaded
0.553332,0.0,0.0879,0.0694,0.0185,0.0,-0.006,reverse,loaded
0.56442,0.0,0.0879,0.0694,0.0185,0.0,-0.006,reverse,loaded
0.575411,0.0,0.0879,0.0693,0.0186,0.0,-0.005,reverse,loaded
0.586426,0.0,0.0879,0.0692,0.0187,0.0,-0.004,reverse,loaded
0.597049,0.0,0.0879,0.0692,0.0187,0.0,-0.004,reverse,loaded
0.607188,0.0,0.0879,0.0692,0.0187,0.0,-0.004,reverse,loaded
0.61777,0.0,0.0879,0.0691,0.0188,0.0,-0.003,reverse,loaded
0.628928,0.0,0.0879,0.0691,0.0188,0.0,-0.003,reverse,loaded
0.63955,0.0,0.0879,0.0691,0.0188,0.0,-0.003,reverse,loaded
0.649662,0.0,0.0879,0.0690,0.0189,0.0,-0.003,reverse,loaded
0.659798,0.0,0.0879,0.0690,0.0189,0.0,-0.002,reverse,loaded
0.670256,0.0,0.0879,0.0690,0.0189,0.0,-0.002,reverse,loaded
0.681205,0.0,0.0879,0.0690,0.0189,0.0,-0.002,reverse,loaded
0.69216,0.0,0.0879,0.0689,0.0190,0.0,-0.002,reverse,loaded
0.702782,0.0,0.0879,0.0689,0.0190,0.0,-0.002,reverse,loaded
0.712914,0.0,0.0879,0.0689,0.0190,0.0,-0.002,reverse,loaded
0.723491,0.0,0.0879,0.0689,0.0190,0.0,-0.001,reverse,loaded
0.733572,0.0,0.0879,0.0689,0.0190,0.0,-0.001,reverse,loaded
0.743644,0.0,0.0879,0.0689,0.0190,0.0,-0.001,reverse,loaded
0.754672,0.0,0.0879,0.0689,0.0190,0.0,-0.001,reverse,loaded
0.765263,0.0,0.0879,0.0689,0.0190,0.0,-0.001,reverse,loaded
0.776,0.0,0.0879,0.0688,0.0191,0.0,-0.001,reverse,loaded
0.786654,0.0,0.0879,0.0688,0.0191,0.0,-0.001,reverse,loaded
0.797283,0.0,0.0879,0.0688,0.0191,0.0,-0.001,reverse,loaded
0.807852,0.0,0.0879,0.0688,0.0191,0.0,-0.001,reverse,loaded
0.81843,0.0,0.0879,0.0688,0.0191,0.0,-0.001,reverse,loaded
0.828589,0.0,0.0879,0.0688,0.0191,0.0,-0.001,reverse,loaded
0.838943,0.0,0.0879,0.0688,0.0191,0.0,-0.001,reverse,loaded
0.849059,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,loaded
0.859577,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,loaded
0.86988,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,loaded
0.88046,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,loaded
0.891052,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,loaded
0.90207,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,loaded
0.912645,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,loaded
0.92279,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,loaded
0.932884,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,loaded
0.943784,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,loaded
0.954173,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,loaded
0.964331,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,loaded
0.974908,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,loaded
0.984997,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,loaded
0.995498,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,loaded
1.005716,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,loaded
1.016314,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,loaded
1.026588,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,loaded
1.03717,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,loaded
1.048218,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,loaded
1.05873,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,loaded
1.068864,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,loaded
1.079383,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,loaded
1.089531,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,loaded
1.100116,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,loaded
1.111109,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,loaded
1.121693,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,loaded
1.132897,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,loaded
1.143014,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,loaded
1.153797,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,loaded
1.164425,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,loaded
1.175474,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,loaded
1.186282,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,loaded
1.197294,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,loaded
1.207871,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,loaded
1.218825,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,loaded
