time,commanded_deg,real_deg,sim_deg,error_deg,real_vel_deg_s,sim_vel_deg_s,experiment_id,load_condition
0.001071,0.0,0.0879,0.1560,-0.0681,0.0,0.005,reverse,no_load
0.011718,0.0,0.0879,0.1561,-0.0682,0.0,0.005,reverse,no_load
0.022038,0.0,0.0879,0.1561,-0.0682,0.0,0.005,reverse,no_load
0.032304,0.0,0.0879,0.1561,-0.0682,0.0,0.004,reverse,no_load
0.043033,0.0,0.0879,0.1562,-0.0683,0.0,0.004,reverse,no_load
0.053666,0.0,0.0879,0.1562,-0.0683,0.0,0.004,reverse,no_load
0.064628,0.0,0.0879,0.1563,-0.0684,0.0,0.003,reverse,no_load
0.075195,0.0,0.0879,0.1458,-0.0579,0.0,-0.697,reverse,no_load
0.086041,0.0,0.0879,0.1352,-0.0473,0.0,-1.061,reverse,no_load
0.09665,0.0,0.0879,0.1261,-0.0382,0.0,-0.909,reverse,no_load
0.107734,0.0,0.0879,0.1184,-0.0305,0.0,-0.769,reverse,no_load
0.118076,0.0,0.0879,0.1119,-0.0240,0.0,-0.650,reverse,no_load
0.128635,0.0,0.0879,0.1064,-0.0185,0.0,-0.550,reverse,no_load
0.138824,0.0,0.0879,0.1018,-0.0139,0.0,-0.465,reverse,no_load
0.149165,0.0,0.0879,0.0978,-0.0099,0.0,-0.393,reverse,no_load
0.159783,0.0,0.0879,0.0945,-0.0066,0.0,-0.333,reverse,no_load
0.17033,0.0,0.0879,0.0904,-0.0025,0.0,-0.272,reverse,no_load
0.180937,0.0,0.0879,0.0882,-0.0003,0.0,-0.226,reverse,no_load
0.191061,0.0,0.0879,0.0862,0.0017,0.0,-0.196,reverse,no_load
0.201599,0.0,0.0879,0.0845,0.0034,0.0,-0.172,reverse,no_load
0.212135,0.0,0.0879,0.0830,0.0049,0.0,-0.152,reverse,no_load
0.222766,0.0,0.0879,0.0816,0.0063,0.0,-0.134,reverse,no_load
0.232883,0.0,0.0879,0.0804,0.0075,0.0,-0.120,reverse,no_load
0.243522,0.0,0.0879,0.0794,0.0085,0.0,-0.107,reverse,no_load
0.254572,0.0,0.0879,0.0784,0.0095,0.0,-0.096,reverse,no_load
0.2652,0.0,0.0879,0.0771,0.0108,0.0,-0.084,reverse,no_load
0.275378,0.0,0.0879,0.0764,0.0115,0.0,-0.074,reverse,no_load
0.286751,0.0,0.0879,0.0757,0.0122,0.0,-0.067,reverse,no_load
0.297795,0.0,0.0879,0.0751,0.0128,0.0,-0.061,reverse,no_load
0.308394,0.0,0.0879,0.0746,0.0133,0.0,-0.055,reverse,no_load
0.319194,0.0,0.0879,0.0741,0.0138,0.0,-0.050,reverse,no_load
0.329962,0.0,0.0879,0.0736,0.0143,0.0,-0.046,reverse,no_load
0.341075,0.0,0.0879,0.0730,0.0149,0.0,-0.041,reverse,no_load
0.351494,0.0,0.0879,0.0726,0.0153,0.0,-0.036,reverse,no_load
0.3623,0.0,0.0879,0.0723,0.0156,0.0,-0.033,reverse,no_load
0.372929,0.0,0.0879,0.0720,0.0159,0.0,-0.030,reverse,no_load
0.382982,0.0,0.0879,0.0717,0.0162,0.0,-0.028,reverse,no_load
0.393562,0.0,0.0879,0.0715,0.0164,0.0,-0.025,reverse,no_load
0.403975,0.0,0.0879,0.0712,0.0167,0.0,-0.023,reverse,no_load
0.414468,0.0,0.0879,0.0710,0.0169,0.0,-0.021,reverse,no_load
0.424582,0.0,0.0879,0.0708,0.0171,0.0,-0.019,reverse,no_load
0.434818,0.0,0.0879,0.0707,0.0172,0.0,-0.018,reverse,no_load
0.445327,0.0,0.0879,0.0704,0.0175,0.0,-0.016,reverse,no_load
0.455912,0.0,0.0879,0.0703,0.0176,0.0,-0.014,reverse,no_load
0.466044,0.0,0.0879,0.0702,0.0177,0.0,-0.013,reverse,no_load
0.47689,0.0,0.0879,0.0700,0.0179,0.0,-0.012,reverse,no_load
0.487004,0.0,0.0879,0.0699,0.0180,0.0,-0.011,reverse,no_load
0.497582,0.0,0.0879,0.0698,0.0181,0.0,-0.010,reverse,no_load
0.507643,0.0,0.0879,0.0697,0.0182,0.0,-0.009,reverse,no_load
0.518128,0.0,0.0879,0.0697,0.0182,0.0,-0.008,reverse,no_load
0.529147,0.0,0.0879,0.0696,0.0183,0.0,-0.008,reverse,no_load
0.539328,0.0,0.0879,0.0695,0.0184,0.0,-0.007,reverse,no_load
0.54942,0.0,0.0879,0.0694,0.0185,0.0,-0.006,reverse,no_load
0.560055,0.0,0.0879,0.0694,0.0185,0.0,-0.006,reverse,no_load
0.570254,0.0,0.0879,0.0693,0.0186,0.0,-0.005,reverse,no_load
0.58084,0.0,0.0879,0.0693,0.0186,0.0,-0.005,reverse,no_load
0.591718,0.0,0.0879,0.0692,0.0187,0.0,-0.004,reverse,no_load
0.60251,0.0,0.0879,0.0692,0.0187,0.0,-0.004,reverse,no_load
0.612957,0.0,0.0879,0.0691,0.0188,0.0,-0.004,reverse,no_load
0.623384,0.0,0.0879,0.0691,0.0188,0.0,-0.003,reverse,no_load
0.634141,0.0,0.0879,0.0691,0.0188,0.0,-0.003,reverse,no_load
0.645129,0.0,0.0879,0.0690,0.0189,0.0,-0.003,reverse,no_load
0.655844,0.0,0.0879,0.0690,0.0189,0.0,-0.002,reverse,no_load
0.666834,0.0,0.0879,0.0690,0.0189,0.0,-0.002,reverse,no_load
0.677781,0.0,0.0879,0.0690,0.0189,0.0,-0.002,reverse,no_load
0.688832,0.0,0.0879,0.0690,0.0189,0.0,-0.002,reverse,no_load
0.699377,0.0,0.0879,0.0689,0.0190,0.0,-0.002,reverse,no_load
0.710415,0.0,0.0879,0.0689,0.0190,0.0,-0.002,reverse,no_load
0.72092,0.0,0.0879,0.0689,0.0190,0.0,-0.001,reverse,no_load
0.732135,0.0,0.0879,0.0689,0.0190,0.0,-0.001,reverse,no_load
0.742699,0.0,0.0879,0.0689,0.0190,0.0,-0.001,reverse,no_load
0.753134,0.0,0.0879,0.0689,0.0190,0.0,-0.001,reverse,no_load
0.763765,0.0,0.0879,0.0689,0.0190,0.0,-0.001,reverse,no_load
0.773917,0.0,0.0879,0.0688,0.0191,0.0,-0.001,reverse,no_load
0.784504,0.0,0.0879,0.0688,0.0191,0.0,-0.001,reverse,no_load
0.795074,0.0,0.0879,0.0688,0.0191,0.0,-0.001,reverse,no_load
0.805528,0.0,0.0879,0.0688,0.0191,0.0,-0.001,reverse,no_load
0.816161,0.0,0.0879,0.0688,0.0191,0.0,-0.001,reverse,no_load
0.826281,0.0,0.0879,0.0688,0.0191,0.0,-0.001,reverse,no_load
0.8367,0.0,0.0879,0.0688,0.0191,0.0,-0.001,reverse,no_load
0.847284,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,no_load
0.857868,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,no_load
0.868571,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,no_load
0.879201,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,no_load
0.889355,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,no_load
0.89975,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,no_load
0.909854,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,no_load
0.920147,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,no_load
0.930897,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,no_load
0.941525,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,no_load
0.95235,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,no_load
0.962521,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,no_load
0.973703,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,no_load
0.984301,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,no_load
0.994528,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,no_load
1.005109,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,no_load
1.015708,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,no_load
1.026365,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,no_load
1.036882,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,no_load
1.047491,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,no_load
1.058109,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,no_load
1.068852,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,no_load
1.079478,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,no_load
1.089566,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,no_load
1.100152,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,no_load
1.110312,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,no_load
1.120867,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,no_load
1.130982,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,no_load
1.141543,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,no_load
1.152346,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,no_load
1.162935,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,no_load
1.173452,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,no_load
1.184084,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,no_load
1.194733,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,no_load
1.20531,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,no_load
1.215442,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,no_load
1.226056,0.0,0.0879,0.0688,0.0191,0.0,-0.000,reverse,no_load
1.237103,0.0,0.0879,0.0687,0.0192,0.0,-0.000,reverse,no_load
1.247699,0.0,0.0879,0.0687,0.0192,0.0,-0.000,reverse,no_load
1.257914,0.0,0.0879,0.0687,0.0192,0.0,-0.000,reverse,no_load
1.268087,0.0,0.0879,0.0687,0.0192,0.0,-0.000,reverse,no_load
1.279078,0.0,0.0879,0.0687,0.0192,0.0,-0.000,reverse,no_load
1.289644,0.0,0.0879,0.0687,0.0192,0.0,-0.000,reverse,no_load
1.300656,0.0,0.0879,0.0687,0.0192,0.0,-0.000,reverse,no_load
1.311364,0.0,0.0879,0.0687,0.0192,0.0,-0.000,reverse,no_load
1.322252,0.0,0.0879,0.0687,0.0192,0.0,-0.000,reverse,no_load
1.332356,0.0,0.0879,0.0687,0.0192,0.0,-0.000,reverse,no_load
1.342979,0.0,0.0879,0.0687,0.0192,0.0,-0.000,reverse,no_load
1.354076,0.0,0.0879,0.0687,0.0192,0.0,-0.000,reverse,no_load
1.364525,0.0,0.0879,0.0687,0.0192,0.0,-0.000,reverse,no_load
1.37516,0.0,0.0879,0.0687,0.0192,0.0,-0.000,reverse,no_load
1.385372,0.0,0.0879,0.0687,0.0192,0.0,-0.000,reverse,no_load
1.396053,0.0,0.0879,0.0687,0.0192,0.0,-0.000,reverse,no_load
1.40617,0.0,0.0879,0.0687,0.0192,0.0,-0.000,reverse,no_load
1.416315,0.0,0.0879,0.0687,0.0192,0.0,-0.000,reverse,no_load
1.427396,0.0,0.0879,0.0687,0.0192,0.0,-0.000,reverse,no_load
1.437679,0.0,0.0879,0.0687,0.0192,0.0,-0.000,reverse,no_load
1.447793,0.0,0.0879,0.0687,0.0192,0.0,-0.000,reverse,no_load
1.458418,0.0,0.0879,0.0687,0.0192,0.0,-0.000,reverse,no_load
1.469413,0.0,0.0879,0.0687,0.0192,0.0,-0.000,reverse,no_load
1.479924,0.0,0.0879,0.0687,0.0192,0.0,-0.000,reverse,no_load
1.490092,0.0,0.0879,0.0687,0.0192,0.0,-0.000,reverse,no_load
1.500679,0.0,0.0879,0.0687,0.0192,0.0,-0.000,reverse,no_load
1.511931,14.6865,0.0879,0.0687,0.0192,0.0,-0.000,reverse,no_load
1.522539,14.6865,0.0879,0.0687,0.0192,0.0,-0.000,reverse,no_load
1.533607,14.6865,0.0879,0.0687,0.0192,0.0,-0.000,reverse,no_load
1.544421,14.6865,0.0879,0.0687,0.0192,0.0,-0.000,reverse,no_load
1.554856,14.6865,0.0879,0.0687,0.0192,0.0,-0.000,reverse,no_load
1.565409,14.6865,0.2637,0.0687,0.1950,16.659,-0.000,reverse,no_load
1.575457,14.6865,0.5273,0.0687,0.4586,26.234,-0.000,reverse,no_load
1.586833,14.6865,1.0547,0.4235,0.6312,46.361,35.473,reverse,no_load
1.597923,14.6865,1.6699,1.1882,0.4817,55.473,76.477,reverse,no_load
1.608561,14.6865,2.5488,2.3036,0.2452,82.619,111.537,reverse,no_load
1.619588,14.6865,3.6035,3.7196,-0.1161,95.647,141.595,reverse,no_load
1.63022,14.6865,4.8340,5.9753,-1.1413,115.736,150.382,reverse,no_load
1.640422,14.6865,5.9766,7.2754,-1.2988,111.998,130.005,reverse,no_load
1.651013,14.6865,7.2949,8.3064,-1.0115,124.474,103.102,reverse,no_load
1.662101,14.6865,8.7891,9.2498,-0.4607,134.758,94.339,reverse,no_load
1.673087,14.6865,9.9316,10.0770,-0.1454,103.996,82.720,reverse,no_load
1.684163,14.6865,10.8105,10.7418,0.0687,79.352,66.481,reverse,no_load
1.695088,14.6865,11.4258,11.5640,-0.1382,56.32,54.817,reverse,no_load
1.705687,14.6865,11.9531,12.0528,-0.0997,49.75,48.880,reverse,no_load
1.716105,14.6865,12.3926,12.4673,-0.0747,42.187,41.451,reverse,no_load
1.726734,14.6865,12.8320,12.8181,0.0139,41.34,35.077,reverse,no_load
1.736947,14.6865,13.0957,13.1149,-0.0192,25.82,29.678,reverse,no_load
1.747581,14.6865,13.2715,13.3660,-0.0945,16.532,25.109,reverse,no_load
1.757794,14.6865,13.3594,13.5784,-0.2190,8.607,21.244,reverse,no_load
1.767877,14.6865,13.4473,13.7582,-0.3109,8.718,17.974,reverse,no_load
1.778343,14.6865,13.5352,13.9102,-0.3750,8.399,15.207,reverse,no_load
1.788927,14.6865,13.4473,14.0389,-0.5916,-8.305,12.866,reverse,no_load
1.799093,14.6865,13.4473,14.1477,-0.7004,0.0,10.886,reverse,no_load
1.809683,14.6865,13.4473,14.2398,-0.7925,0.0,9.210,reverse,no_load
1.820669,14.6865,13.5352,14.3521,-0.8169,8.001,7.484,reverse,no_load
1.831302,14.6865,13.6230,14.4127,-0.7897,8.257,6.064,reverse,no_load
1.842388,14.6865,13.7988,14.4641,-0.6653,15.858,5.131,reverse,no_load
1.853469,14.6865,14.0625,14.5075,-0.4450,23.797,4.341,reverse,no_load
1.863554,14.6865,14.3262,14.5442,-0.2180,26.148,3.673,reverse,no_load
1.874117,14.6865,14.5898,14.5753,0.0145,24.955,3.107,reverse,no_load
1.884833,14.6865,14.5898,14.6016,-0.0118,0.0,2.629,reverse,no_load
1.895462,14.6865,14.6777,14.6336,0.0441,8.27,2.136,reverse,no_load
1.906405,14.6865,14.6777,14.6509,0.0268,0.0,1.731,reverse,no_load
1.916985,14.6865,14.6777,14.6656,0.0121,0.0,1.465,reverse,no_load
1.927577,14.6865,14.6777,14.6780,-0.0003,0.0,1.239,reverse,no_load
1.938236,14.6865,14.5898,14.6884,-0.0986,-8.247,1.048,reverse,no_load
1.948817,14.6865,14.5898,14.6973,-0.1075,0.0,0.887,reverse,no_load
1.958908,14.6865,14.5020,14.7048,-0.2028,-8.701,0.751,reverse,no_load
1.969001,14.6865,14.4141,14.7112,-0.2971,-8.709,0.635,reverse,no_load
1.979767,14.6865,14.4141,14.7165,-0.3024,0.0,0.537,reverse,no_load
1.990804,14.6865,14.3262,14.7231,-0.3969,-7.964,0.437,reverse,no_load
2.001127,14.6865,14.3262,14.7266,-0.4004,0.0,0.354,reverse,no_load
2.011616,14.6865,14.4141,14.7296,-0.3155,8.38,0.300,reverse,no_load
2.022196,14.6865,14.5020,14.7322,-0.2302,8.308,0.255,reverse,no_load
2.032756,14.6865,14.5020,14.7344,-0.2324,0.0,0.220,reverse,no_load
