time,commanded_deg,real_deg,sim_deg,error_deg,real_vel_deg_s,sim_vel_deg_s,experiment_id,load_condition
0.001204,-49.2188,-49.1309,-49.0880,-0.0429,0.0,0.004,staircase1,no_load
0.011936,-49.2188,-49.1309,-49.0880,-0.0429,0.0,0.004,staircase1,no_load
0.023093,-49.2188,-49.1309,-49.0879,-0.0430,0.0,0.004,staircase1,no_load
0.033424,-49.2188,-49.1309,-49.0879,-0.0430,0.0,0.003,staircase1,no_load
0.044076,-49.2188,-49.1309,-49.0879,-0.0430,0.0,0.003,staircase1,no_load
0.055061,-49.2188,-49.1309,-49.0878,-0.0431,0.0,0.003,staircase1,no_load
0.06621,-49.2188,-49.1309,-49.0878,-0.0431,0.0,0.003,staircase1,no_load
0.076897,-49.2188,-49.1309,-49.0983,-0.0326,0.0,-1.048,staircase1,no_load
0.08804,-49.2188,-49.1309,-49.1089,-0.0220,0.0,-1.063,staircase1,no_load
0.098788,-49.2188,-49.1309,-49.1180,-0.0129,0.0,-0.910,staircase1,no_load
0.109691,-49.2188,-49.1309,-49.1257,-0.0052,0.0,-0.770,staircase1,no_load
0.120534,-49.2188,-49.1309,-49.1351,0.0042,0.0,-0.625,staircase1,no_load
0.131606,-49.2188,-49.1309,-49.1401,0.0092,0.0,-0.506,staircase1,no_load
0.142893,-49.2188,-49.1309,-49.1444,0.0135,0.0,-0.428,staircase1,no_load
0.153776,-49.2188,-49.1309,-49.1480,0.0171,0.0,-0.362,staircase1,no_load
0.164647,-49.2188,-49.1309,-49.1511,0.0202,0.0,-0.308,staircase1,no_load
0.175938,-49.2188,-49.1309,-49.1550,0.0241,0.0,-0.255,staircase1,no_load
0.187012,-49.2188,-49.1309,-49.1571,0.0262,0.0,-0.213,staircase1,no_load
0.197756,-49.2188,-49.1309,-49.1590,0.0281,0.0,-0.186,staircase1,no_load
0.208508,-49.2188,-49.1309,-49.1606,0.0297,0.0,-0.164,staircase1,no_load
0.219509,-49.2188,-49.1309,-49.1620,0.0311,0.0,-0.145,staircase1,no_load
0.230366,-49.2188,-49.1309,-49.1639,0.0330,0.0,-0.125,staircase1,no_load
0.241398,-49.2188,-49.1309,-49.1650,0.0341,0.0,-0.108,staircase1,no_load
0.252507,-49.2188,-49.1309,-49.1660,0.0351,0.0,-0.097,staircase1,no_load
0.263485,-49.2188,-49.1309,-49.1668,0.0359,0.0,-0.087,staircase1,no_load
0.274478,-49.2188,-49.1309,-49.1676,0.0367,0.0,-0.078,staircase1,no_load
0.285496,-49.2188,-49.1309,-49.1686,0.0377,0.0,-0.069,staircase1,no_load
0.296461,-49.2188,-49.1309,-49.1692,0.0383,0.0,-0.061,staircase1,no_load
0.30763,-49.2188,-49.1309,-49.1698,0.0389,0.0,-0.055,staircase1,no_load
0.318692,-49.2188,-49.1309,-49.1703,0.0394,0.0,-0.050,staircase1,no_load
0.329502,-49.2188,-49.1309,-49.1707,0.0398,0.0,-0.045,staircase1,no_load
0.340518,-49.2188,-49.1309,-49.1713,0.0404,0.0,-0.040,staircase1,no_load
0.35141,-49.2188,-49.1309,-49.1717,0.0408,0.0,-0.036,staircase1,no_load
0.362559,-49.2188,-49.1309,-49.1720,0.0411,0.0,-0.032,staircase1,no_load
0.37384,-49.2188,-49.1309,-49.1723,0.0414,0.0,-0.030,staircase1,no_load
0.384156,-49.2188,-49.1309,-49.1726,0.0417,0.0,-0.027,staircase1,no_load
0.394838,-49.2188,-49.1309,-49.1728,0.0419,0.0,-0.025,staircase1,no_load
0.405176,-49.2188,-49.1309,-49.1732,0.0423,0.0,-0.022,staircase1,no_load
0.415422,-49.2188,-49.1309,-49.1734,0.0425,0.0,-0.020,staircase1,no_load
0.425607,-49.2188,-49.1309,-49.1735,0.0426,0.0,-0.018,staircase1,no_load
0.435807,-49.2188,-49.1309,-49.1737,0.0428,0.0,-0.016,staircase1,no_load
0.446599,-49.2188,-49.1309,-49.1738,0.0429,0.0,-0.015,staircase1,no_load
0.457171,-49.2188,-49.1309,-49.1740,0.0431,0.0,-0.014,staircase1,no_load
0.467764,-49.2188,-49.1309,-49.1741,0.0432,0.0,-0.012,staircase1,no_load
0.478369,-49.2188,-49.1309,-49.1742,0.0433,0.0,-0.011,staircase1,no_load
0.489218,-49.2188,-49.1309,-49.1743,0.0434,0.0,-0.010,staircase1,no_load
0.500277,-49.2188,-49.1309,-49.1745,0.0436,0.0,-0.009,staircase1,no_load
0.51076,-49.2188,-49.1309,-49.1746,0.0437,0.0,-0.008,staircase1,no_load
0.521608,-49.2188,-49.1309,-49.1746,0.0437,0.0,-0.008,staircase1,no_load
0.532629,-49.2188,-49.1309,-49.1747,0.0438,0.0,-0.007,staircase1,no_load
0.543224,-49.2188,-49.1309,-49.1748,0.0439,0.0,-0.006,staircase1,no_load
0.553783,-49.2188,-49.1309,-49.1748,0.0439,0.0,-0.006,staircase1,no_load
0.564452,-49.2188,-49.1309,-49.1749,0.0440,0.0,-0.005,staircase1,no_load
0.575144,-49.2188,-49.1309,-49.1749,0.0440,0.0,-0.005,staircase1,no_load
0.585774,-49.2188,-49.1309,-49.1750,0.0441,0.0,-0.004,staircase1,no_load
0.596393,-49.2188,-49.1309,-49.1750,0.0441,0.0,-0.004,staircase1,no_load
0.606888,-49.2188,-49.1309,-49.1751,0.0442,0.0,-0.004,staircase1,no_load
0.617379,-49.2188,-49.1309,-49.1751,0.0442,0.0,-0.003,staircase1,no_load
0.627769,-49.2188,-49.1309,-49.1751,0.0442,0.0,-0.003,staircase1,no_load
0.63808,-49.2188,-49.1309,-49.1752,0.0443,0.0,-0.003,staircase1,no_load
0.648578,-49.2188,-49.1309,-49.1752,0.0443,0.0,-0.003,staircase1,no_load
0.659261,-49.2188,-49.1309,-49.1752,0.0443,0.0,-0.002,staircase1,no_load
