time,commanded_deg,real_deg,sim_deg,error_deg,real_vel_deg_s,sim_vel_deg_s,experiment_id,load_condition
0.000522,0.0,-0.0879,-0.0198,-0.0681,0.0,0.005,step_10,loaded
0.011011,0.0,-0.0879,-0.0197,-0.0682,0.0,0.005,step_10,loaded
0.021638,0.0,-0.0879,-0.0197,-0.0682,0.0,0.005,step_10,loaded
0.032483,0.0,-0.0879,-0.0197,-0.0682,0.0,0.004,step_10,loaded
0.043639,0.0,-0.0879,-0.0196,-0.0683,0.0,0.004,step_10,loaded
0.054266,0.0,-0.0879,-0.0196,-0.0683,0.0,0.004,step_10,loaded
0.064791,0.0,-0.0879,-0.0195,-0.0684,0.0,0.003,step_10,loaded
0.075855,0.0,-0.0879,-0.0090,-0.0789,0.0,0.705,step_10,loaded
0.086486,0.0,-0.0879,0.0018,-0.0897,0.0,1.072,step_10,loaded
0.097626,0.0,-0.0879,0.0109,-0.0988,0.0,0.918,step_10,loaded
0.108203,0.0,-0.0879,0.0187,-0.1066,0.0,0.776,step_10,loaded
0.118305,0.0,-0.0879,0.0253,-0.1132,0.0,0.656,step_10,loaded
0.128748,0.0,-0.0879,0.0308,-0.1187,0.0,0.555,step_10,loaded
0.139271,0.0,-0.0879,0.0355,-0.1234,0.0,0.469,step_10,loaded
0.149852,0.0,-0.0879,0.0395,-0.1274,0.0,0.397,step_10,loaded
0.160429,0.0,-0.0879,0.0443,-0.1322,0.0,0.323,step_10,loaded
0.171027,0.0,-0.0879,0.0469,-0.1348,0.0,0.264,step_10,loaded
0.181185,0.0,-0.0879,0.0492,-0.1371,0.0,0.227,step_10,loaded
0.191825,0.0,-0.0879,0.0512,-0.1391,0.0,0.198,step_10,loaded
0.201977,0.0,-0.0879,0.0529,-0.1408,0.0,0.173,step_10,loaded
0.212187,0.0,-0.0879,0.0544,-0.1423,0.0,0.152,step_10,loaded
0.222351,0.0,-0.0879,0.0558,-0.1437,0.0,0.135,step_10,loaded
0.232936,0.0,-0.0879,0.0570,-0.1449,0.0,0.120,step_10,loaded
0.243043,0.0,-0.0879,0.0581,-0.1460,0.0,0.108,step_10,loaded
0.253635,0.0,-0.0879,0.0590,-0.1469,0.0,0.097,step_10,loaded
0.263736,0.0,-0.0879,0.0599,-0.1478,0.0,0.087,step_10,loaded
0.27432,0.0,-0.0879,0.0607,-0.1486,0.0,0.078,step_10,loaded
0.285106,0.0,-0.0879,0.0617,-0.1496,0.0,0.069,step_10,loaded
0.295254,0.0,-0.0879,0.0623,-0.1502,0.0,0.061,step_10,loaded
0.305857,0.0,-0.0879,0.0629,-0.1508,0.0,0.056,step_10,loaded
0.316481,0.0,-0.0879,0.0634,-0.1513,0.0,0.050,step_10,loaded
0.32748,0.0,-0.0879,0.0639,-0.1518,0.0,0.046,step_10,loaded
0.33811,0.0,-0.0879,0.0643,-0.1522,0.0,0.042,step_10,loaded
0.348264,0.0,-0.0879,0.0647,-0.1526,0.0,0.038,step_10,loaded
0.35885,0.0,-0.0879,0.0650,-0.1529,0.0,0.035,step_10,loaded
0.368966,0.0,-0.0879,0.0653,-0.1532,0.0,0.032,step_10,loaded
0.379025,0.0,-0.0879,0.0656,-0.1535,0.0,0.029,step_10,loaded
0.38929,0.0,-0.0879,0.0659,-0.1538,0.0,0.026,step_10,loaded
0.399868,0.0,-0.0879,0.0661,-0.1540,0.0,0.024,step_10,loaded
0.410314,0.0,-0.0879,0.0664,-0.1543,0.0,0.022,step_10,loaded
0.420944,0.0,-0.0879,0.0666,-0.1545,0.0,0.019,step_10,loaded
0.431133,0.0,-0.0879,0.0668,-0.1547,0.0,0.018,step_10,loaded
0.44173,0.0,-0.0879,0.0670,-0.1549,0.0,0.016,step_10,loaded
0.451826,0.0,-0.0879,0.0671,-0.1550,0.0,0.015,step_10,loaded
0.461998,0.0,-0.0879,0.0673,-0.1552,0.0,0.014,step_10,loaded
0.472671,0.0,-0.0879,0.0674,-0.1553,0.0,0.012,step_10,loaded
0.483247,0.0,-0.0879,0.0675,-0.1554,0.0,0.011,step_10,loaded
0.493803,0.0,-0.0879,0.0676,-0.1555,0.0,0.010,step_10,loaded
0.504437,0.0,-0.0879,0.0677,-0.1556,0.0,0.010,step_10,loaded
0.515495,0.0,-0.0879,0.0678,-0.1557,0.0,0.009,step_10,loaded
0.526038,0.0,-0.0879,0.0679,-0.1558,0.0,0.008,step_10,loaded
0.536248,0.0,-0.0879,0.0680,-0.1559,0.0,0.007,step_10,loaded
0.547288,0.0,-0.0879,0.0680,-0.1559,0.0,0.006,step_10,loaded
0.557924,0.0,-0.0879,0.0681,-0.1560,0.0,0.006,step_10,loaded
0.568916,0.0,-0.0879,0.0682,-0.1561,0.0,0.005,step_10,loaded
0.579264,0.0,-0.0879,0.0682,-0.1561,0.0,0.005,step_10,loaded
0.589611,0.0,-0.0879,0.0682,-0.1561,0.0,0.005,step_10,loaded
0.600084,0.0,-0.0879,0.0683,-0.1562,0.0,0.004,step_10,loaded
0.610659,0.0,-0.0879,0.0683,-0.1562,0.0,0.004,step_10,loaded
0.620787,0.0,-0.0879,0.0684,-0.1563,0.0,0.003,step_10,loaded
0.631299,0.0,-0.0879,0.0684,-0.1563,0.0,0.003,step_10,loaded
0.642345,0.0,-0.0879,0.0684,-0.1563,0.0,0.003,step_10,loaded
0.653384,0.0,-0.0879,0.0685,-0.1564,0.0,0.003,step_10,loaded
0.663432,0.0,-0.0879,0.0685,-0.1564,0.0,0.002,step_10,loaded
0.67401,0.0,-0.0879,0.0685,-0.1564,0.0,0.002,step_10,loaded
0.684682,0.0,-0.0879,0.0685,-0.1564,0.0,0.002,step_10,loaded
0.695268,0.0,-0.0879,0.0686,-0.1565,0.0,0.002,step_10,loaded
0.705795,0.0,-0.0879,0.0686,-0.1565,0.0,0.002,step_10,loaded
0.715943,0.0,-0.0879,0.0686,-0.1565,0.0,0.001,step_10,loaded
0.726569,0.0,-0.0879,0.0686,-0.1565,0.0,0.001,step_10,loaded
0.736716,0.0,-0.0879,0.0686,-0.1565,0.0,0.001,step_10,loaded
0.747741,0.0,-0.0879,0.0686,-0.1565,0.0,0.001,step_10,loaded
0.757847,0.0,-0.0879,0.0686,-0.1565,0.0,0.001,step_10,loaded
0.768476,0.0,-0.0879,0.0686,-0.1565,0.0,0.001,step_10,loaded
0.779284,0.0,-0.0879,0.0687,-0.1566,0.0,0.001,step_10,loaded
0.789863,0.0,-0.0879,0.0687,-0.1566,0.0,0.001,step_10,loaded
0.80002,0.0,-0.0879,0.0687,-0.1566,0.0,0.001,step_10,loaded
0.81062,0.0,-0.0879,0.0687,-0.1566,0.0,0.001,step_10,loaded
0.821674,0.0,-0.0879,0.0687,-0.1566,0.0,0.001,step_10,loaded
0.832307,0.0,-0.0879,0.0687,-0.1566,0.0,0.001,step_10,loaded
0.843344,0.0,-0.0879,0.0687,-0.1566,0.0,0.001,step_10,loaded
0.853951,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,loaded
0.864168,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,loaded
0.874343,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,loaded
0.885374,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,loaded
0.895452,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,loaded
0.90566,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,loaded
0.916261,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,loaded
0.926434,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,loaded
0.93701,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,loaded
0.947172,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,loaded
0.957997,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,loaded
0.968974,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,loaded
0.979631,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,loaded
0.990627,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,loaded
1.001251,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,loaded
1.011338,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,loaded
1.021913,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,loaded
1.032063,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,loaded
1.04245,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,loaded
1.053361,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,loaded
1.064512,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,loaded
1.075036,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,loaded
1.086044,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,loaded
1.096188,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,loaded
1.106942,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,loaded
1.117112,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,loaded
1.127691,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,loaded
1.137974,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,loaded
1.148569,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,loaded
1.159004,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,loaded
1.170068,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,loaded
1.180752,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,loaded
1.19133,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,loaded
1.202029,9.791,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,loaded
1.212093,9.791,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,loaded
1.222653,9.791,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,loaded
1.233667,9.791,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,loaded
1.243833,9.791,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,loaded
1.253949,9.791,0.0000,0.0687,-0.0687,8.689,0.000,step_10,loaded
1.26411,9.791,0.2637,0.0687,0.1950,25.952,0.000,step_10,loaded
1.274692,9.791,0.5273,0.1909,0.3364,24.91,12.218,step_10,loaded
1.28576,9.791,1.1426,1.1908,-0.0482,55.593,66.656,step_10,loaded
1.296174,9.791,1.7578,2.3077,-0.5499,59.074,111.697,step_10,loaded
1.306653,9.791,2.4609,3.3534,-0.8925,67.096,104.569,step_10,loaded
1.317299,9.791,3.3398,4.3075,-0.9677,82.557,95.405,step_10,loaded
1.328155,9.791,4.1309,5.1422,-1.0113,72.872,83.469,step_10,loaded
1.33875,9.791,5.0098,5.8134,-0.8036,82.954,67.126,step_10,loaded
1.348867,9.791,5.6250,6.3675,-0.7425,60.809,55.411,step_10,loaded
1.359462,9.791,6.3281,6.8999,-0.5718,66.361,53.235,step_10,loaded
1.370512,9.791,6.9434,7.5543,-0.6109,55.683,43.626,step_10,loaded
1.380735,9.791,7.3828,7.9079,-0.5251,42.982,35.366,step_10,loaded
1.390823,9.791,7.7344,8.2072,-0.4728,34.853,29.922,step_10,loaded
1.401358,9.791,7.9980,8.4603,-0.4623,25.021,25.315,step_10,loaded
1.411789,9.791,8.1738,8.6745,-0.5007,16.854,21.418,step_10,loaded
1.421911,9.791,8.3496,8.8557,-0.5061,17.368,18.120,step_10,loaded
1.43249,9.791,8.4375,9.0090,-0.5715,8.309,15.330,step_10,loaded
1.443247,9.791,8.4375,9.1387,-0.7012,0.0,12.969,step_10,loaded
1.454293,9.791,8.4375,9.2484,-0.8109,0.0,10.973,step_10,loaded
1.464812,9.791,8.3496,9.3412,-0.9916,-8.356,9.284,step_10,loaded
1.475443,9.791,8.3496,9.4544,-1.1048,0.0,7.544,step_10,loaded
1.485602,9.791,8.5254,9.5155,-0.9901,17.305,6.113,step_10,loaded
1.49567,9.791,8.5254,9.5673,-1.0419,0.0,5.172,step_10,loaded
1.506517,9.791,8.5254,9.6110,-1.0856,0.0,4.376,step_10,loaded
1.517138,9.791,8.5254,9.6481,-1.1227,0.0,3.703,step_10,loaded
1.527253,9.791,8.5254,9.6794,-1.1540,0.0,3.133,step_10,loaded
1.537827,9.791,8.5254,9.7059,-1.1805,0.0,2.651,step_10,loaded
1.547982,9.791,8.5254,9.7283,-1.2029,0.0,2.243,step_10,loaded
1.558568,9.791,8.5254,9.7473,-1.2219,0.0,1.898,step_10,loaded
1.569634,9.791,8.6133,9.7634,-1.1501,7.943,1.606,step_10,loaded
1.580609,9.791,8.6133,9.7829,-1.1696,0.0,1.305,step_10,loaded
1.590755,9.791,8.6133,9.7935,-1.1802,0.0,1.057,step_10,loaded
1.601342,9.791,8.6133,9.8024,-1.1891,0.0,0.895,step_10,loaded
1.611507,9.791,8.7012,9.8100,-1.1088,8.647,0.757,step_10,loaded
1.622082,9.791,8.7012,9.8164,-1.1152,0.0,0.640,step_10,loaded
1.632174,9.791,8.7012,9.8218,-1.1206,0.0,0.542,step_10,loaded
1.642759,9.791,8.7012,9.8264,-1.1252,0.0,0.458,step_10,loaded
1.652909,9.791,8.7012,9.8303,-1.1291,0.0,0.388,step_10,loaded
1.66398,9.791,8.7012,9.8336,-1.1324,0.0,0.328,step_10,loaded
1.674111,9.791,8.7012,9.8364,-1.1352,0.0,0.279,step_10,loaded
1.684696,9.791,8.7891,9.8388,-1.0497,8.304,0.239,step_10,loaded
1.694921,9.791,8.7891,9.8408,-1.0517,0.0,0.207,step_10,loaded
1.705552,9.791,8.7891,9.8434,-1.0543,0.0,0.175,step_10,loaded
1.716638,9.791,8.7891,9.8449,-1.0558,0.0,0.149,step_10,loaded
1.727276,9.791,8.7891,9.8463,-1.0572,0.0,0.132,step_10,loaded
1.737898,9.791,8.7891,9.8474,-1.0583,0.0,0.118,step_10,loaded
1.748475,9.791,8.7891,9.8485,-1.0594,0.0,0.105,step_10,loaded
1.759103,9.791,8.7891,9.8494,-1.0603,0.0,0.095,step_10,loaded
1.769247,9.791,8.7891,9.8503,-1.0612,0.0,0.085,step_10,loaded
1.780382,9.791,8.7891,9.8514,-1.0623,0.0,0.075,step_10,loaded
1.791498,9.791,8.7891,9.8521,-1.0630,0.0,0.066,step_10,loaded
1.802128,9.791,8.7891,9.8527,-1.0636,0.0,0.060,step_10,loaded
1.813091,9.791,8.7891,9.8532,-1.0641,0.0,0.055,step_10,loaded
1.823724,9.791,8.7891,9.8537,-1.0646,0.0,0.050,step_10,loaded
1.834767,9.791,8.7891,9.8542,-1.0651,0.0,0.045,step_10,loaded
1.845005,9.791,8.7891,9.8548,-1.0657,0.0,0.040,step_10,loaded
1.855688,9.791,8.7891,9.8551,-1.0660,0.0,0.036,step_10,loaded
1.866274,9.791,8.7891,9.8555,-1.0664,0.0,0.033,step_10,loaded
1.876355,9.791,8.7891,9.8558,-1.0667,0.0,0.030,step_10,loaded
1.886965,9.791,8.7891,9.8560,-1.0669,0.0,0.028,step_10,loaded
1.897936,9.791,8.7891,9.8563,-1.0672,0.0,0.025,step_10,loaded
1.908573,9.791,8.7891,9.8565,-1.0674,0.0,0.023,step_10,loaded
1.918649,9.791,8.7891,9.8567,-1.0676,0.0,0.021,step_10,loaded
1.928706,9.791,8.7891,9.8569,-1.0678,0.0,0.019,step_10,loaded
1.938809,9.791,8.7891,9.8571,-1.0680,0.0,0.018,step_10,loaded
1.949439,9.791,8.7891,9.8573,-1.0682,0.0,0.016,step_10,loaded
1.960429,9.791,8.7891,9.8575,-1.0684,0.0,0.015,step_10,loaded
1.971481,9.791,8.7891,9.8576,-1.0685,0.0,0.013,step_10,loaded
1.981771,9.791,8.7891,9.8577,-1.0686,0.0,0.012,step_10,loaded
1.991817,9.791,8.7891,9.8579,-1.0688,0.0,0.011,step_10,loaded
2.002418,9.791,8.7891,9.8580,-1.0689,0.0,0.010,step_10,loaded
2.012709,9.791,8.7891,9.8580,-1.0689,0.0,0.009,step_10,loaded
2.023384,9.791,8.7891,9.8581,-1.0690,0.0,0.008,step_10,loaded
2.034021,9.791,8.7891,9.8582,-1.0691,0.0,0.008,step_10,loaded
2.044607,9.791,8.7891,9.8583,-1.0692,0.0,0.007,step_10,loaded
2.055208,9.791,8.7891,9.8584,-1.0693,0.0,0.006,step_10,loaded
2.065692,9.791,8.7891,9.8584,-1.0693,0.0,0.006,step_10,loaded
2.07628,9.791,8.7891,9.8585,-1.0694,0.0,0.005,step_10,loaded
2.086867,9.791,8.7891,9.8585,-1.0694,0.0,0.005,step_10,loaded
2.096927,9.791,8.7891,9.8586,-1.0695,0.0,0.004,step_10,loaded
2.107509,9.791,8.7891,9.8586,-1.0695,0.0,0.004,step_10,loaded
2.118001,9.791,8.7891,9.8587,-1.0696,0.0,0.004,step_10,loaded
2.128267,9.791,8.7891,9.8587,-1.0696,0.0,0.003,step_10,loaded
2.139377,9.791,8.7891,9.8587,-1.0696,0.0,0.003,step_10,loaded
2.14997,9.791,8.7891,9.8588,-1.0697,0.0,0.003,step_10,loaded
2.160597,9.791,8.7891,9.8588,-1.0697,0.0,0.003,step_10,loaded
2.171216,9.791,8.7891,9.8588,-1.0697,0.0,0.002,step_10,loaded
2.181833,9.791,8.7891,9.8588,-1.0697,0.0,0.002,step_10,loaded
2.192416,9.791,8.7891,9.8589,-1.0698,0.0,0.002,step_10,loaded
2.202959,9.791,8.7891,9.8589,-1.0698,0.0,0.002,step_10,loaded
2.213825,9.791,8.7891,9.8589,-1.0698,0.0,0.002,step_10,loaded
2.22399,9.791,8.7891,9.8589,-1.0698,0.0,0.002,step_10,loaded
2.234309,9.791,8.7891,9.8589,-1.0698,0.0,0.001,step_10,loaded
2.244547,9.791,8.7891,9.8589,-1.0698,0.0,0.001,step_10,loaded
2.255066,9.791,8.7891,9.8590,-1.0699,0.0,0.001,step_10,loaded
2.265429,9.791,8.7891,9.8590,-1.0699,0.0,0.001,step_10,loaded
2.276382,9.791,8.7891,9.8590,-1.0699,0.0,0.001,step_10,loaded
2.287011,9.791,8.7891,9.8590,-1.0699,0.0,0.001,step_10,loaded
2.297165,9.791,8.7891,9.8590,-1.0699,0.0,0.001,step_10,loaded
2.307744,9.791,8.7891,9.8590,-1.0699,0.0,0.001,step_10,loaded
2.31804,9.791,8.7891,9.8590,-1.0699,0.0,0.001,step_10,loaded
2.328397,9.791,8.7891,9.8590,-1.0699,0.0,0.001,step_10,loaded
2.338899,9.791,8.7891,9.8590,-1.0699,0.0,0.001,step_10,loaded
2.349092,9.791,8.7891,9.8590,-1.0699,0.0,0.001,step_10,loaded
2.359309,9.791,8.7891,9.8590,-1.0699,0.0,0.000,step_10,loaded
2.369934,9.791,8.7891,9.8590,-1.0699,0.0,0.000,step_10,loaded
2.380055,9.791,8.7891,9.8590,-1.0699,0.0,0.000,step_10,loaded
2.390659,9.791,8.7891,9.8590,-1.0699,0.0,0.000,step_10,loaded
2.401239,9.791,8.7891,9.8590,-1.0699,0.0,0.000,step_10,loaded
2.412524,0.0,8.7891,9.8590,-1.0699,0.0,0.000,step_10,loaded
2.422678,0.0,8.7891,9.8590,-1.0699,0.0,0.000,step_10,loaded
2.432757,0.0,8.7891,9.8591,-1.0700,0.0,0.000,step_10,loaded
2.443343,0.0,8.7891,9.8591,-1.0700,0.0,0.000,step_10,loaded
2.45352,0.0,8.7012,9.8591,-1.1579,-8.637,0.000,step_10,loaded
