time,commanded_deg,real_deg,sim_deg,error_deg,real_vel_deg_s,sim_vel_deg_s,experiment_id,load_condition
0.001658,0.0,-0.0879,-0.0198,-0.0681,0.0,0.005,step_10,no_load
0.012496,0.0,-0.0879,-0.0198,-0.0681,0.0,0.005,step_10,no_load
0.023346,0.0,-0.0879,-0.0197,-0.0682,0.0,0.005,step_10,no_load
0.03427,0.0,-0.0879,-0.0197,-0.0682,0.0,0.004,step_10,no_load
0.044828,0.0,-0.0879,-0.0196,-0.0683,0.0,0.004,step_10,no_load
0.055628,0.0,-0.0879,-0.0196,-0.0683,0.0,0.004,step_10,no_load
0.066208,0.0,-0.0879,-0.0195,-0.0684,0.0,0.003,step_10,no_load
0.077115,0.0,-0.0879,-0.0090,-0.0789,0.0,1.057,step_10,no_load
0.087576,0.0,-0.0879,0.0017,-0.0896,0.0,1.071,step_10,no_load
0.097883,0.0,-0.0879,0.0109,-0.0988,0.0,0.917,step_10,no_load
0.108431,0.0,-0.0879,0.0187,-0.1066,0.0,0.776,step_10,no_load
0.119008,0.0,-0.0879,0.0252,-0.1131,0.0,0.656,step_10,no_load
0.12964,0.0,-0.0879,0.0308,-0.1187,0.0,0.555,step_10,no_load
0.139995,0.0,-0.0879,0.0355,-0.1234,0.0,0.469,step_10,no_load
0.150557,0.0,-0.0879,0.0412,-0.1291,0.0,0.381,step_10,no_load
0.160857,0.0,-0.0879,0.0443,-0.1322,0.0,0.309,step_10,no_load
0.171317,0.0,-0.0879,0.0469,-0.1348,0.0,0.264,step_10,no_load
0.182419,0.0,-0.0879,0.0492,-0.1371,0.0,0.227,step_10,no_load
0.193345,0.0,-0.0879,0.0512,-0.1391,0.0,0.198,step_10,no_load
0.204413,0.0,-0.0879,0.0529,-0.1408,0.0,0.173,step_10,no_load
0.215017,0.0,-0.0879,0.0551,-0.1430,0.0,0.148,step_10,no_load
0.226016,0.0,-0.0879,0.0564,-0.1443,0.0,0.128,step_10,no_load
0.236183,0.0,-0.0879,0.0576,-0.1455,0.0,0.114,step_10,no_load
0.246661,0.0,-0.0879,0.0586,-0.1465,0.0,0.102,step_10,no_load
0.257664,0.0,-0.0879,0.0595,-0.1474,0.0,0.092,step_10,no_load
0.268484,0.0,-0.0879,0.0603,-0.1482,0.0,0.082,step_10,no_load
0.278663,0.0,-0.0879,0.0611,-0.1490,0.0,0.074,step_10,no_load
0.289642,0.0,-0.0879,0.0617,-0.1496,0.0,0.067,step_10,no_load
0.300242,0.0,-0.0879,0.0626,-0.1505,0.0,0.060,step_10,no_load
0.310796,0.0,-0.0879,0.0632,-0.1511,0.0,0.053,step_10,no_load
0.321425,0.0,-0.0879,0.0636,-0.1515,0.0,0.048,step_10,no_load
0.331735,0.0,-0.0879,0.0641,-0.1520,0.0,0.044,step_10,no_load
0.342346,0.0,-0.0879,0.0645,-0.1524,0.0,0.040,step_10,no_load
0.35239,0.0,-0.0879,0.0648,-0.1527,0.0,0.036,step_10,no_load
0.362976,0.0,-0.0879,0.0652,-0.1531,0.0,0.033,step_10,no_load
0.373321,0.0,-0.0879,0.0655,-0.1534,0.0,0.030,step_10,no_load
0.383838,0.0,-0.0879,0.0658,-0.1537,0.0,0.028,step_10,no_load
0.394436,0.0,-0.0879,0.0660,-0.1539,0.0,0.025,step_10,no_load
0.40541,0.0,-0.0879,0.0663,-0.1542,0.0,0.023,step_10,no_load
0.416391,0.0,-0.0879,0.0665,-0.1544,0.0,0.020,step_10,no_load
0.426753,0.0,-0.0879,0.0667,-0.1546,0.0,0.018,step_10,no_load
0.437283,0.0,-0.0879,0.0669,-0.1548,0.0,0.017,step_10,no_load
0.448356,0.0,-0.0879,0.0671,-0.1550,0.0,0.015,step_10,no_load
0.458842,0.0,-0.0879,0.0672,-0.1551,0.0,0.014,step_10,no_load
0.469897,0.0,-0.0879,0.0673,-0.1552,0.0,0.013,step_10,no_load
0.480529,0.0,-0.0879,0.0675,-0.1554,0.0,0.012,step_10,no_load
0.491547,0.0,-0.0879,0.0676,-0.1555,0.0,0.010,step_10,no_load
0.501704,0.0,-0.0879,0.0677,-0.1556,0.0,0.010,step_10,no_load
0.512235,0.0,-0.0879,0.0678,-0.1557,0.0,0.009,step_10,no_load
0.522704,0.0,-0.0879,0.0679,-0.1558,0.0,0.008,step_10,no_load
0.532831,0.0,-0.0879,0.0679,-0.1558,0.0,0.007,step_10,no_load
0.543494,0.0,-0.0879,0.0680,-0.1559,0.0,0.007,step_10,no_load
0.554042,0.0,-0.0879,0.0681,-0.1560,0.0,0.006,step_10,no_load
0.564246,0.0,-0.0879,0.0681,-0.1560,0.0,0.006,step_10,no_load
0.575208,0.0,-0.0879,0.0682,-0.1561,0.0,0.005,step_10,no_load
0.586543,0.0,-0.0879,0.0682,-0.1561,0.0,0.005,step_10,no_load
0.597681,0.0,-0.0879,0.0683,-0.1562,0.0,0.004,step_10,no_load
0.608306,0.0,-0.0879,0.0683,-0.1562,0.0,0.004,step_10,no_load
0.619407,0.0,-0.0879,0.0684,-0.1563,0.0,0.003,step_10,no_load
0.630039,0.0,-0.0879,0.0684,-0.1563,0.0,0.003,step_10,no_load
0.640958,0.0,-0.0879,0.0684,-0.1563,0.0,0.003,step_10,no_load
0.65215,0.0,-0.0879,0.0685,-0.1564,0.0,0.003,step_10,no_load
0.663175,0.0,-0.0879,0.0685,-0.1564,0.0,0.002,step_10,no_load
0.673803,0.0,-0.0879,0.0685,-0.1564,0.0,0.002,step_10,no_load
0.684516,0.0,-0.0879,0.0685,-0.1564,0.0,0.002,step_10,no_load
0.695123,0.0,-0.0879,0.0686,-0.1565,0.0,0.002,step_10,no_load
0.705288,0.0,-0.0879,0.0686,-0.1565,0.0,0.002,step_10,no_load
0.715912,0.0,-0.0879,0.0686,-0.1565,0.0,0.001,step_10,no_load
0.726957,0.0,-0.0879,0.0686,-0.1565,0.0,0.001,step_10,no_load
0.737545,0.0,-0.0879,0.0686,-0.1565,0.0,0.001,step_10,no_load
0.747899,0.0,-0.0879,0.0686,-0.1565,0.0,0.001,step_10,no_load
0.758465,0.0,-0.0879,0.0686,-0.1565,0.0,0.001,step_10,no_load
0.769319,0.0,-0.0879,0.0686,-0.1565,0.0,0.001,step_10,no_load
0.779964,0.0,-0.0879,0.0686,-0.1565,0.0,0.001,step_10,no_load
0.790177,0.0,-0.0879,0.0687,-0.1566,0.0,0.001,step_10,no_load
0.800582,0.0,-0.0879,0.0687,-0.1566,0.0,0.001,step_10,no_load
0.810685,0.0,-0.0879,0.0687,-0.1566,0.0,0.001,step_10,no_load
0.821126,0.0,-0.0879,0.0687,-0.1566,0.0,0.001,step_10,no_load
0.83173,0.0,-0.0879,0.0687,-0.1566,0.0,0.001,step_10,no_load
0.842812,0.0,-0.0879,0.0687,-0.1566,0.0,0.001,step_10,no_load
0.853893,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,no_load
0.864991,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,no_load
0.875621,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,no_load
0.886706,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,no_load
0.89733,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,no_load
0.908203,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,no_load
0.919325,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,no_load
0.930382,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,no_load
0.941021,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,no_load
0.952004,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,no_load
0.962637,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,no_load
0.972798,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,no_load
0.983529,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,no_load
0.994485,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,no_load
1.005507,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,no_load
1.016533,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,no_load
1.027507,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,no_load
1.038483,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,no_load
1.049477,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,no_load
1.060479,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,no_load
1.071125,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,no_load
1.082127,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,no_load
1.093124,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,no_load
1.104127,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,no_load
1.115128,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,no_load
1.126128,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,no_load
1.137126,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,no_load
1.148144,0.0,-0.0879,0.0687,-0.1566,0.0,0.000,step_10,no_load
