time,commanded_deg,real_deg,sim_deg,error_deg,real_vel_deg_s,sim_vel_deg_s,experiment_id,load_condition
0.000502,0.0,-0.1758,-0.1077,-0.0681,0.0,0.005,triangle,loaded
0.010963,0.0,-0.0879,-0.1076,0.0197,8.403,0.005,triangle,loaded
0.021953,0.0,-0.0879,-0.1076,0.0197,0.0,0.005,triangle,loaded
0.032962,0.0,-0.0879,-0.1076,0.0197,0.0,0.004,triangle,loaded
0.043955,0.0,-0.0879,-0.1075,0.0196,0.0,0.004,triangle,loaded
0.054954,0.0,-0.1758,-0.1075,-0.0683,-7.992,0.004,triangle,loaded
0.065951,0.0,-0.1758,-0.1074,-0.0684,0.0,0.003,triangle,loaded
0.076959,0.0,-0.1758,-0.0854,-0.0904,0.0,2.207,triangle,loaded
0.087951,0.0,-0.1758,-0.0630,-0.1128,0.0,2.237,triangle,loaded
0.098964,0.0,-0.1758,-0.0438,-0.1320,0.0,1.915,triangle,loaded
0.109964,0.0,-0.1758,-0.0277,-0.1481,0.0,1.619,triangle,loaded
0.12098,0.0,-0.1758,-0.0079,-0.1679,0.0,1.315,triangle,loaded
0.131959,0.0,-0.1758,0.0027,-0.1785,0.0,1.065,triangle,loaded
0.142975,0.0,-0.1758,0.0117,-0.1875,0.0,0.901,triangle,loaded
0.154029,0.0,-0.1758,0.0194,-0.1952,0.0,0.763,triangle,loaded
0.165109,0.0,-0.1758,0.0286,-0.2044,0.0,0.620,triangle,loaded
0.176009,0.0,-0.1758,0.0337,-0.2095,0.0,0.502,triangle,loaded
0.187029,0.0,-0.1758,0.0379,-0.2137,0.0,0.425,triangle,loaded
0.198026,0.0,-0.1758,0.0415,-0.2173,0.0,0.359,triangle,loaded
0.209014,0.0,-0.1758,0.0446,-0.2204,0.0,0.305,triangle,loaded
0.21998,0.0,-0.1758,0.0472,-0.2230,0.0,0.260,triangle,loaded
0.231073,0.0,-0.1758,0.0504,-0.2262,0.0,0.217,triangle,loaded
0.242095,0.0,-0.1758,0.0522,-0.2280,0.0,0.182,triangle,loaded
0.253107,0.0,-0.1758,0.0538,-0.2296,0.0,0.160,triangle,loaded
0.264014,0.0,-0.1758,0.0553,-0.2311,0.0,0.142,triangle,loaded
0.275098,0.0,-0.1758,0.0571,-0.2329,0.0,0.122,triangle,loaded
0.28611,0.0,-0.1758,0.0581,-0.2339,0.0,0.106,triangle,loaded
0.297029,0.0,-0.1758,0.0591,-0.2349,0.0,0.095,triangle,loaded
0.308099,0.0,-0.1758,0.0600,-0.2358,0.0,0.086,triangle,loaded
