time,commanded_deg,real_deg,sim_deg,error_deg,real_vel_deg_s,sim_vel_deg_s,experiment_id,load_condition
0.000892,27.4043,68.9062,68.9055,0.0007,0.0,-0.001,ramp,no_load
0.011539,27.4043,68.9062,68.9055,0.0007,0.0,-0.001,ramp,no_load
0.022236,27.4043,68.9062,68.9054,0.0008,0.0,-0.001,ramp,no_load
0.032794,27.4043,68.9062,68.9054,0.0008,0.0,-0.001,ramp,no_load
0.043444,27.4043,68.7305,68.9054,-0.1749,-16.498,-0.001,ramp,no_load
0.054069,27.4043,68.4668,68.9054,-0.4386,-24.819,-0.001,ramp,no_load
0.064175,27.4043,68.0273,68.9054,-0.8781,-43.489,-0.001,ramp,no_load
0.074876,27.4043,67.3242,68.7720,-1.4478,-65.704,-13.345,ramp,no_load
0.085356,27.4043,66.6211,67.6939,-1.0728,-67.09,-71.869,ramp,no_load
0.095933,27.4043,65.5664,66.5136,-0.9472,-99.716,-118.032,ramp,no_load
0.106723,27.4043,64.3359,65.0426,-0.7067,-114.041,-147.101,ramp,no_load
0.117307,27.4043,62.9297,63.3344,-0.4047,-132.861,-170.820,ramp,no_load
0.128355,27.4043,61.3477,61.4326,-0.0849,-143.193,-190.174,ramp,no_load
0.138788,27.4043,59.9414,59.3730,0.5684,-134.793,-205.967,ramp,no_load
0.149125,27.4043,58.3594,57.1844,1.1750,-153.042,-218.855,ramp,no_load
0.159324,27.4043,56.8652,54.8907,1.9745,-146.505,-229.372,ramp,no_load
0.169558,27.4043,55.2832,52.5112,2.7720,-154.583,-237.955,ramp,no_load
0.179788,27.4043,53.7891,50.0616,3.7275,-146.051,-244.959,ramp,no_load
0.190669,27.4043,52.1191,46.3170,5.8021,-153.479,-249.637,ramp,no_load
0.201496,27.4043,50.5371,44.0050,6.5321,-146.116,-231.204,ramp,no_load
0.212027,27.4043,48.8672,41.9507,6.9165,-158.57,-205.424,ramp,no_load
0.222903,27.4043,47.1973,40.1451,7.0522,-153.54,-180.560,ramp,no_load
0.233682,27.4043,45.5273,38.5627,6.9646,-154.931,-158.240,ramp,no_load
0.244363,27.4043,43.9453,37.1770,6.7683,-148.113,-138.568,ramp,no_load
0.2556,30.1447,42.0996,35.4152,6.6844,-164.252,-117.455,ramp,no_load
0.265718,30.1447,40.6934,34.4215,6.2719,-138.98,-99.368,ramp,no_load
0.276601,30.1447,38.9355,33.5516,5.3839,-161.527,-86.989,ramp,no_load
0.286973,30.1447,37.5293,32.7901,4.7392,-135.577,-76.151,ramp,no_load
0.297578,30.1447,36.2109,32.1235,4.0874,-124.319,-66.664,ramp,no_load
0.308352,30.1447,35.2441,31.5399,3.7042,-89.735,-58.359,ramp,no_load
0.319019,30.1447,34.6289,31.0290,3.5999,-57.673,-51.088,ramp,no_load
0.329287,30.1447,34.2773,30.7225,3.5548,-34.242,-30.653,ramp,no_load
0.339378,30.1447,34.0137,30.6259,3.3878,-26.122,-9.659,ramp,no_load
0.349485,30.1447,33.6621,30.5631,3.0990,-34.788,-6.280,ramp,no_load
0.359971,30.1447,33.2227,30.5136,2.7091,-41.903,-4.950,ramp,no_load
0.370261,30.1447,32.9590,30.4527,2.5063,-25.627,-4.058,ramp,no_load
0.380418,30.1447,32.6074,30.4187,2.1887,-34.617,-3.407,ramp,no_load
0.390843,30.1447,32.2559,30.3889,1.8670,-33.717,-2.978,ramp,no_load
0.401546,30.1447,31.9922,30.3628,1.6294,-24.638,-2.606,ramp,no_load
0.412123,30.1447,31.8164,30.3400,1.4764,-16.621,-2.281,ramp,no_load
0.422427,30.1447,31.6406,30.3200,1.3206,-17.061,-1.997,ramp,no_load
0.433431,30.1447,31.4648,30.3025,1.1623,-15.976,-1.748,ramp,no_load
0.443785,30.1447,31.2891,30.2872,1.0019,-16.969,-1.531,ramp,no_load
0.454848,30.1447,31.2012,30.2738,0.9274,-7.945,-1.340,ramp,no_load
0.465885,30.1447,31.1133,30.2568,0.8565,-7.964,-1.136,ramp,no_load
0.476516,30.1447,30.9375,30.2472,0.6903,-16.537,-0.961,ramp,no_load
0.487258,30.1447,30.8496,30.2388,0.6108,-8.183,-0.841,ramp,no_load
0.498073,30.1447,30.7617,30.2314,0.5303,-8.128,-0.736,ramp,no_load
0.509543,32.8852,30.7617,30.2250,0.5367,0.0,-0.645,ramp,no_load
0.519912,32.8852,30.7617,30.2193,0.5424,0.0,-0.564,ramp,no_load
0.530906,32.8852,30.7617,30.2122,0.5495,0.0,-0.478,ramp,no_load
0.541444,32.8852,30.7617,30.2081,0.5536,0.0,-0.405,ramp,no_load
0.551837,32.8852,30.7617,30.2046,0.5571,0.0,-0.354,ramp,no_load
0.562024,32.8852,30.8496,30.2015,0.6481,8.629,-0.310,ramp,no_load
0.572323,32.8852,31.2012,30.1988,1.0024,34.139,-0.271,ramp,no_load
0.582482,32.8852,31.4648,30.4739,0.9909,25.947,27.511,ramp,no_load
0.592927,32.8852,31.7285,30.7562,0.9723,25.247,28.234,ramp,no_load
0.603922,32.8852,31.9043,31.0134,0.8909,15.989,25.716,ramp,no_load
0.614403,32.8852,32.0801,31.2409,0.8392,16.773,22.753,ramp,no_load
0.624796,32.8852,32.1680,31.4406,0.7274,8.458,19.976,ramp,no_load
