time,commanded_deg,real_deg,sim_deg,error_deg,real_vel_deg_s,sim_vel_deg_s,experiment_id,load_condition
0.000534,68.5107,68.9941,68.9934,0.0007,0.0,-0.001,reverse,no_load
0.01106,68.5107,68.9941,68.9934,0.0007,0.0,-0.001,reverse,no_load
0.022012,68.5107,68.9941,68.9934,0.0007,0.0,-0.001,reverse,no_load
0.032775,68.5107,68.9941,68.9933,0.0008,0.0,-0.001,reverse,no_load
0.042924,68.5107,68.9941,68.9933,0.0008,0.0,-0.001,reverse,no_load
0.053528,68.5107,68.9941,68.9933,0.0008,0.0,-0.001,reverse,no_load
0.063792,68.5107,68.9941,68.9933,0.0008,0.0,-0.001,reverse,no_load
0.074429,68.5107,68.9941,68.9787,0.0154,0.0,-1.464,reverse,no_load
0.084723,68.5107,68.9941,68.9348,0.0593,0.0,-4.393,reverse,no_load
0.094911,68.5107,68.9941,68.8888,0.1053,0.0,-4.595,reverse,no_load
0.105033,68.5107,68.9941,68.8276,0.1665,0.0,-4.082,reverse,no_load
0.115323,68.5107,68.9941,68.7927,0.2014,0.0,-3.490,reverse,no_load
0.12565,68.5107,68.9941,68.7621,0.2320,0.0,-3.061,reverse,no_load
0.136143,68.5107,68.9941,68.7353,0.2588,0.0,-2.681,reverse,no_load
0.146882,68.5107,68.9941,68.7118,0.2823,0.0,-2.347,reverse,no_load
0.157338,68.5107,68.9941,68.6913,0.3028,0.0,-2.055,reverse,no_load
0.167723,68.5107,68.9941,68.6733,0.3208,0.0,-1.799,reverse,no_load
0.178932,68.5107,68.9941,68.6575,0.3366,0.0,-1.575,reverse,no_load
0.189566,68.5107,68.9941,68.6437,0.3504,0.0,-1.378,reverse,no_load
0.200367,68.5107,68.9941,68.6262,0.3679,0.0,-1.168,reverse,no_load
0.210816,68.5107,68.9941,68.6163,0.3778,0.0,-0.988,reverse,no_load
0.221419,68.5107,68.9941,68.6077,0.3864,0.0,-0.865,reverse,no_load
0.232055,68.5107,68.9941,68.6001,0.3940,0.0,-0.757,reverse,no_load
0.242145,68.5107,68.9941,68.5935,0.4006,0.0,-0.663,reverse,no_load
0.252519,68.5107,68.9941,68.5877,0.4064,0.0,-0.580,reverse,no_load
0.262681,68.5107,68.9062,68.5826,0.3236,-8.65,-0.508,reverse,no_load
0.273132,68.5107,68.9062,68.5781,0.3281,0.0,-0.445,reverse,no_load
0.283566,68.5107,68.9062,68.5742,0.3320,0.0,-0.389,reverse,no_load
0.293764,68.5107,68.9062,68.5708,0.3354,0.0,-0.341,reverse,no_load
0.304124,68.5107,68.9062,68.5678,0.3384,0.0,-0.298,reverse,no_load
0.314296,68.5107,68.9062,68.5652,0.3410,0.0,-0.261,reverse,no_load
0.324658,68.5107,68.9062,68.5629,0.3433,0.0,-0.229,reverse,no_load
0.334985,68.5107,68.9062,68.5609,0.3453,0.0,-0.200,reverse,no_load
0.345558,68.5107,68.9062,68.5584,0.3478,0.0,-0.170,reverse,no_load
0.356223,68.5107,68.9062,68.5570,0.3492,0.0,-0.144,reverse,no_load
0.366457,68.5107,68.9062,68.5557,0.3505,0.0,-0.130,reverse,no_load
0.377215,68.5107,68.9062,68.5545,0.3517,0.0,-0.121,reverse,no_load
0.387629,68.5107,68.9062,68.5533,0.3529,0.0,-0.115,reverse,no_load
0.39808,68.5107,68.9062,68.5522,0.3540,0.0,-0.110,reverse,no_load
0.408646,68.5107,68.9062,68.5511,0.3551,0.0,-0.107,reverse,no_load
0.418997,68.5107,68.9062,68.5501,0.3561,0.0,-0.104,reverse,no_load
0.429912,68.5107,68.9062,68.5491,0.3571,0.0,-0.101,reverse,no_load
