time,commanded_deg,real_deg,sim_deg,error_deg,real_vel_deg_s,sim_vel_deg_s,experiment_id,load_condition
0.000764,27.4043,27.7734,27.7718,0.0016,0.0,-0.002,staircase3,no_load
0.010999,27.4043,27.7734,27.7718,0.0016,0.0,-0.002,staircase3,no_load
0.021978,27.4043,27.7734,27.7717,0.0017,0.0,-0.002,staircase3,no_load
0.032517,27.4043,27.7734,27.7717,0.0017,0.0,-0.002,staircase3,no_load
0.043004,27.4043,27.7734,27.7717,0.0017,0.0,-0.002,staircase3,no_load
0.05372,27.4043,27.7734,27.7717,0.0017,0.0,-0.002,staircase3,no_load
0.064283,27.4043,27.7734,27.7717,0.0017,0.0,-0.001,staircase3,no_load
0.074864,27.4043,27.7734,27.7608,0.0126,0.0,-1.091,staircase3,no_load
0.085615,27.4043,27.7734,27.7107,0.0627,0.0,-3.337,staircase3,no_load
0.09602,27.4043,27.7734,27.6778,0.0956,0.0,-3.295,staircase3,no_load
0.106378,27.4043,27.7734,27.6482,0.1252,0.0,-2.951,staircase3,no_load
0.116624,27.4043,27.7734,27.6223,0.1511,0.0,-2.599,staircase3,no_load
0.127819,27.4043,27.7734,27.5995,0.1739,0.0,-2.279,staircase3,no_load
0.138087,27.4043,27.7734,27.5795,0.1939,0.0,-1.996,staircase3,no_load
0.148705,27.4043,27.7734,27.5620,0.2114,0.0,-1.748,staircase3,no_load
0.158956,27.4043,27.7734,27.5467,0.2267,0.0,-1.530,staircase3,no_load
0.169366,27.4043,27.7734,27.5333,0.2401,0.0,-1.339,staircase3,no_load
0.180017,27.4043,27.7734,27.5163,0.2571,0.0,-1.135,staircase3,no_load
0.19077,27.4043,27.7734,27.5067,0.2667,0.0,-0.960,staircase3,no_load
0.201353,27.4043,27.7734,27.4983,0.2751,0.0,-0.841,staircase3,no_load
0.212014,27.4043,27.7734,27.4909,0.2825,0.0,-0.736,staircase3,no_load
0.222589,27.4043,27.7734,27.4845,0.2889,0.0,-0.644,staircase3,no_load
0.233062,27.4043,27.7734,27.4789,0.2945,0.0,-0.564,staircase3,no_load
0.243308,27.4043,27.7734,27.4739,0.2995,0.0,-0.494,staircase3,no_load
0.253457,27.4043,27.7734,27.4696,0.3038,0.0,-0.432,staircase3,no_load
0.264176,27.4043,27.7734,27.4658,0.3076,0.0,-0.378,staircase3,no_load
0.274807,27.4043,27.7734,27.4625,0.3109,0.0,-0.331,staircase3,no_load
0.285377,27.4043,27.7734,27.4583,0.3151,0.0,-0.281,staircase3,no_load
0.296043,27.4043,27.7734,27.4559,0.3175,0.0,-0.238,staircase3,no_load
0.306545,27.4043,27.7734,27.4538,0.3196,0.0,-0.208,staircase3,no_load
0.316982,27.4043,27.7734,27.4520,0.3214,0.0,-0.182,staircase3,no_load
0.327834,27.4043,27.7734,27.4504,0.3230,0.0,-0.159,staircase3,no_load
0.338301,27.4043,27.7734,27.4490,0.3244,0.0,-0.140,staircase3,no_load
0.348771,27.4043,27.7734,27.4477,0.3257,0.0,-0.128,staircase3,no_load
0.359516,27.4043,27.7734,27.4466,0.3268,0.0,-0.120,staircase3,no_load
0.37028,27.4043,27.7734,27.4449,0.3285,0.0,-0.113,staircase3,no_load
0.380545,27.4043,27.7734,27.4438,0.3296,0.0,-0.108,staircase3,no_load
0.391711,27.4043,27.7734,27.4427,0.3307,0.0,-0.104,staircase3,no_load
0.402391,27.4043,27.7734,27.4417,0.3317,0.0,-0.102,staircase3,no_load
0.412877,27.4043,27.7734,27.4407,0.3327,0.0,-0.099,staircase3,no_load
0.4239,27.4043,27.7734,27.4398,0.3336,0.0,-0.096,staircase3,no_load
0.434683,27.4043,27.7734,27.4388,0.3346,0.0,-0.094,staircase3,no_load
0.445082,27.4043,27.7734,27.4375,0.3359,0.0,-0.091,staircase3,no_load
0.455681,27.4043,27.7734,27.4366,0.3368,0.0,-0.088,staircase3,no_load
0.465953,27.4043,27.7734,27.4357,0.3377,0.0,-0.086,staircase3,no_load
0.477031,27.4043,27.7734,27.4349,0.3385,0.0,-0.084,staircase3,no_load
0.487481,27.4043,27.7734,27.4341,0.3393,0.0,-0.082,staircase3,no_load
0.497681,27.4043,27.7734,27.4333,0.3401,0.0,-0.080,staircase3,no_load
0.50819,27.4043,27.7734,27.4325,0.3409,0.0,-0.078,staircase3,no_load
0.51863,27.4043,27.7734,27.4317,0.3417,0.0,-0.076,staircase3,no_load
0.529407,27.4043,27.7734,27.4310,0.3424,0.0,-0.074,staircase3,no_load
0.53973,27.4043,27.7734,27.4303,0.3431,0.0,-0.072,staircase3,no_load
0.550604,27.4043,27.7734,27.4292,0.3442,0.0,-0.070,staircase3,no_load
