time,commanded_deg,real_deg,sim_deg,error_deg,real_vel_deg_s,sim_vel_deg_s,experiment_id,load_condition
0.00241,68.5107,68.9062,68.9055,0.0007,0.0,-0.001,step_20,no_load
0.013093,68.5107,68.9062,68.9055,0.0007,0.0,-0.001,step_20,no_load
0.02369,68.5107,68.9062,68.9054,0.0008,0.0,-0.001,step_20,no_load
0.034396,68.5107,68.9062,68.9054,0.0008,0.0,-0.001,step_20,no_load
0.045154,68.5107,68.9062,68.9054,0.0008,0.0,-0.001,step_20,no_load
0.055922,68.5107,68.9062,68.9054,0.0008,0.0,-0.001,step_20,no_load
0.06665,68.5107,68.9062,68.9054,0.0008,0.0,-0.001,step_20,no_load
0.077001,68.5107,68.9062,68.8769,0.0293,0.0,-2.852,step_20,no_load
0.088408,68.5107,68.9062,68.8397,0.0665,0.0,-3.723,step_20,no_load
0.098919,68.5107,68.9062,68.8041,0.1021,0.0,-3.554,step_20,no_load
0.109344,68.5107,68.9062,68.7723,0.1339,0.0,-3.182,step_20,no_load
0.119734,68.5107,68.9062,68.7443,0.1619,0.0,-2.803,step_20,no_load
0.130836,68.5107,68.9062,68.7086,0.1976,0.0,-2.380,step_20,no_load
0.141523,68.5107,68.9062,68.6884,0.2178,0.0,-2.014,step_20,no_load
0.152286,68.5107,68.9062,68.6708,0.2354,0.0,-1.764,step_20,no_load
0.163267,68.5107,68.9062,68.6554,0.2508,0.0,-1.544,step_20,no_load
0.173877,68.5107,68.9062,68.6418,0.2644,0.0,-1.352,step_20,no_load
0.184952,68.5107,68.9062,68.6300,0.2762,0.0,-1.183,step_20,no_load
0.195395,68.5107,68.9062,68.6150,0.2912,0.0,-1.003,step_20,no_load
0.205796,68.5107,68.9062,68.6065,0.2997,0.0,-0.848,step_20,no_load
0.216207,68.5107,68.9062,68.5991,0.3071,0.0,-0.743,step_20,no_load
0.226874,68.5107,68.9062,68.5926,0.3136,0.0,-0.650,step_20,no_load
0.237002,68.5107,68.9062,68.5869,0.3193,0.0,-0.569,step_20,no_load
0.248002,68.5107,68.9062,68.5819,0.3243,0.0,-0.498,step_20,no_load
0.258421,68.5107,68.9062,68.5775,0.3287,0.0,-0.436,step_20,no_load
0.268556,68.5107,68.9062,68.5737,0.3325,0.0,-0.382,step_20,no_load
0.278758,68.5107,68.9062,68.5704,0.3358,0.0,-0.334,step_20,no_load
0.289755,68.5107,68.9062,68.5674,0.3388,0.0,-0.293,step_20,no_load
0.299875,68.5107,68.9062,68.5649,0.3413,0.0,-0.256,step_20,no_load
0.310821,68.5107,68.9062,68.5616,0.3446,0.0,-0.217,step_20,no_load
0.32147,68.5107,68.9062,68.5598,0.3464,0.0,-0.184,step_20,no_load
0.332163,68.5107,68.9062,68.5582,0.3480,0.0,-0.161,step_20,no_load
0.342708,68.5107,68.9062,68.5568,0.3494,0.0,-0.141,step_20,no_load
0.352989,68.5107,68.9062,68.5555,0.3507,0.0,-0.128,step_20,no_load
0.36317,68.5107,68.9062,68.5543,0.3519,0.0,-0.120,step_20,no_load
0.373448,68.5107,68.9062,68.5531,0.3531,0.0,-0.114,step_20,no_load
0.384079,68.5107,68.9062,68.5520,0.3542,0.0,-0.110,step_20,no_load
0.394927,68.5107,68.9062,68.5510,0.3552,0.0,-0.106,step_20,no_load
0.405576,68.5107,68.9062,68.5494,0.3568,0.0,-0.102,step_20,no_load
0.416195,68.5107,68.9062,68.5484,0.3578,0.0,-0.099,step_20,no_load
0.426785,68.5107,68.9062,68.5475,0.3587,0.0,-0.096,step_20,no_load
0.43812,68.5107,68.9062,68.5465,0.3597,0.0,-0.094,step_20,no_load
0.44898,68.5107,68.9062,68.5456,0.3606,0.0,-0.092,step_20,no_load
0.459878,68.5107,68.9062,68.5447,0.3615,0.0,-0.089,step_20,no_load
0.470898,68.5107,68.9062,68.5434,0.3628,0.0,-0.087,step_20,no_load
0.481683,68.5107,68.9062,68.5426,0.3636,0.0,-0.084,step_20,no_load
0.492512,68.5107,68.9062,68.5418,0.3644,0.0,-0.082,step_20,no_load
0.503465,68.5107,68.9062,68.5410,0.3652,0.0,-0.080,step_20,no_load
0.513671,68.5107,68.9062,68.5402,0.3660,0.0,-0.078,step_20,no_load
0.524288,68.5107,68.9062,68.5394,0.3668,0.0,-0.076,step_20,no_load
0.53466,68.5107,68.9062,68.5387,0.3675,0.0,-0.074,step_20,no_load
0.544944,68.5107,68.9062,68.5380,0.3682,0.0,-0.072,step_20,no_load
0.555319,68.5107,68.9062,68.5369,0.3693,0.0,-0.070,step_20,no_load
0.56605,68.5107,68.9062,68.5363,0.3699,0.0,-0.068,step_20,no_load
0.577191,68.5107,68.9062,68.5356,0.3706,0.0,-0.066,step_20,no_load
0.587596,68.5107,68.9062,68.5349,0.3713,0.0,-0.064,step_20,no_load
0.598231,68.5107,68.9062,68.5343,0.3719,0.0,-0.063,step_20,no_load
0.608801,68.5107,68.9062,68.5337,0.3725,0.0,-0.061,step_20,no_load
0.61944,68.5107,68.9062,68.5331,0.3731,0.0,-0.060,step_20,no_load
0.629836,68.5107,68.9062,68.5325,0.3737,0.0,-0.058,step_20,no_load
0.640394,68.5107,68.9062,68.5317,0.3745,0.0,-0.056,step_20,no_load
