time,commanded_deg,real_deg,sim_deg,error_deg,real_vel_deg_s,sim_vel_deg_s,experiment_id,load_condition
0.001136,68.5107,68.9062,68.9055,0.0007,0.0,-0.001,triangle,no_load
0.011871,68.5107,68.9062,68.9055,0.0007,0.0,-0.001,triangle,no_load
0.022511,68.5107,68.9062,68.9054,0.0008,0.0,-0.001,triangle,no_load
0.032711,68.5107,68.9062,68.9054,0.0008,0.0,-0.001,triangle,no_load
0.042895,68.5107,68.9062,68.9054,0.0008,0.0,-0.001,triangle,no_load
0.054223,68.5107,68.9062,68.9054,0.0008,0.0,-0.001,triangle,no_load
0.064619,68.5107,68.9062,68.9054,0.0008,0.0,-0.001,triangle,no_load
0.075114,68.5107,68.9062,68.8769,0.0293,0.0,-1.901,triangle,no_load
0.085245,68.5107,68.9062,68.8397,0.0665,0.0,-3.723,triangle,no_load
0.095521,68.5107,68.9062,68.8041,0.1021,0.0,-3.554,triangle,no_load
0.106509,68.5107,68.9062,68.7723,0.1339,0.0,-3.182,triangle,no_load
0.116786,68.5107,68.9062,68.7443,0.1619,0.0,-2.803,triangle,no_load
0.127529,68.5107,68.9062,68.7197,0.1865,0.0,-2.458,triangle,no_load
0.137958,68.5107,68.9062,68.6982,0.2080,0.0,-2.153,triangle,no_load
0.148594,68.5107,68.9062,68.6793,0.2269,0.0,-1.885,triangle,no_load
0.159071,68.5107,68.9062,68.6628,0.2434,0.0,-1.650,triangle,no_load
0.169731,68.5107,68.9062,68.6484,0.2578,0.0,-1.444,triangle,no_load
0.180389,68.5107,68.9062,68.6300,0.2762,0.0,-1.224,triangle,no_load
0.190772,68.5107,68.9062,68.6197,0.2865,0.0,-1.036,triangle,no_load
0.201456,68.5107,68.9062,68.6106,0.2956,0.0,-0.907,triangle,no_load
0.21214,68.5107,68.9062,68.6027,0.3035,0.0,-0.794,triangle,no_load
0.222726,68.5107,68.9062,68.5957,0.3105,0.0,-0.695,triangle,no_load
0.232931,68.5107,68.9062,68.5896,0.3166,0.0,-0.608,triangle,no_load
0.243385,68.5107,68.9062,68.5843,0.3219,0.0,-0.533,triangle,no_load
0.254144,68.5107,68.9062,68.5796,0.3266,0.0,-0.466,triangle,no_load
0.264306,68.5107,68.9062,68.5756,0.3306,0.0,-0.408,triangle,no_load
0.274701,68.5107,68.9062,68.5720,0.3342,0.0,-0.357,triangle,no_load
0.284945,68.5107,68.9062,68.5689,0.3373,0.0,-0.313,triangle,no_load
0.295544,68.5107,68.9062,68.5649,0.3413,0.0,-0.265,triangle,no_load
0.30588,68.5107,68.9062,68.5626,0.3436,0.0,-0.224,triangle,no_load
0.316851,68.5107,68.9062,68.5607,0.3455,0.0,-0.196,triangle,no_load
0.32741,68.5107,68.9062,68.5590,0.3472,0.0,-0.172,triangle,no_load
0.337652,68.5107,68.9062,68.5574,0.3488,0.0,-0.150,triangle,no_load
0.348083,68.5107,68.9062,68.5561,0.3501,0.0,-0.134,triangle,no_load
0.35888,68.5107,68.9062,68.5549,0.3513,0.0,-0.124,triangle,no_load
0.369339,68.5107,68.9062,68.5537,0.3525,0.0,-0.117,triangle,no_load
0.380222,68.5107,68.9062,68.5520,0.3542,0.0,-0.111,triangle,no_load
0.391337,68.5107,68.9062,68.5510,0.3552,0.0,-0.106,triangle,no_load
0.401608,68.5107,68.9062,68.5499,0.3563,0.0,-0.103,triangle,no_load
0.412492,68.5107,68.9062,68.5489,0.3573,0.0,-0.100,triangle,no_load
0.422977,68.5107,68.9062,68.5480,0.3582,0.0,-0.098,triangle,no_load
0.433472,68.5107,68.9062,68.5470,0.3592,0.0,-0.095,triangle,no_load
0.444107,68.5107,68.9062,68.5461,0.3601,0.0,-0.093,triangle,no_load
0.454705,68.5107,68.9062,68.5452,0.3610,0.0,-0.091,triangle,no_load
0.46534,68.5107,68.9062,68.5439,0.3623,0.0,-0.088,triangle,no_load
0.475528,68.5107,68.9062,68.5430,0.3632,0.0,-0.085,triangle,no_load
0.485819,68.5107,68.9062,68.5422,0.3640,0.0,-0.083,triangle,no_load
0.496073,68.5107,68.9062,68.5414,0.3648,0.0,-0.081,triangle,no_load
0.507022,68.5107,68.9062,68.5406,0.3656,0.0,-0.079,triangle,no_load
0.517577,68.5107,68.9062,68.5398,0.3664,0.0,-0.077,triangle,no_load
0.527706,68.5107,68.9062,68.5391,0.3671,0.0,-0.075,triangle,no_load
0.537776,68.5107,68.9062,68.5383,0.3679,0.0,-0.073,triangle,no_load
0.54829,68.5107,68.9062,68.5376,0.3686,0.0,-0.071,triangle,no_load
0.558748,68.5107,68.9062,68.5369,0.3693,0.0,-0.070,triangle,no_load
0.569455,68.5107,68.9062,68.5363,0.3699,0.0,-0.068,triangle,no_load
0.579615,68.5107,68.9062,68.5356,0.3706,0.0,-0.066,triangle,no_load
0.590167,68.5107,68.9062,68.5346,0.3716,0.0,-0.064,triangle,no_load
0.601191,68.5107,68.9062,68.5340,0.3722,0.0,-0.062,triangle,no_load
0.611924,68.5107,68.9062,68.5334,0.3728,0.0,-0.061,triangle,no_load
0.622264,68.5107,68.9062,68.5328,0.3734,0.0,-0.059,triangle,no_load
0.632799,68.5107,68.9062,68.5322,0.3740,0.0,-0.058,triangle,no_load
0.643009,68.5107,68.9062,68.5317,0.3745,0.0,-0.056,triangle,no_load
0.653243,68.5107,68.9062,68.5311,0.3751,0.0,-0.055,triangle,no_load
0.663812,68.5107,68.9062,68.5306,0.3756,0.0,-0.053,triangle,no_load
0.674039,68.5107,68.9062,68.5301,0.3761,0.0,-0.052,triangle,no_load
0.684485,68.5107,68.9062,68.5296,0.3766,0.0,-0.051,triangle,no_load
0.694623,68.5107,68.9062,68.5291,0.3771,0.0,-0.049,triangle,no_load
0.705525,68.5107,68.9062,68.5284,0.3778,0.0,-0.048,triangle,no_load
0.715887,68.5107,68.9062,68.5279,0.3783,0.0,-0.046,triangle,no_load
0.72646,68.5107,68.9062,68.5274,0.3788,0.0,-0.045,triangle,no_load
0.736589,68.5107,68.9062,68.5270,0.3792,0.0,-0.044,triangle,no_load
0.746684,68.5107,68.9062,68.5266,0.3796,0.0,-0.043,triangle,no_load
0.756949,68.5107,68.9062,68.5261,0.3801,0.0,-0.042,triangle,no_load
0.767472,68.5107,68.9062,68.5257,0.3805,0.0,-0.041,triangle,no_load
0.778288,68.5107,68.9062,68.5253,0.3809,0.0,-0.040,triangle,no_load
0.788523,68.5107,68.9062,68.5249,0.3813,0.0,-0.039,triangle,no_load
0.798951,68.5107,68.9062,68.5246,0.3816,0.0,-0.038,triangle,no_load
0.809559,68.5107,68.9062,68.5242,0.3820,0.0,-0.037,triangle,no_load
0.81976,68.5107,68.9062,68.5238,0.3824,0.0,-0.036,triangle,no_load
0.829878,68.5107,68.9062,68.5235,0.3827,0.0,-0.035,triangle,no_load
0.840317,68.5107,68.9062,68.5230,0.3832,0.0,-0.034,triangle,no_load
