time,commanded_deg,real_deg,sim_deg,error_deg,real_vel_deg_s,sim_vel_deg_s,experiment_id,load_condition
0.0028,-26.7363,0.0879,0.0879,0.0000,0.0,0.000,ramp,no_load
0.013307,-26.7363,0.0879,0.0879,0.0000,0.0,0.000,ramp,no_load
0.023475,-26.7363,0.0879,0.0879,0.0000,0.0,0.000,ramp,no_load
0.034213,-26.7363,0.0879,0.0879,0.0000,0.0,0.000,ramp,no_load
0.045208,-26.7363,0.0879,0.0879,0.0000,0.0,0.000,ramp,no_load
0.055771,-26.7363,0.0000,0.0879,-0.0879,-8.321,0.000,ramp,no_load
0.066246,-26.7363,-0.3516,0.0879,-0.4395,-33.566,0.000,ramp,no_load
0.076993,-26.7363,-1.1426,-0.1687,-0.9739,-73.602,-25.655,ramp,no_load
0.087764,-26.7363,-1.9336,-0.7321,-1.2015,-73.438,-56.345,ramp,no_load
0.09796,-26.7363,-2.8125,-1.5648,-1.2477,-86.2,-83.269,ramp,no_load
0.108414,-26.7363,-3.9551,-2.6337,-1.3214,-109.298,-106.890,ramp,no_load
0.118811,-26.7363,-5.2734,-3.9098,-1.3636,-126.796,-127.613,ramp,no_load
0.12984,-26.7363,-6.7676,-5.3677,-1.3999,-135.479,-145.792,ramp,no_load
0.140214,-26.7363,-8.5254,-7.8475,-0.6779,-169.443,-165.315,ramp,no_load
0.15036,-26.7363,-10.1953,-9.6682,-0.5271,-164.587,-182.072,ramp,no_load
0.160594,-26.7363,-11.9531,-11.6039,-0.3492,-171.761,-193.570,ramp,no_load
0.17099,-26.7363,-13.7109,-13.6404,-0.0705,-169.084,-203.656,ramp,no_load
0.181172,-26.7363,-15.7324,-15.5340,-0.1984,-198.537,-189.353,ramp,no_load
0.19143,-26.7363,-17.3145,-17.1345,-0.1800,-154.231,-160.052,ramp,no_load
0.201937,-26.7363,-18.7207,-18.5325,-0.1882,-133.835,-139.805,ramp,no_load
0.212424,-26.7363,-19.8633,-19.7727,-0.0906,-108.954,-124.015,ramp,no_load
0.222788,-26.7363,-20.9180,-20.7779,-0.1401,-101.766,-100.521,ramp,no_load
0.233868,-26.7363,-21.7969,-21.6537,-0.1432,-79.323,-87.579,ramp,no_load
0.244789,-26.7363,-22.5000,-22.3661,-0.1339,-64.381,-71.240,ramp,no_load
0.256166,-24.9539,-23.0273,-23.3324,0.3051,-46.348,-64.418,ramp,no_load
0.266843,-24.9539,-23.3789,-23.8575,0.4786,-32.931,-52.515,ramp,no_load
0.277231,-24.9539,-23.5547,-24.3016,0.7469,-16.923,-44.405,ramp,no_load
0.287822,-24.9539,-23.7305,-24.6769,0.9464,-16.599,-37.538,ramp,no_load
0.298486,-24.9539,-23.9063,-24.9943,1.0880,-16.485,-31.733,ramp,no_load
0.309248,-24.9539,-24.0820,-25.2625,1.1805,-16.326,-26.825,ramp,no_load
0.319597,-24.9539,-24.2578,-25.4893,1.2315,-16.987,-22.677,ramp,no_load
0.330014,-24.9539,-24.3457,-25.5138,1.1681,-8.438,-1.633,ramp,no_load
0.340608,-24.9539,-24.4336,-25.4477,1.0141,-8.297,6.613,ramp,no_load
0.350878,-24.9539,-24.4336,-25.3897,0.9561,0.0,5.801,ramp,no_load
0.361112,-24.9539,-24.4336,-25.3388,0.9052,0.0,5.090,ramp,no_load
0.371593,-24.9539,-24.4336,-25.2941,0.8605,0.0,4.465,ramp,no_load
0.382393,-24.9539,-24.3457,-25.2549,0.9092,8.139,3.917,ramp,no_load
0.393178,-24.9539,-24.3457,-25.2206,0.8749,0.0,3.437,ramp,no_load
0.403373,-24.9539,-24.2578,-25.1904,0.9326,8.622,3.015,ramp,no_load
0.413869,-24.9539,-24.1699,-25.1640,0.9941,8.375,2.645,ramp,no_load
0.424311,-24.9539,-24.1699,-25.1408,0.9709,0.0,2.321,ramp,no_load
0.434541,-24.9539,-24.1699,-25.1204,0.9505,0.0,2.036,ramp,no_load
0.444993,-24.9539,-24.1699,-25.1025,0.9326,0.0,1.786,ramp,no_load
0.455326,-24.9539,-24.1699,-25.1249,0.9550,0.0,-1.489,ramp,no_load
0.465929,-24.9539,-24.2578,-25.1120,0.8542,-8.29,1.288,ramp,no_load
0.476422,-24.9539,-24.3457,-25.1007,0.7550,-8.377,1.130,ramp,no_load
0.486521,-24.9539,-24.4336,-25.0908,0.6572,-8.704,0.991,ramp,no_load
0.496622,-24.9539,-24.6094,-25.0821,0.4727,-17.404,0.869,ramp,no_load
0.507172,-23.1715,-24.7852,-25.0745,0.2893,-16.664,0.763,ramp,no_load
0.517223,-23.1715,-24.8730,-25.0678,0.1948,-8.735,0.669,ramp,no_load
0.527455,-23.1715,-24.9609,-25.0619,0.1010,-8.591,0.587,ramp,no_load
0.538039,-23.1715,-25.0488,-25.0568,0.0080,-8.305,0.515,ramp,no_load
0.548179,-23.1715,-25.0488,-25.0522,0.0034,0.0,0.452,ramp,no_load
0.55841,-23.1715,-24.9609,-25.0483,0.0874,8.592,0.396,ramp,no_load
0.568735,-23.1715,-24.6973,-25.0448,0.3475,25.53,0.348,ramp,no_load
0.579757,-23.1715,-24.3457,-24.8670,0.5213,31.9,17.777,ramp,no_load
0.589978,-23.1715,-23.9941,-24.6112,0.6171,34.4,25.587,ramp,no_load
0.600478,-23.1715,-23.4668,-24.2925,0.8257,50.219,21.243,ramp,no_load
0.610966,-23.1715,-23.3789,-24.1203,0.7414,8.381,17.221,ramp,no_load
0.621127,-23.1715,-23.3789,-23.9747,0.5958,0.0,14.558,ramp,no_load
0.631212,-23.1715,-23.3789,-23.8517,0.4728,0.0,12.307,ramp,no_load
0.641343,-23.1715,-23.3789,-23.7476,0.3687,0.0,10.404,ramp,no_load
0.651533,-23.1715,-23.3789,-23.6597,0.2808,0.0,8.795,ramp,no_load
0.662315,-23.1715,-23.4668,-23.5853,0.1185,-8.152,7.435,ramp,no_load
0.673021,-23.1715,-23.6426,-23.5225,-0.1201,-16.421,6.285,ramp,no_load
0.683208,-23.1715,-23.7305,-23.4694,-0.2611,-8.629,5.313,ramp,no_load
0.693526,-23.1715,-23.8184,-23.4244,-0.3940,-8.519,4.491,ramp,no_load
0.703945,-23.1715,-23.9063,-23.3865,-0.5198,-8.437,3.797,ramp,no_load
0.714806,-23.1715,-23.9063,-23.3544,-0.5519,0.0,3.209,ramp,no_load
0.724875,-23.1715,-23.9063,-23.3273,-0.5790,0.0,2.713,ramp,no_load
0.735414,-23.1715,-23.7305,-23.2942,-0.4363,16.681,2.202,ramp,no_load
0.745718,-23.1715,-23.5547,-23.2764,-0.2783,17.061,1.783,ramp,no_load
0.75621,-23.1715,-23.4668,-23.2613,-0.2055,8.378,1.507,ramp,no_load
0.76696,-21.3891,-23.2910,-23.2486,-0.0424,16.353,1.274,ramp,no_load
0.777203,-21.3891,-23.2031,-23.2378,0.0347,8.581,1.077,ramp,no_load
0.787592,-21.3891,-23.1152,-23.2287,0.1135,8.461,0.910,ramp,no_load
0.798592,-21.3891,-23.1152,-23.2210,0.1058,0.0,0.770,ramp,no_load
0.808888,-21.3891,-23.1152,-23.2145,0.0993,0.0,0.651,ramp,no_load
0.819203,-21.3891,-23.1152,-23.2090,0.0938,0.0,0.550,ramp,no_load
0.82932,-21.3891,-23.1152,-23.2044,0.0892,0.0,0.465,ramp,no_load
0.840031,-21.3891,-22.9395,-22.9420,0.0025,16.404,17.487,ramp,no_load
0.850376,-21.3891,-22.6758,-22.7137,0.0379,25.491,22.833,ramp,no_load
0.860457,-21.3891,-22.5000,-22.5134,0.0134,17.439,20.031,ramp,no_load
0.870744,-21.3891,-22.1484,-22.3377,0.1893,34.179,17.574,ramp,no_load
0.880876,-21.3891,-21.8848,-22.1835,0.2987,26.017,15.417,ramp,no_load
0.891175,-21.3891,-21.6211,-22.0482,0.4271,25.604,13.526,ramp,no_load
0.90168,-21.3891,-21.5332,-21.9296,0.3964,8.367,11.866,ramp,no_load
0.9123,-21.3891,-21.5332,-21.8255,0.2923,0.0,10.410,ramp,no_load
0.923193,-21.3891,-21.5332,-21.7981,0.2649,0.0,2.734,ramp,no_load
0.934569,-21.3891,-21.5332,-21.7391,0.2059,0.0,5.905,ramp,no_load
0.944787,-21.3891,-21.5332,-21.6863,0.1531,0.0,5.273,ramp,no_load
0.955307,-21.3891,-21.7090,-21.6218,-0.0872,-16.711,4.302,ramp,no_load
0.965961,-21.3891,-21.7969,-21.5870,-0.2099,-8.25,3.484,ramp,no_load
0.976206,-21.3891,-21.8848,-21.5575,-0.3273,-8.58,2.945,ramp,no_load
0.986439,-21.3891,-21.9727,-21.5326,-0.4401,-8.59,2.489,ramp,no_load
0.99668,-21.3891,-21.9727,-21.5116,-0.4611,0.0,2.104,ramp,no_load
1.007393,-21.3891,-21.9727,-21.4938,-0.4789,0.0,1.779,ramp,no_load
1.018234,-19.6066,-21.9727,-21.4788,-0.4939,0.0,1.504,ramp,no_load
1.028597,-19.6066,-21.9727,-21.4660,-0.5067,0.0,1.271,ramp,no_load
1.03879,-19.6066,-21.9727,-21.4553,-0.5174,0.0,1.075,ramp,no_load
1.049556,-19.6066,-21.9727,-21.4462,-0.5265,0.0,0.908,ramp,no_load
1.059829,-19.6066,-21.8848,-21.4385,-0.4463,8.556,0.768,ramp,no_load
1.070751,-19.6066,-21.7090,-21.4292,-0.2798,16.096,0.623,ramp,no_load
1.081022,-19.6066,-21.4453,-21.4241,-0.0212,25.674,0.505,ramp,no_load
1.091474,-19.6066,-21.0938,-21.1632,0.0694,33.63,26.093,ramp,no_load
1.102091,-19.6066,-20.8301,-20.9343,0.1042,24.838,22.892,ramp,no_load
1.11261,-19.6066,-20.3906,-20.7334,0.3428,41.782,20.083,ramp,no_load
1.12364,-19.6066,-20.0391,-20.5573,0.5182,31.868,17.619,ramp,no_load
1.134676,-19.6066,-19.9512,-20.4027,0.4515,7.965,15.457,ramp,no_load
1.144922,-19.6066,-19.9512,-20.2671,0.3159,0.0,13.561,ramp,no_load
1.155169,-19.6066,-19.9512,-20.1393,0.1881,0.0,8.517,ramp,no_load
1.16525,-19.6066,-19.9512,-20.0416,0.0904,0.0,9.776,ramp,no_load
1.175566,-19.6066,-20.0391,-19.9863,-0.0528,-8.521,5.522,ramp,no_load
1.185669,-19.6066,-20.1270,-19.9296,-0.1974,-8.7,5.672,ramp,no_load
1.196015,-19.6066,-20.2148,-19.8809,-0.3339,-8.486,4.874,ramp,no_load
1.207045,-19.6066,-20.3906,-19.8396,-0.5510,-15.938,4.126,ramp,no_load
1.217267,-19.6066,-20.4785,-19.8047,-0.6738,-8.599,3.489,ramp,no_load
1.2279,-19.6066,-20.4785,-19.7752,-0.7033,0.0,2.949,ramp,no_load
1.238423,-19.6066,-20.4785,-19.7503,-0.7282,0.0,2.493,ramp,no_load
1.248688,-19.6066,-20.3906,-19.7292,-0.6614,8.563,2.107,ramp,no_load
1.258969,-19.6066,-20.3027,-19.7114,-0.5913,8.55,1.782,ramp,no_load
1.270787,-17.8242,-20.1270,-19.6897,-0.4373,14.867,1.446,ramp,no_load
1.280964,-17.8242,-19.9512,-19.6780,-0.2732,17.274,1.171,ramp,no_load
1.291119,-17.8242,-19.7754,-19.6681,-0.1073,17.312,0.990,ramp,no_load
1.301576,-17.8242,-19.5996,-19.6598,0.0602,16.812,0.836,ramp,no_load
1.312154,-17.8242,-19.5117,-19.6527,0.1410,8.31,0.707,ramp,no_load
1.322498,-17.8242,-19.4238,-19.6467,0.2229,8.498,0.598,ramp,no_load
1.333183,-17.8242,-19.2480,-19.6417,0.3937,16.453,0.505,ramp,no_load
1.343856,-17.8242,-19.1602,-19.5500,0.3898,8.226,9.167,ramp,no_load
1.354349,-17.8242,-19.0723,-19.3059,0.2336,8.377,24.408,ramp,no_load
1.364939,-17.8242,-18.9844,-19.0918,0.1074,8.3,21.413,ramp,no_load
1.375282,-17.8242,-18.8965,-18.7737,-0.1228,8.499,21.204,ramp,no_load
1.385658,-17.8242,-18.8086,-18.6194,-0.1892,8.471,15.437,ramp,no_load
1.395945,-17.8242,-18.7207,-18.4839,-0.2368,8.545,13.543,ramp,no_load
