time,commanded_deg,real_deg,sim_deg,error_deg,real_vel_deg_s,sim_vel_deg_s,experiment_id,load_condition
0.001028,0.0,-0.0879,-0.0879,0.0000,0.0,0.000,reverse,no_load
0.011438,0.0,0.0000,-0.0879,0.0879,8.444,0.000,reverse,no_load
0.021697,0.0,0.0879,-0.0879,0.1758,8.568,0.000,reverse,no_load
0.031907,0.0,0.1758,-0.0879,0.2637,8.609,0.000,reverse,no_load
0.042516,0.0,0.1758,-0.0879,0.2637,0.0,0.000,reverse,no_load
0.053435,0.0,0.2637,-0.0879,0.3516,8.05,0.000,reverse,no_load
0.063772,0.0,0.2637,-0.0879,0.3516,0.0,0.000,reverse,no_load
0.073887,0.0,0.2637,-0.0832,0.3469,0.0,0.467,reverse,no_load
0.084327,0.0,0.2637,-0.0721,0.3358,0.0,1.111,reverse,no_load
0.095007,0.0,0.2637,-0.0578,0.3215,0.0,0.957,reverse,no_load
0.105779,0.0,0.2637,-0.0500,0.3137,0.0,0.778,reverse,no_load
0.116555,0.0,0.2637,-0.0434,0.3071,0.0,0.658,reverse,no_load
0.127243,0.0,0.2637,-0.0378,0.3015,0.0,0.556,reverse,no_load
0.137418,0.0,0.1758,-0.0331,0.2089,-8.639,0.470,reverse,no_load
0.147727,0.0,0.1758,-0.0292,0.2050,0.0,0.397,reverse,no_load
0.158018,0.0,0.1758,-0.0258,0.2016,0.0,0.336,reverse,no_load
0.168285,0.0,0.1758,-0.0230,0.1988,0.0,0.284,reverse,no_load
0.178601,0.0,0.1758,-0.0206,0.1964,0.0,0.240,reverse,no_load
0.188931,0.0,0.0879,-0.0185,0.1064,-8.509,0.203,reverse,no_load
0.19949,0.0,0.0879,-0.0168,0.1047,0.0,0.172,reverse,no_load
0.210477,0.0,0.0879,-0.0147,0.1026,0.0,0.141,reverse,no_load
0.220954,0.0,0.0879,-0.0135,0.1014,0.0,0.118,reverse,no_load
0.231378,0.0,0.0879,-0.0125,0.1004,0.0,0.105,reverse,no_load
0.241651,0.0,0.0000,-0.0115,0.0115,-8.556,0.094,reverse,no_load
0.25182,0.0,0.0000,-0.0107,0.0107,0.0,0.085,reverse,no_load
0.262376,0.0,0.0000,-0.0099,0.0099,0.0,0.077,reverse,no_load
0.273022,0.0,0.0000,-0.0092,0.0092,0.0,0.071,reverse,no_load
0.283277,0.0,0.0000,-0.0086,0.0086,0.0,0.065,reverse,no_load
0.293484,0.0,0.0000,-0.0080,0.0080,0.0,0.060,reverse,no_load
0.304976,0.0,0.0000,-0.0074,0.0074,0.0,0.055,reverse,no_load
0.315128,0.0,0.0000,-0.0067,0.0067,0.0,0.050,reverse,no_load
0.325293,0.0,0.0000,-0.0062,0.0062,0.0,0.046,reverse,no_load
0.335448,0.0,0.0000,-0.0058,0.0058,0.0,0.043,reverse,no_load
0.345616,0.0,0.0000,-0.0054,0.0054,0.0,0.040,reverse,no_load
0.356222,0.0,0.0000,-0.0050,0.0050,0.0,0.037,reverse,no_load
0.366485,0.0,0.0000,-0.0047,0.0047,0.0,0.034,reverse,no_load
0.377448,0.0,0.0000,-0.0044,0.0044,0.0,0.032,reverse,no_load
0.388173,0.0,0.0000,-0.0041,0.0041,0.0,0.030,reverse,no_load
0.39833,0.0,0.0000,-0.0038,0.0038,0.0,0.028,reverse,no_load
0.408693,0.0,0.0000,-0.0035,0.0035,0.0,0.026,reverse,no_load
0.419216,0.0,0.0000,-0.0033,0.0033,0.0,0.024,reverse,no_load
0.429415,0.0,0.0000,-0.0031,0.0031,0.0,0.022,reverse,no_load
0.440226,0.0,0.0000,-0.0027,0.0027,0.0,0.020,reverse,no_load
0.451008,0.0,0.0000,-0.0026,0.0026,0.0,0.019,reverse,no_load
