time,commanded_deg,real_deg,sim_deg,error_deg,real_vel_deg_s,sim_vel_deg_s,experiment_id,load_condition
0.000731,-44.5605,-44.1211,-44.1211,0.0000,0.0,0.000,staircase1,no_load
0.010992,-44.5605,-44.0332,-44.1211,0.0879,8.566,0.000,staircase1,no_load
0.022313,-44.5605,-44.0332,-44.1211,0.0879,0.0,0.000,staircase1,no_load
0.032451,-44.5605,-44.0332,-44.1211,0.0879,0.0,0.000,staircase1,no_load
0.043312,-44.5605,-44.0332,-44.1211,0.0879,0.0,0.000,staircase1,no_load
0.053961,-44.5605,-44.0332,-44.1211,0.0879,0.0,0.000,staircase1,no_load
0.064092,-44.5605,-44.1211,-44.1211,0.0000,-8.676,0.000,staircase1,no_load
0.074566,-44.5605,-44.1211,-44.2085,0.0874,0.0,-8.736,staircase1,no_load
0.084704,-44.5605,-44.1211,-44.2851,0.1640,0.0,-7.664,staircase1,no_load
0.094804,-44.5605,-44.1211,-44.2882,0.1671,0.0,-0.308,staircase1,no_load
0.105017,-44.5605,-44.1211,-44.3442,0.2231,0.0,-3.736,staircase1,no_load
0.115477,-44.5605,-44.1211,-44.3765,0.2554,0.0,-3.223,staircase1,no_load
0.126477,-44.5605,-44.1211,-44.4038,0.2827,0.0,-2.730,staircase1,no_load
0.137009,-44.5605,-44.1211,-44.4269,0.3058,0.0,-2.309,staircase1,no_load
0.147256,-44.5605,-44.1211,-44.4464,0.3253,0.0,-1.952,staircase1,no_load
0.15829,-44.5605,-44.1211,-44.4629,0.3418,0.0,-1.650,staircase1,no_load
0.168483,-44.5605,-44.1211,-44.4768,0.3557,0.0,-1.395,staircase1,no_load
0.178681,-44.5605,-44.1211,-44.4886,0.3675,0.0,-1.179,staircase1,no_load
0.18945,-44.5605,-44.1211,-44.4986,0.3775,0.0,-0.997,staircase1,no_load
0.199817,-44.5605,-44.1211,-44.5070,0.3859,0.0,-0.843,staircase1,no_load
0.210246,-44.5605,-44.1211,-44.5173,0.3962,0.0,-0.684,staircase1,no_load
0.220718,-44.5605,-44.1211,-44.5228,0.4017,0.0,-0.554,staircase1,no_load
0.231641,-44.5605,-44.1211,-44.5275,0.4064,0.0,-0.468,staircase1,no_load
0.242054,-44.5605,-44.1211,-44.5314,0.4103,0.0,-0.396,staircase1,no_load
0.252671,-44.5605,-44.0332,-44.5348,0.5016,8.279,-0.334,staircase1,no_load
0.263169,-44.5605,-44.0332,-44.5376,0.5044,0.0,-0.283,staircase1,no_load
0.273549,-44.5605,-44.0332,-44.5400,0.5068,0.0,-0.239,staircase1,no_load
0.283643,-44.5605,-44.0332,-44.5420,0.5088,0.0,-0.202,staircase1,no_load
0.293767,-44.5605,-44.0332,-44.5437,0.5105,0.0,-0.171,staircase1,no_load
0.304095,-44.5605,-44.0332,-44.5452,0.5120,0.0,-0.145,staircase1,no_load
0.31465,-44.5605,-44.0332,-44.5464,0.5132,0.0,-0.126,staircase1,no_load
0.325126,-44.5605,-44.0332,-44.5480,0.5148,0.0,-0.108,staircase1,no_load
0.335288,-44.5605,-44.0332,-44.5490,0.5158,0.0,-0.094,staircase1,no_load
0.345843,-44.5605,-44.0332,-44.5498,0.5166,0.0,-0.085,staircase1,no_load
0.356676,-44.5605,-44.0332,-44.5506,0.5174,0.0,-0.077,staircase1,no_load
0.3676,-44.5605,-44.0332,-44.5513,0.5181,0.0,-0.070,staircase1,no_load
0.37822,-44.5605,-44.0332,-44.5519,0.5187,0.0,-0.065,staircase1,no_load
0.388372,-44.5605,-44.0332,-44.5525,0.5193,0.0,-0.060,staircase1,no_load
0.398625,-44.5605,-44.0332,-44.5531,0.5199,0.0,-0.055,staircase1,no_load
0.409456,-44.5605,-44.0332,-44.5536,0.5204,0.0,-0.051,staircase1,no_load
0.420009,-44.5605,-44.1211,-44.5543,0.4332,-8.329,-0.047,staircase1,no_load
0.430708,-44.5605,-44.1211,-44.5547,0.4336,0.0,-0.042,staircase1,no_load
0.441046,-44.5605,-44.1211,-44.5551,0.4340,0.0,-0.040,staircase1,no_load
0.451295,-44.5605,-44.1211,-44.5555,0.4344,0.0,-0.037,staircase1,no_load
0.461563,-44.5605,-44.1211,-44.5558,0.4347,0.0,-0.034,staircase1,no_load
0.472314,-44.5605,-44.1211,-44.5562,0.4351,0.0,-0.032,staircase1,no_load
0.483123,-44.5605,-44.1211,-44.5565,0.4354,0.0,-0.030,staircase1,no_load
0.494185,-44.5605,-44.1211,-44.5567,0.4356,0.0,-0.028,staircase1,no_load
0.504429,-44.5605,-44.1211,-44.5570,0.4359,0.0,-0.026,staircase1,no_load
0.514619,-44.5605,-44.1211,-44.5572,0.4361,0.0,-0.024,staircase1,no_load
0.524782,-44.5605,-44.1211,-44.5574,0.4363,0.0,-0.022,staircase1,no_load
0.53534,-44.5605,-44.1211,-44.5578,0.4367,0.0,-0.020,staircase1,no_load
0.545484,-44.5605,-44.1211,-44.5579,0.4368,0.0,-0.019,staircase1,no_load
0.555956,-44.5605,-44.1211,-44.5581,0.4370,0.0,-0.017,staircase1,no_load
0.566818,-44.5605,-44.1211,-44.5583,0.4372,0.0,-0.016,staircase1,no_load
0.577256,-44.5605,-44.1211,-44.5584,0.4373,0.0,-0.015,staircase1,no_load
0.587533,-44.5605,-44.1211,-44.5586,0.4375,0.0,-0.014,staircase1,no_load
0.598286,-44.5605,-44.1211,-44.5587,0.4376,0.0,-0.013,staircase1,no_load
0.609318,-44.5605,-44.1211,-44.5588,0.4377,0.0,-0.012,staircase1,no_load
0.619585,-44.5605,-44.1211,-44.5589,0.4378,0.0,-0.011,staircase1,no_load
0.629848,-44.5605,-44.1211,-44.5590,0.4379,0.0,-0.011,staircase1,no_load
0.640363,-44.5605,-44.1211,-44.5592,0.4381,0.0,-0.010,staircase1,no_load
0.650624,-44.5605,-44.1211,-44.5593,0.4382,0.0,-0.009,staircase1,no_load
0.661179,-44.5605,-44.1211,-44.5594,0.4383,0.0,-0.008,staircase1,no_load
0.671561,-44.5605,-44.1211,-44.5594,0.4383,0.0,-0.008,staircase1,no_load
0.682468,-44.5605,-44.1211,-44.5595,0.4384,0.0,-0.007,staircase1,no_load
0.692967,-44.5605,-44.1211,-44.5596,0.4385,0.0,-0.007,staircase1,no_load
0.703288,-44.5605,-44.1211,-44.5596,0.4385,0.0,-0.006,staircase1,no_load
0.714251,-44.5605,-44.1211,-44.5597,0.4386,0.0,-0.006,staircase1,no_load
0.724568,-44.5605,-44.1211,-44.5598,0.4387,0.0,-0.005,staircase1,no_load
0.735668,-44.5605,-44.1211,-44.5598,0.4387,0.0,-0.005,staircase1,no_load
0.746668,-44.5605,-44.2090,-44.5599,0.3509,-7.991,-0.005,staircase1,no_load
0.757503,-44.5605,-44.2090,-44.5599,0.3509,0.0,-0.004,staircase1,no_load
0.768005,-44.5605,-44.2090,-44.5600,0.3510,0.0,-0.004,staircase1,no_load
0.778516,-44.5605,-44.2969,-44.5600,0.2631,-8.363,-0.004,staircase1,no_load
0.78916,-44.5605,-44.2969,-44.5600,0.2631,0.0,-0.003,staircase1,no_load
0.799356,-44.5605,-44.2969,-44.5601,0.2632,0.0,-0.003,staircase1,no_load
0.809835,-44.5605,-44.2969,-44.5601,0.2632,0.0,-0.003,staircase1,no_load
0.820811,-44.5605,-44.3848,-44.5601,0.1753,-8.008,-0.003,staircase1,no_load
0.831132,-44.5605,-44.3848,-44.5602,0.1754,0.0,-0.002,staircase1,no_load
0.841463,-44.5605,-44.3848,-44.5602,0.1754,0.0,-0.002,staircase1,no_load
0.851577,-44.5605,-44.4727,-44.5602,0.0875,-8.691,-0.002,staircase1,no_load
0.862642,-44.5605,-44.4727,-44.5602,0.0875,0.0,-0.002,staircase1,no_load
0.872879,-44.5605,-44.4727,-44.5602,0.0875,0.0,-0.002,staircase1,no_load
0.883625,-44.5605,-44.4727,-44.5603,0.0876,0.0,-0.002,staircase1,no_load
0.893827,-44.5605,-44.4727,-44.5603,0.0876,0.0,-0.002,staircase1,no_load
0.904238,-44.5605,-44.4727,-44.5603,0.0876,0.0,-0.002,staircase1,no_load
0.914794,-44.5605,-44.5605,-44.5603,-0.0002,-8.318,-0.001,staircase1,no_load
0.925155,-44.5605,-44.5605,-44.5603,-0.0002,0.0,-0.001,staircase1,no_load
0.935612,-44.5605,-44.5605,-44.5603,-0.0002,0.0,-0.001,staircase1,no_load
0.945789,-44.5605,-44.5605,-44.5603,-0.0002,0.0,-0.001,staircase1,no_load
0.956636,-44.5605,-44.5605,-44.5604,-0.0001,0.0,-0.001,staircase1,no_load
0.966835,-44.5605,-44.5605,-44.5604,-0.0001,0.0,-0.001,staircase1,no_load
0.977273,-44.5605,-44.6484,-44.5604,-0.0880,-8.421,-0.001,staircase1,no_load
0.987641,-44.5605,-44.6484,-44.5604,-0.0880,0.0,-0.001,staircase1,no_load
0.998464,-44.5605,-44.6484,-44.5604,-0.0880,0.0,-0.001,staircase1,no_load
1.008874,-44.5605,-44.7363,-44.5604,-0.1759,-8.444,-0.001,staircase1,no_load
1.01936,-44.5605,-44.7363,-44.5604,-0.1759,0.0,-0.001,staircase1,no_load
1.029523,-44.5605,-44.7363,-44.5604,-0.1759,0.0,-0.001,staircase1,no_load
1.040577,-44.5605,-44.7363,-44.5604,-0.1759,0.0,-0.001,staircase1,no_load
1.050738,-44.5605,-44.8242,-44.5604,-0.2638,-8.651,-0.001,staircase1,no_load
1.061441,-44.5605,-44.8242,-44.5604,-0.2638,0.0,-0.000,staircase1,no_load
1.072201,-44.5605,-44.8242,-44.5604,-0.2638,0.0,-0.000,staircase1,no_load
1.082638,-44.5605,-44.8242,-44.5604,-0.2638,0.0,-0.000,staircase1,no_load
1.093174,-44.5605,-44.8242,-44.5604,-0.2638,0.0,-0.000,staircase1,no_load
1.10374,-44.5605,-44.9121,-44.5604,-0.3517,-8.319,-0.000,staircase1,no_load
1.114473,-44.5605,-44.9121,-44.5605,-0.3516,0.0,-0.000,staircase1,no_load
1.125445,-44.5605,-44.9121,-44.5605,-0.3516,0.0,-0.000,staircase1,no_load
1.135742,-44.5605,-44.9121,-44.5605,-0.3516,0.0,-0.000,staircase1,no_load
1.146107,-44.5605,-45.0000,-44.5605,-0.4395,-8.48,-0.000,staircase1,no_load
1.156887,-44.5605,-45.0000,-44.5605,-0.4395,0.0,-0.000,staircase1,no_load
1.167124,-44.5605,-45.0000,-44.5605,-0.4395,0.0,-0.000,staircase1,no_load
1.178051,-44.5605,-45.0000,-44.5605,-0.4395,0.0,-0.000,staircase1,no_load
1.188659,-44.5605,-45.0000,-44.5605,-0.4395,0.0,-0.000,staircase1,no_load
1.198903,-44.5605,-45.0000,-44.5605,-0.4395,0.0,-0.000,staircase1,no_load
1.209294,-44.5605,-45.0000,-44.5605,-0.4395,0.0,-0.000,staircase1,no_load
1.219566,-44.5605,-45.0000,-44.5605,-0.4395,0.0,-0.000,staircase1,no_load
1.229942,-44.5605,-45.0000,-44.5605,-0.4395,0.0,-0.000,staircase1,no_load
1.240212,-44.5605,-45.0000,-44.5605,-0.4395,0.0,-0.000,staircase1,no_load
1.250486,-44.5605,-45.0000,-44.5605,-0.4395,0.0,-0.000,staircase1,no_load
1.260756,-44.5605,-45.0000,-44.5605,-0.4395,0.0,-0.000,staircase1,no_load
1.271041,-44.5605,-45.0000,-44.5605,-0.4395,0.0,-0.000,staircase1,no_load
