time,commanded_deg,real_deg,sim_deg,error_deg,real_vel_deg_s,sim_vel_deg_s,experiment_id,load_condition
0.001018,0.0,0.1758,0.1758,0.0000,0.0,0.000,step_20,no_load
0.012058,0.0,0.1758,0.1758,0.0000,0.0,0.000,step_20,no_load
0.022802,0.0,0.1758,0.1758,0.0000,0.0,0.000,step_20,no_load
0.033309,0.0,0.1758,0.1758,0.0000,0.0,0.000,step_20,no_load
0.043789,0.0,0.1758,0.1758,0.0000,0.0,0.000,step_20,no_load
0.055046,0.0,0.1758,0.1758,0.0000,0.0,0.000,step_20,no_load
0.066102,0.0,0.1758,0.1758,0.0000,0.0,0.000,step_20,no_load
0.07753,0.0,0.1758,0.1543,0.0215,0.0,-2.148,step_20,no_load
0.088511,0.0,0.1758,0.1320,0.0438,0.0,-2.236,step_20,no_load
0.099284,0.0,0.1758,0.1127,0.0631,0.0,-1.923,step_20,no_load
0.110144,0.0,0.1758,0.0893,0.0865,0.0,-1.563,step_20,no_load
0.120889,0.0,0.1758,0.0766,0.0992,0.0,-1.266,step_20,no_load
0.131146,0.0,0.1758,0.0659,0.1099,0.0,-1.070,step_20,no_load
0.141635,0.0,0.1758,0.0569,0.1189,0.0,-0.904,step_20,no_load
0.152488,0.0,0.1758,0.0492,0.1266,0.0,-0.765,step_20,no_load
0.162779,0.0,0.1758,0.0428,0.1330,0.0,-0.646,step_20,no_load
0.173086,0.0,0.1758,0.0373,0.1385,0.0,-0.546,step_20,no_load
0.183477,0.0,0.1758,0.0327,0.1431,0.0,-0.462,step_20,no_load
0.193691,0.0,0.1758,0.0288,0.1470,0.0,-0.390,step_20,no_load
0.204506,0.0,0.1758,0.0255,0.1503,0.0,-0.330,step_20,no_load
0.214857,0.0,0.1758,0.0227,0.1531,0.0,-0.279,step_20,no_load
0.225012,0.0,0.1758,0.0193,0.1565,0.0,-0.226,step_20,no_load
0.236001,0.0,0.1758,0.0175,0.1583,0.0,-0.183,step_20,no_load
0.246174,0.0,0.1758,0.0159,0.1599,0.0,-0.155,step_20,no_load
0.256625,0.0,0.1758,0.0146,0.1612,0.0,-0.134,step_20,no_load
0.267096,0.0,0.1758,0.0134,0.1624,0.0,-0.117,step_20,no_load
0.277521,0.0,0.2637,0.0124,0.2513,8.432,-0.104,step_20,no_load
0.287586,0.0,0.2637,0.0114,0.2523,0.0,-0.093,step_20,no_load
0.297923,0.0,0.2637,0.0106,0.2531,0.0,-0.084,step_20,no_load
0.308111,0.0,0.2637,0.0098,0.2539,0.0,-0.076,step_20,no_load
0.318357,0.0,0.2637,0.0091,0.2546,0.0,-0.070,step_20,no_load
0.328537,0.0,0.2637,0.0085,0.2552,0.0,-0.064,step_20,no_load
0.338746,0.0,0.2637,0.0079,0.2558,0.0,-0.059,step_20,no_load
0.349004,0.0,0.2637,0.0074,0.2563,0.0,-0.055,step_20,no_load
0.359921,0.0,0.2637,0.0069,0.2568,0.0,-0.051,step_20,no_load
0.370236,0.0,0.2637,0.0062,0.2575,0.0,-0.046,step_20,no_load
0.381312,0.0,0.2637,0.0057,0.2580,0.0,-0.042,step_20,no_load
0.391733,0.0,0.2637,0.0053,0.2584,0.0,-0.039,step_20,no_load
0.402492,0.0,0.2637,0.0050,0.2587,0.0,-0.037,step_20,no_load
0.413349,0.0,0.2637,0.0046,0.2591,0.0,-0.034,step_20,no_load
0.424034,0.0,0.2637,0.0043,0.2594,0.0,-0.032,step_20,no_load
0.434509,0.0,0.2637,0.0040,0.2597,0.0,-0.030,step_20,no_load
0.444738,0.0,0.2637,0.0038,0.2599,0.0,-0.027,step_20,no_load
0.45524,0.0,0.2637,0.0034,0.2603,0.0,-0.025,step_20,no_load
0.465558,0.0,0.2637,0.0031,0.2606,0.0,-0.023,step_20,no_load
0.476098,0.0,0.2637,0.0029,0.2608,0.0,-0.021,step_20,no_load
0.486703,0.0,0.2637,0.0027,0.2610,0.0,-0.020,step_20,no_load
