time,commanded_deg,real_deg,sim_deg,error_deg,real_vel_deg_s,sim_vel_deg_s,experiment_id,load_condition
0.00106,0.0,0.6152,0.6152,0.0000,0.0,0.000,triangle,no_load
0.011255,0.0,0.6152,0.6152,0.0000,0.0,0.000,triangle,no_load
0.022064,0.0,0.5273,0.6152,-0.0879,-8.132,0.000,triangle,no_load
0.033069,0.0,0.4395,0.6152,-0.1757,-7.978,0.000,triangle,no_load
0.043565,0.0,0.3516,0.6152,-0.2636,-8.375,0.000,triangle,no_load
0.053973,0.0,0.2637,0.6152,-0.3515,-8.445,0.000,triangle,no_load
0.064235,0.0,0.1758,0.6152,-0.4394,-8.566,0.000,triangle,no_load
0.074697,0.0,0.0879,0.5278,-0.4399,-8.402,-8.736,triangle,no_load
0.085093,0.0,0.0000,0.4616,-0.4616,-8.455,-4.417,triangle,no_load
0.095365,0.0,-0.0879,0.3986,-0.4865,-8.557,-6.298,triangle,no_load
0.105613,0.0,-0.0879,0.3434,-0.4313,0.0,-5.525,triangle,no_load
0.116183,0.0,-0.1758,0.2949,-0.4707,-8.316,-4.847,triangle,no_load
0.12697,0.0,-0.1758,0.2524,-0.4282,0.0,-4.252,triangle,no_load
0.137251,0.0,-0.1758,0.2150,-0.3908,0.0,-3.731,triangle,no_load
0.14773,0.0,-0.1758,0.1823,-0.3581,0.0,-3.273,triangle,no_load
0.158779,0.0,-0.1758,0.1536,-0.3294,0.0,-2.871,triangle,no_load
0.169173,0.0,-0.1758,0.1284,-0.3042,0.0,-2.519,triangle,no_load
0.179738,0.0,-0.0879,0.1063,-0.1942,8.32,-2.210,triangle,no_load
0.190154,0.0,-0.0879,0.0330,-0.1209,0.0,-4.885,triangle,no_load
0.200471,0.0,-0.0879,0.0171,-0.1050,0.0,-1.593,triangle,no_load
0.210872,0.0,-0.0879,0.0031,-0.0910,0.0,-1.398,triangle,no_load
0.221421,0.0,0.0000,-0.0091,0.0091,8.333,-1.226,triangle,no_load
0.232049,0.0,0.0000,-0.0199,0.0199,0.0,-1.076,triangle,no_load
0.242388,0.0,0.0000,-0.0293,0.0293,0.0,-0.944,triangle,no_load
0.252916,0.0,0.0000,-0.0376,0.0376,0.0,-0.828,triangle,no_load
0.263278,0.0,0.0000,-0.0449,0.0449,0.0,-0.726,triangle,no_load
0.273685,0.0,0.0000,-0.0512,0.0512,0.0,-0.637,triangle,no_load
0.283857,0.0,0.0000,-0.0568,0.0568,0.0,-0.559,triangle,no_load
0.294184,0.0,0.0000,-0.0617,0.0617,0.0,-0.490,triangle,no_load
0.304518,0.0,0.0000,-0.0660,0.0660,0.0,-0.430,triangle,no_load
0.314812,0.0,0.0000,-0.0698,0.0698,0.0,-0.377,triangle,no_load
0.325058,0.0,0.0000,-0.0295,0.0295,0.0,2.687,triangle,no_load
0.335648,0.0,0.0000,-0.0322,0.0322,0.0,-0.272,triangle,no_load
0.345737,0.0,0.0000,-0.0346,0.0346,0.0,-0.239,triangle,no_load
0.355933,0.0,0.0000,-0.0367,0.0367,0.0,-0.209,triangle,no_load
0.366319,0.0,0.0000,-0.0386,0.0386,0.0,-0.184,triangle,no_load
0.376552,0.0,0.0000,-0.0402,0.0402,0.0,-0.161,triangle,no_load
0.386846,0.0,0.0000,-0.0416,0.0416,0.0,-0.141,triangle,no_load
0.397703,0.0,0.0000,-0.0428,0.0428,0.0,-0.124,triangle,no_load
0.408171,0.0,0.0000,-0.0439,0.0439,0.0,-0.109,triangle,no_load
0.418823,0.0,0.0000,-0.0449,0.0449,0.0,-0.095,triangle,no_load
0.429144,0.0,0.0000,-0.0457,0.0457,0.0,-0.084,triangle,no_load
0.439338,0.0,0.0000,-0.0464,0.0464,0.0,-0.073,triangle,no_load
0.449541,0.0,0.0000,-0.0471,0.0471,0.0,-0.064,triangle,no_load
0.459851,0.0,0.0000,-0.0477,0.0477,0.0,-0.057,triangle,no_load
0.470157,0.0,0.0000,-0.0935,0.0935,0.0,-3.055,triangle,no_load
0.480342,0.0,0.0000,-0.0939,0.0939,0.0,-0.041,triangle,no_load
0.491075,0.0,0.0000,-0.0943,0.0943,0.0,-0.036,triangle,no_load
0.50146,0.0,0.0000,-0.0946,0.0946,0.0,-0.031,triangle,no_load
0.511594,0.0,0.0000,-0.0948,0.0948,0.0,-0.028,triangle,no_load
0.521707,0.0,0.0000,-0.0951,0.0951,0.0,-0.024,triangle,no_load
0.532106,0.0,0.0000,-0.0953,0.0953,0.0,-0.021,triangle,no_load
0.543121,0.0,0.0000,-0.0955,0.0955,0.0,-0.019,triangle,no_load
0.553794,0.0,0.0000,-0.0956,0.0956,0.0,-0.016,triangle,no_load
0.564313,0.0,0.0000,-0.0958,0.0958,0.0,-0.014,triangle,no_load
0.574594,0.0,0.0000,-0.0959,0.0959,0.0,-0.013,triangle,no_load
0.584762,0.0,0.0000,-0.0960,0.0960,0.0,-0.011,triangle,no_load
0.594968,0.0,0.0000,-0.0961,0.0961,0.0,-0.010,triangle,no_load
0.605072,0.0,0.0000,-0.0511,0.0511,0.0,2.999,triangle,no_load
0.615507,0.0,0.0000,-0.0512,0.0512,0.0,-0.007,triangle,no_load
0.626131,0.0,0.0000,-0.0513,0.0513,0.0,-0.006,triangle,no_load
0.636585,0.0,0.0000,-0.0513,0.0513,0.0,-0.005,triangle,no_load
0.646793,0.0,0.0000,-0.0514,0.0514,0.0,-0.005,triangle,no_load
0.657047,0.0,0.0000,-0.0514,0.0514,0.0,-0.004,triangle,no_load
0.667123,0.0,0.0000,-0.0514,0.0514,0.0,-0.004,triangle,no_load
0.677272,0.0,0.0000,-0.0515,0.0515,0.0,-0.003,triangle,no_load
0.687355,0.0,0.0000,-0.0515,0.0515,0.0,-0.003,triangle,no_load
0.697607,0.0,0.0000,-0.0515,0.0515,0.0,-0.002,triangle,no_load
0.707907,0.0,0.0000,-0.0516,0.0516,0.0,-0.002,triangle,no_load
0.717983,0.0,0.0000,-0.0516,0.0516,0.0,-0.002,triangle,no_load
0.728699,0.0,0.0000,-0.0516,0.0516,0.0,-0.002,triangle,no_load
0.739248,0.0,0.0000,-0.0516,0.0516,0.0,-0.001,triangle,no_load
