time,commanded_deg,real_deg,sim_deg,error_deg,real_vel_deg_s,sim_vel_deg_s,experiment_id,load_condition
0.002031,-28.3447,1.1426,1.3846,-0.2420,0.0,0.088,ramp,no_load
0.012792,-28.3447,1.1426,1.3854,-0.2428,0.0,0.087,ramp,no_load
0.02325,-28.3447,1.1426,1.3863,-0.2437,0.0,0.087,ramp,no_load
0.033584,-28.3447,1.1426,1.3872,-0.2446,0.0,0.086,ramp,no_load
0.043911,-28.3447,0.9668,1.3880,-0.4212,-17.023,0.086,ramp,no_load
0.054412,-28.3447,0.6152,1.3889,-0.7737,-33.483,0.085,ramp,no_load
0.064832,-28.3447,0.1758,1.3897,-1.2139,-42.169,0.085,ramp,no_load
0.075054,-28.3447,-0.5273,1.0324,-1.5597,-68.783,-23.820,ramp,no_load
0.086068,-28.3447,-1.3184,0.2691,-1.5875,-71.827,-76.329,ramp,no_load
0.096471,-28.3447,-2.1973,-0.8274,-1.3699,-84.485,-109.652,ramp,no_load
0.107038,-28.3447,-3.4277,-2.1979,-1.2298,-116.438,-137.046,ramp,no_load
0.117307,-28.3447,-4.7461,-3.7935,-0.9526,-128.386,-159.568,ramp,no_load
0.127726,-28.3447,-6.3281,-5.5744,-0.7537,-151.838,-178.085,ramp,no_load
0.138029,-28.3447,-7.9102,-7.5075,-0.4027,-153.557,-193.313,ramp,no_load
0.148576,-28.3447,-9.8438,-9.5659,-0.2779,-183.332,-205.840,ramp,no_load
0.159323,-28.3447,-11.6895,-11.6974,0.0079,-171.741,-213.144,ramp,no_load
0.170126,-28.3447,-13.6230,-14.7795,1.1565,-178.978,-205.473,ramp,no_load
0.181038,-28.3447,-15.3809,-16.6528,1.2719,-161.098,-187.338,ramp,no_load
0.191641,-28.3447,-16.8750,-18.3417,1.4667,-140.913,-168.887,ramp,no_load
0.201964,-28.3447,-18.3691,-19.8364,1.4673,-144.735,-149.464,ramp,no_load
0.21216,-28.3447,-19.6875,-21.1401,1.4526,-129.306,-130.371,ramp,no_load
0.223215,-28.3447,-20.9180,-22.2640,1.3460,-111.307,-112.393,ramp,no_load
0.233625,-28.3447,-21.8848,-23.2236,1.3388,-92.872,-95.960,ramp,no_load
0.24389,-28.3447,-22.6758,-24.0362,1.3604,-77.058,-81.263,ramp,no_load
0.254914,-26.4551,-23.3789,-24.7196,1.3407,-63.779,-68.337,ramp,no_load
0.265315,-26.4551,-23.9063,-25.5393,1.6330,-50.707,-54.647,ramp,no_load
0.275684,-26.4551,-24.3457,-25.9715,1.6258,-42.376,-43.217,ramp,no_load
0.286053,-26.4551,-24.6973,-26.3282,1.6309,-33.909,-35.678,ramp,no_load
0.296757,-26.4551,-24.9609,-26.6216,1.6607,-24.626,-29.334,ramp,no_load
0.307642,-26.4551,-25.0488,-26.8619,1.8131,-8.075,-24.029,ramp,no_load
0.317735,-26.4551,-25.0488,-27.0580,2.0092,0.0,-19.617,ramp,no_load
0.328439,-26.4551,-25.0488,-27.1507,2.1019,0.0,-9.263,ramp,no_load
0.339131,-26.4551,-25.0488,-27.1657,2.1169,0.0,-1.499,ramp,no_load
0.349308,-26.4551,-25.0488,-27.1325,2.0837,0.0,3.320,ramp,no_load
0.35951,-26.4551,-25.1367,-27.0712,1.9345,-8.616,6.128,ramp,no_load
0.37013,-26.4551,-25.2246,-26.9553,1.7307,-8.277,7.722,ramp,no_load
0.380271,-26.4551,-25.2246,-26.8742,1.6496,0.0,8.110,ramp,no_load
0.390861,-26.4551,-25.3125,-26.7958,1.4833,-8.3,7.843,ramp,no_load
0.401628,-26.4551,-25.3125,-26.7228,1.4103,0.0,7.303,ramp,no_load
0.412538,-26.4551,-25.3125,-26.6566,1.3441,0.0,6.623,ramp,no_load
0.423464,-26.4551,-25.3125,-26.5977,1.2852,0.0,5.888,ramp,no_load
0.434018,-26.4551,-25.3125,-26.5461,1.2336,0.0,5.154,ramp,no_load
0.444383,-26.4551,-25.3125,-26.5016,1.1891,0.0,4.456,ramp,no_load
0.454549,-26.4551,-25.3125,-26.4634,1.1509,0.0,3.814,ramp,no_load
0.464674,-26.4551,-25.3125,-26.4311,1.1186,0.0,3.237,ramp,no_load
0.474849,-26.4551,-25.3125,-26.4038,1.0913,0.0,2.727,ramp,no_load
0.485112,-26.4551,-25.3125,-26.3710,1.0585,0.0,2.185,ramp,no_load
0.495668,-26.4551,-25.3125,-26.3537,1.0412,0.0,1.731,ramp,no_load
0.506668,-24.5654,-25.3125,-26.3394,1.0269,0.0,1.431,ramp,no_load
0.517036,-24.5654,-25.3125,-26.3276,1.0151,0.0,1.178,ramp,no_load
0.52766,-24.5654,-25.3125,-26.3180,1.0055,0.0,0.966,ramp,no_load
0.538067,-24.5654,-25.3125,-26.3101,0.9976,0.0,0.789,ramp,no_load
0.548485,-24.5654,-25.3125,-26.3036,0.9911,0.0,0.643,ramp,no_load
0.55883,-24.5654,-25.2246,-26.2984,1.0738,8.497,0.522,ramp,no_load
0.569338,-24.5654,-25.0488,-26.2942,1.2454,16.73,0.423,ramp,no_load
0.579828,-24.5654,-24.8730,-26.2653,1.3923,16.759,2.889,ramp,no_load
0.590481,-24.5654,-24.7852,-26.0857,1.3005,8.242,11.971,ramp,no_load
0.600682,-24.5654,-24.6973,-25.9225,1.2252,8.617,16.323,ramp,no_load
0.610898,-24.5654,-24.6973,-25.7485,1.0512,0.0,17.403,ramp,no_load
0.621374,-24.5654,-24.6973,-25.5761,0.8788,0.0,17.236,ramp,no_load
0.63193,-24.5654,-24.6973,-25.4130,0.7157,0.0,16.310,ramp,no_load
0.642607,-24.5654,-24.6973,-25.2634,0.5661,0.0,14.962,ramp,no_load
0.652996,-24.5654,-24.6973,-25.1292,0.4319,0.0,13.417,ramp,no_load
0.663185,-24.5654,-24.6973,-25.0110,0.3137,0.0,11.825,ramp,no_load
0.673788,-24.5654,-24.6973,-24.9082,0.2109,0.0,10.281,ramp,no_load
0.684607,-24.5654,-24.6973,-24.8198,0.1225,0.0,8.840,ramp,no_load
0.695145,-24.5654,-24.6973,-24.7113,0.0140,0.0,7.233,ramp,no_load
0.705541,-24.5654,-24.6973,-24.6529,-0.0444,0.0,5.837,ramp,no_load
0.715684,-24.5654,-24.6973,-24.6041,-0.0932,0.0,4.885,ramp,no_load
0.726509,-24.5654,-24.6973,-24.5634,-0.1339,0.0,4.067,ramp,no_load
0.736853,-24.5654,-24.6973,-24.5297,-0.1676,0.0,3.369,ramp,no_load
0.747253,-24.5654,-24.6973,-24.5019,-0.1954,0.0,2.778,ramp,no_load
0.7585,-22.6758,-24.6973,-24.4791,-0.2182,0.0,2.282,ramp,no_load
0.76927,-22.6758,-24.6973,-24.4604,-0.2369,0.0,1.868,ramp,no_load
0.779452,-22.6758,-24.6973,-24.4452,-0.2521,0.0,1.524,ramp,no_load
0.789854,-22.6758,-24.6973,-24.4328,-0.2645,0.0,1.239,ramp,no_load
0.800447,-22.6758,-24.6094,-24.4184,-0.1910,8.298,0.956,ramp,no_load
0.811028,-22.6758,-24.3457,-24.4111,0.0654,24.922,0.730,ramp,no_load
0.821293,-22.6758,-24.0820,-24.4053,0.3233,25.689,0.589,ramp,no_load
0.831374,-22.6758,-23.7305,-24.3300,0.5995,34.868,7.528,ramp,no_load
0.84149,-22.6758,-23.4668,-24.1956,0.7288,26.068,13.434,ramp,no_load
0.851739,-22.6758,-23.2910,-24.0314,0.7404,17.153,16.427,ramp,no_load
0.862247,-22.6758,-23.2031,-23.8565,0.6534,8.365,17.485,ramp,no_load
0.872324,-22.6758,-23.1152,-23.6835,0.5683,8.723,17.301,ramp,no_load
0.882479,-22.6758,-23.1152,-23.5199,0.4047,0.0,16.361,ramp,no_load
0.893031,-22.6758,-23.1152,-23.3699,0.2547,0.0,15.001,ramp,no_load
0.903715,-22.6758,-23.1152,-23.2354,0.1202,0.0,13.447,ramp,no_load
0.913784,-22.6758,-23.1152,-23.1169,0.0017,0.0,11.849,ramp,no_load
0.924156,-22.6758,-23.1152,-23.0139,-0.1013,0.0,10.299,ramp,no_load
0.934676,-22.6758,-23.1152,-22.9254,-0.1898,0.0,8.853,ramp,no_load
0.945619,-22.6758,-23.1152,-22.8168,-0.2984,0.0,7.242,ramp,no_load
0.956638,-22.6758,-23.1152,-22.7583,-0.3569,0.0,5.843,ramp,no_load
0.967029,-22.6758,-23.1152,-22.7094,-0.4058,0.0,4.890,ramp,no_load
0.977944,-22.6758,-23.1152,-22.6687,-0.4465,0.0,4.070,ramp,no_load
0.988004,-22.6758,-23.1152,-22.6350,-0.4802,0.0,3.371,ramp,no_load
0.998159,-22.6758,-23.1152,-22.6072,-0.5080,0.0,2.780,ramp,no_load
1.009098,-20.7861,-23.1152,-22.5844,-0.5308,0.0,2.283,ramp,no_load
