time,commanded_deg,real_deg,sim_deg,error_deg,real_vel_deg_s,sim_vel_deg_s,experiment_id,load_condition
0.000464,0.0,1.1426,1.3846,-0.2420,0.0,0.088,reverse,no_load
0.01201,0.0,1.1426,1.3854,-0.2428,0.0,0.087,reverse,no_load
0.022673,0.0,1.1426,1.3863,-0.2437,0.0,0.087,reverse,no_load
0.03313,0.0,1.1426,1.3872,-0.2446,0.0,0.086,reverse,no_load
0.043344,0.0,1.1426,1.3880,-0.2454,0.0,0.086,reverse,no_load
0.05418,0.0,1.1426,1.3889,-0.2463,0.0,0.085,reverse,no_load
0.064517,0.0,1.1426,1.3897,-0.2471,0.0,0.085,reverse,no_load
0.074814,0.0,1.1426,1.3787,-0.2361,0.0,-1.101,reverse,no_load
0.085715,0.0,1.1426,1.2982,-0.1556,0.0,-5.371,reverse,no_load
0.096381,0.0,1.1426,1.2238,-0.0812,0.0,-7.434,reverse,no_load
0.107251,0.0,1.1426,1.1442,-0.0016,0.0,-7.961,reverse,no_load
0.117338,0.0,1.1426,1.0652,0.0774,0.0,-7.904,reverse,no_load
0.127994,0.0,1.1426,0.9903,0.1523,0.0,-7.490,reverse,no_load
0.13807,0.0,1.1426,0.9215,0.2211,0.0,-6.876,reverse,no_load
0.149025,0.0,1.1426,0.8598,0.2828,0.0,-6.169,reverse,no_load
0.159289,0.0,1.1426,0.8054,0.3372,0.0,-5.439,reverse,no_load
0.17021,0.0,1.1426,0.7370,0.4056,0.0,-4.560,reverse,no_load
0.180587,0.0,1.1426,0.6995,0.4431,0.0,-3.756,reverse,no_load
0.190798,0.0,1.1426,0.6676,0.4750,0.0,-3.185,reverse,no_load
0.201338,0.0,1.1426,0.6408,0.5018,0.0,-2.682,reverse,no_load
0.212015,0.0,1.1426,0.6184,0.5242,0.0,-2.244,reverse,no_load
0.222324,0.0,1.1426,0.5997,0.5429,0.0,-1.866,reverse,no_load
0.232582,0.0,1.1426,0.5843,0.5583,0.0,-1.545,reverse,no_load
0.242984,0.0,1.1426,0.5715,0.5711,0.0,-1.273,reverse,no_load
0.253196,0.0,1.1426,0.5611,0.5815,0.0,-1.045,reverse,no_load
0.263897,0.0,1.1426,0.5525,0.5901,0.0,-0.854,reverse,no_load
0.274633,0.0,1.1426,0.5456,0.5970,0.0,-0.696,reverse,no_load
0.28486,0.0,1.1426,0.5399,0.6027,0.0,-0.566,reverse,no_load
0.295042,0.0,1.1426,0.5334,0.6092,0.0,-0.435,reverse,no_load
0.305162,0.0,1.1426,0.5301,0.6125,0.0,-0.332,reverse,no_load
0.315846,0.0,1.1426,0.5274,0.6152,0.0,-0.267,reverse,no_load
0.326182,0.0,1.1426,0.5252,0.6174,0.0,-0.215,reverse,no_load
0.33672,0.0,1.1426,0.5235,0.6191,0.0,-0.172,reverse,no_load
0.34701,0.0,1.1426,0.5221,0.6205,0.0,-0.138,reverse,no_load
0.35706,0.0,1.1426,0.5210,0.6216,0.0,-0.118,reverse,no_load
0.367118,0.0,1.1426,0.5198,0.6228,0.0,-0.111,reverse,no_load
0.37742,0.0,1.1426,0.5188,0.6238,0.0,-0.107,reverse,no_load
0.387981,0.0,1.1426,0.5177,0.6249,0.0,-0.106,reverse,no_load
0.398782,0.0,1.1426,0.5167,0.6259,0.0,-0.104,reverse,no_load
0.408947,0.0,1.1426,0.5156,0.6270,0.0,-0.104,reverse,no_load
0.419831,0.0,1.1426,0.5146,0.6280,0.0,-0.103,reverse,no_load
0.430251,0.0,1.1426,0.5131,0.6295,0.0,-0.102,reverse,no_load
0.440839,0.0,1.1426,0.5121,0.6305,0.0,-0.101,reverse,no_load
