time,commanded_deg,real_deg,sim_deg,error_deg,real_vel_deg_s,sim_vel_deg_s,experiment_id,load_condition
0.000709,-47.2412,-46.5820,-46.4563,-0.1257,0.0,0.086,staircase2,no_load
0.011096,-47.2412,-46.5820,-46.4555,-0.1265,0.0,0.085,staircase2,no_load
0.022423,-47.2412,-46.5820,-46.4546,-0.1274,0.0,0.085,staircase2,no_load
0.032732,-47.2412,-46.5820,-46.4538,-0.1282,0.0,0.084,staircase2,no_load
0.043671,-47.2412,-46.5820,-46.4529,-0.1291,0.0,0.084,staircase2,no_load
0.053932,-47.2412,-46.5820,-46.4521,-0.1299,0.0,0.083,staircase2,no_load
0.064096,-47.2412,-46.5820,-46.4513,-0.1307,0.0,0.083,staircase2,no_load
0.074267,-47.2412,-46.5820,-46.4558,-0.1262,0.0,-0.456,staircase2,no_load
0.084436,-47.2412,-46.5820,-46.4772,-0.1048,0.0,-2.138,staircase2,no_load
0.095163,-47.2412,-46.5820,-46.5251,-0.0569,0.0,-3.194,staircase2,no_load
0.107679,-47.2412,-46.5820,-46.5609,-0.0211,0.0,-3.580,staircase2,no_load
0.118353,-47.2412,-46.5820,-46.5965,0.0145,0.0,-3.560,staircase2,no_load
0.128652,-47.2412,-46.5820,-46.6303,0.0483,0.0,-3.377,staircase2,no_load
0.138958,-47.2412,-46.5820,-46.6613,0.0793,0.0,-3.104,staircase2,no_load
0.149843,-47.2412,-46.5820,-46.6892,0.1072,0.0,-2.788,staircase2,no_load
0.160376,-47.2412,-46.5820,-46.7249,0.1429,0.0,-2.380,staircase2,no_load
0.170685,-47.2412,-46.5820,-46.7448,0.1628,0.0,-1.989,staircase2,no_load
0.181151,-47.2412,-46.5820,-46.7618,0.1798,0.0,-1.704,staircase2,no_load
0.191493,-47.2412,-46.5820,-46.7763,0.1943,0.0,-1.447,staircase2,no_load
0.202155,-47.2412,-46.5820,-46.7885,0.2065,0.0,-1.220,staircase2,no_load
0.213333,-47.2412,-46.5820,-46.7987,0.2167,0.0,-1.022,staircase2,no_load
0.224026,-47.2412,-46.5820,-46.8073,0.2253,0.0,-0.852,staircase2,no_load
0.234436,-47.2412,-46.5820,-46.8143,0.2323,0.0,-0.706,staircase2,no_load
0.24491,-47.2412,-46.5820,-46.8201,0.2381,0.0,-0.583,staircase2,no_load
0.255154,-47.2412,-46.5820,-46.8270,0.2450,0.0,-0.457,staircase2,no_load
0.265785,-47.2412,-46.5820,-46.8306,0.2486,0.0,-0.355,staircase2,no_load
0.276304,-47.2412,-46.5820,-46.8335,0.2515,0.0,-0.290,staircase2,no_load
0.286825,-47.2412,-46.5820,-46.8358,0.2538,0.0,-0.235,staircase2,no_load
0.297263,-47.2412,-46.5820,-46.8377,0.2557,0.0,-0.191,staircase2,no_load
0.307663,-47.2412,-46.5820,-46.8393,0.2573,0.0,-0.154,staircase2,no_load
0.31798,-47.2412,-46.5820,-46.8405,0.2585,0.0,-0.127,staircase2,no_load
0.32841,-47.2412,-46.5820,-46.8417,0.2597,0.0,-0.114,staircase2,no_load
0.338721,-47.2412,-46.5820,-46.8428,0.2608,0.0,-0.109,staircase2,no_load
0.349143,-47.2412,-46.5820,-46.8438,0.2618,0.0,-0.107,staircase2,no_load
0.359444,-47.2412,-46.5820,-46.8449,0.2629,0.0,-0.105,staircase2,no_load
0.369922,-47.2412,-46.5820,-46.8459,0.2639,0.0,-0.104,staircase2,no_load
0.380711,-47.2412,-46.5820,-46.8475,0.2655,0.0,-0.103,staircase2,no_load
0.391103,-47.2412,-46.5820,-46.8485,0.2665,0.0,-0.102,staircase2,no_load
0.401729,-47.2412,-46.5820,-46.8495,0.2675,0.0,-0.102,staircase2,no_load
0.412151,-47.2412,-46.5820,-46.8505,0.2685,0.0,-0.101,staircase2,no_load
0.42289,-47.2412,-46.5820,-46.8515,0.2695,0.0,-0.100,staircase2,no_load
0.433202,-47.2412,-46.5820,-46.8525,0.2705,0.0,-0.100,staircase2,no_load
0.443551,-47.2412,-46.5820,-46.8535,0.2715,0.0,-0.099,staircase2,no_load
0.453769,-47.2412,-46.5820,-46.8545,0.2725,0.0,-0.098,staircase2,no_load
0.464042,-47.2412,-46.5820,-46.8555,0.2735,0.0,-0.097,staircase2,no_load
0.474656,-47.2412,-46.5820,-46.8564,0.2744,0.0,-0.097,staircase2,no_load
0.485232,-47.2412,-46.5820,-46.8579,0.2759,0.0,-0.096,staircase2,no_load
0.4958,-47.2412,-46.5820,-46.8588,0.2768,0.0,-0.095,staircase2,no_load
0.506412,-47.2412,-46.5820,-46.8598,0.2778,0.0,-0.094,staircase2,no_load
0.516778,-47.2412,-46.5820,-46.8607,0.2787,0.0,-0.094,staircase2,no_load
0.527665,-47.2412,-46.5820,-46.8616,0.2796,0.0,-0.093,staircase2,no_load
0.538064,-47.2412,-46.5820,-46.8626,0.2806,0.0,-0.093,staircase2,no_load
0.548403,-47.2412,-46.5820,-46.8635,0.2815,0.0,-0.092,staircase2,no_load
0.558686,-47.2412,-46.5820,-46.8644,0.2824,0.0,-0.091,staircase2,no_load
0.569349,-47.2412,-46.5820,-46.8653,0.2833,0.0,-0.091,staircase2,no_load
0.579919,-47.2412,-46.5820,-46.8662,0.2842,0.0,-0.090,staircase2,no_load
0.590247,-47.2412,-46.5820,-46.8675,0.2855,0.0,-0.089,staircase2,no_load
0.600528,-47.2412,-46.5820,-46.8684,0.2864,0.0,-0.088,staircase2,no_load
0.611008,-47.2412,-46.5820,-46.8693,0.2873,0.0,-0.088,staircase2,no_load
0.621293,-47.2412,-46.5820,-46.8702,0.2882,0.0,-0.087,staircase2,no_load
0.631894,-47.2412,-46.5820,-46.8710,0.2890,0.0,-0.087,staircase2,no_load
0.642519,-47.2412,-46.5820,-46.8719,0.2899,0.0,-0.086,staircase2,no_load
