time,commanded_deg,real_deg,sim_deg,error_deg,real_vel_deg_s,sim_vel_deg_s,experiment_id,load_condition
0.00118,0.0,1.1426,1.3846,-0.2420,0.0,0.088,step_5,no_load
0.01184,0.0,1.1426,1.3854,-0.2428,0.0,0.087,step_5,no_load
0.021972,0.0,1.1426,1.3863,-0.2437,0.0,0.087,step_5,no_load
0.032332,0.0,1.1426,1.3872,-0.2446,0.0,0.086,step_5,no_load
0.042631,0.0,1.1426,1.3880,-0.2454,0.0,0.086,step_5,no_load
0.053259,0.0,1.1426,1.3889,-0.2463,0.0,0.085,step_5,no_load
0.063721,0.0,1.1426,1.3897,-0.2471,0.0,0.085,step_5,no_load
0.07452,0.0,1.1426,1.3787,-0.2361,0.0,-1.101,step_5,no_load
0.085149,0.0,1.1426,1.2982,-0.1556,0.0,-5.371,step_5,no_load
0.095528,0.0,1.1426,1.2238,-0.0812,0.0,-7.434,step_5,no_load
0.105749,0.0,1.1426,1.1442,-0.0016,0.0,-7.961,step_5,no_load
0.11653,0.0,1.1426,1.0652,0.0774,0.0,-7.904,step_5,no_load
0.126778,0.0,1.1426,0.9903,0.1523,0.0,-7.490,step_5,no_load
0.137026,0.0,1.1426,0.9215,0.2211,0.0,-6.876,step_5,no_load
0.148091,0.0,1.1426,0.8598,0.2828,0.0,-6.169,step_5,no_load
0.158533,0.0,1.1426,0.8054,0.3372,0.0,-5.439,step_5,no_load
0.169197,0.0,1.1426,0.7581,0.3845,0.0,-4.729,step_5,no_load
0.179777,0.0,1.1426,0.7175,0.4251,0.0,-4.065,step_5,no_load
0.190252,0.0,1.1426,0.6676,0.4750,0.0,-3.325,step_5,no_load
0.200544,0.0,1.1426,0.6408,0.5018,0.0,-2.682,step_5,no_load
0.211095,0.0,1.1426,0.6184,0.5242,0.0,-2.244,step_5,no_load
0.221428,0.0,1.1426,0.5997,0.5429,0.0,-1.866,step_5,no_load
0.231937,0.0,1.1426,0.5843,0.5583,0.0,-1.545,step_5,no_load
0.24242,0.0,1.1426,0.5715,0.5711,0.0,-1.273,step_5,no_load
0.253302,0.0,1.1426,0.5611,0.5815,0.0,-1.045,step_5,no_load
0.264122,0.0,1.1426,0.5525,0.5901,0.0,-0.854,step_5,no_load
0.274819,0.0,1.1426,0.5456,0.5970,0.0,-0.696,step_5,no_load
0.285743,0.0,1.1426,0.5375,0.6051,0.0,-0.538,step_5,no_load
0.296517,0.0,1.1426,0.5334,0.6092,0.0,-0.412,step_5,no_load
0.307174,0.0,1.1426,0.5301,0.6125,0.0,-0.332,step_5,no_load
0.317478,0.0,1.1426,0.5274,0.6152,0.0,-0.267,step_5,no_load
0.327986,0.0,1.1426,0.5252,0.6174,0.0,-0.215,step_5,no_load
0.33862,0.0,1.1426,0.5235,0.6191,0.0,-0.172,step_5,no_load
0.349131,0.0,1.1426,0.5221,0.6205,0.0,-0.138,step_5,no_load
0.359843,0.0,1.1426,0.5210,0.6216,0.0,-0.118,step_5,no_load
0.370154,0.0,1.1426,0.5193,0.6233,0.0,-0.110,step_5,no_load
0.380467,0.0,1.1426,0.5182,0.6244,0.0,-0.106,step_5,no_load
0.39066,0.0,1.1426,0.5172,0.6254,0.0,-0.105,step_5,no_load
0.400816,0.0,1.1426,0.5162,0.6264,0.0,-0.104,step_5,no_load
0.411311,0.0,1.1426,0.5151,0.6275,0.0,-0.103,step_5,no_load
0.422432,0.0,1.1426,0.5141,0.6285,0.0,-0.102,step_5,no_load
0.432703,0.0,1.1426,0.5131,0.6295,0.0,-0.102,step_5,no_load
0.443182,0.0,1.1426,0.5121,0.6305,0.0,-0.101,step_5,no_load
0.453616,0.0,1.1426,0.5111,0.6315,0.0,-0.100,step_5,no_load
0.464203,0.0,1.1426,0.5101,0.6325,0.0,-0.100,step_5,no_load
0.474579,0.0,1.1426,0.5091,0.6335,0.0,-0.099,step_5,no_load
0.485001,0.0,1.1426,0.5076,0.6350,0.0,-0.098,step_5,no_load
0.495552,0.0,1.1426,0.5066,0.6360,0.0,-0.097,step_5,no_load
0.506139,0.0,1.1426,0.5057,0.6369,0.0,-0.097,step_5,no_load
0.517034,0.0,1.1426,0.5047,0.6379,0.0,-0.096,step_5,no_load
0.52724,0.0,1.1426,0.5038,0.6388,0.0,-0.095,step_5,no_load
0.537855,0.0,1.1426,0.5028,0.6398,0.0,-0.095,step_5,no_load
0.548036,0.0,1.1426,0.5019,0.6407,0.0,-0.094,step_5,no_load
0.559046,0.0,1.1426,0.5009,0.6417,0.0,-0.093,step_5,no_load
0.569236,0.0,1.1426,0.5000,0.6426,0.0,-0.093,step_5,no_load
0.580355,0.0,1.1426,0.4986,0.6440,0.0,-0.092,step_5,no_load
0.590676,0.0,1.1426,0.4977,0.6449,0.0,-0.091,step_5,no_load
0.600824,0.0,1.1426,0.4968,0.6458,0.0,-0.090,step_5,no_load
0.611009,0.0,1.1426,0.4959,0.6467,0.0,-0.090,step_5,no_load
0.621524,0.0,1.1426,0.4950,0.6476,0.0,-0.089,step_5,no_load
0.632019,0.0,1.1426,0.4942,0.6484,0.0,-0.088,step_5,no_load
0.64219,0.0,1.1426,0.4933,0.6493,0.0,-0.088,step_5,no_load
0.652579,0.0,1.1426,0.4924,0.6502,0.0,-0.087,step_5,no_load
0.662836,0.0,1.1426,0.4915,0.6511,0.0,-0.087,step_5,no_load
0.673453,0.0,1.1426,0.4907,0.6519,0.0,-0.086,step_5,no_load
0.684076,0.0,1.1426,0.4898,0.6528,0.0,-0.085,step_5,no_load
0.694629,0.0,1.1426,0.4890,0.6536,0.0,-0.085,step_5,no_load
0.705241,0.0,1.1426,0.4877,0.6549,0.0,-0.084,step_5,no_load
0.7158,0.0,1.1426,0.4869,0.6557,0.0,-0.083,step_5,no_load
0.72629,0.0,1.1426,0.4861,0.6565,0.0,-0.083,step_5,no_load
0.736856,0.0,1.1426,0.4852,0.6574,0.0,-0.082,step_5,no_load
0.747406,0.0,1.1426,0.4844,0.6582,0.0,-0.082,step_5,no_load
0.757842,0.0,1.1426,0.4836,0.6590,0.0,-0.081,step_5,no_load
0.768186,0.0,1.1426,0.4828,0.6598,0.0,-0.081,step_5,no_load
0.778776,0.0,1.1426,0.4820,0.6606,0.0,-0.080,step_5,no_load
0.789383,0.0,1.1426,0.4812,0.6614,0.0,-0.079,step_5,no_load
0.799945,0.0,1.1426,0.4804,0.6622,0.0,-0.079,step_5,no_load
0.811106,0.0,1.1426,0.4792,0.6634,0.0,-0.078,step_5,no_load
0.821623,0.0,1.1426,0.4785,0.6641,0.0,-0.077,step_5,no_load
0.832308,0.0,1.1426,0.4777,0.6649,0.0,-0.077,step_5,no_load
0.842728,0.0,1.1426,0.4769,0.6657,0.0,-0.076,step_5,no_load
0.853426,0.0,1.1426,0.4762,0.6664,0.0,-0.076,step_5,no_load
0.864431,0.0,1.1426,0.4754,0.6672,0.0,-0.075,step_5,no_load
0.875085,0.0,1.1426,0.4743,0.6683,0.0,-0.075,step_5,no_load
0.886253,0.0,1.1426,0.4736,0.6690,0.0,-0.074,step_5,no_load
0.896919,0.0,1.1426,0.4728,0.6698,0.0,-0.074,step_5,no_load
0.907503,0.0,1.1426,0.4721,0.6705,0.0,-0.073,step_5,no_load
0.917941,0.0,1.1426,0.4714,0.6712,0.0,-0.073,step_5,no_load
0.928123,0.0,1.1426,0.4706,0.6720,0.0,-0.072,step_5,no_load
0.938612,0.0,1.1426,0.4699,0.6727,0.0,-0.072,step_5,no_load
0.948997,0.0,1.1426,0.4692,0.6734,0.0,-0.071,step_5,no_load
0.959467,0.0,1.1426,0.4685,0.6741,0.0,-0.071,step_5,no_load
0.970153,0.0,1.1426,0.4675,0.6751,0.0,-0.070,step_5,no_load
0.980674,0.0,1.1426,0.4668,0.6758,0.0,-0.069,step_5,no_load
0.990862,0.0,1.1426,0.4661,0.6765,0.0,-0.069,step_5,no_load
1.001275,0.0,1.1426,0.4654,0.6772,0.0,-0.068,step_5,no_load
1.01186,0.0,1.1426,0.4647,0.6779,0.0,-0.068,step_5,no_load
1.023077,0.0,1.1426,0.4641,0.6785,0.0,-0.067,step_5,no_load
1.033884,0.0,1.1426,0.4634,0.6792,0.0,-0.067,step_5,no_load
1.044547,0.0,1.1426,0.4627,0.6799,0.0,-0.066,step_5,no_load
1.054644,0.0,1.1426,0.4621,0.6805,0.0,-0.066,step_5,no_load
1.065131,0.0,1.1426,0.4611,0.6815,0.0,-0.065,step_5,no_load
1.07574,0.0,1.1426,0.4604,0.6822,0.0,-0.065,step_5,no_load
1.086408,0.0,1.1426,0.4598,0.6828,0.0,-0.064,step_5,no_load
1.097012,0.0,1.1426,0.4591,0.6835,0.0,-0.064,step_5,no_load
1.107601,0.0,1.1426,0.4585,0.6841,0.0,-0.063,step_5,no_load
1.118112,0.0,1.1426,0.4579,0.6847,0.0,-0.063,step_5,no_load
1.12868,0.0,1.1426,0.4573,0.6853,0.0,-0.063,step_5,no_load
1.139204,0.0,1.1426,0.4566,0.6860,0.0,-0.062,step_5,no_load
1.149812,0.0,1.1426,0.4560,0.6866,0.0,-0.062,step_5,no_load
1.160659,0.0,1.1426,0.4551,0.6875,0.0,-0.061,step_5,no_load
1.171064,0.0,1.1426,0.4545,0.6881,0.0,-0.061,step_5,no_load
1.181324,0.0,1.1426,0.4539,0.6887,0.0,-0.060,step_5,no_load
1.191584,0.0,1.1426,0.4533,0.6893,0.0,-0.060,step_5,no_load
1.202564,4.7241,1.1426,0.4527,0.6899,0.0,-0.059,step_5,no_load
1.212765,4.7241,1.1426,0.4521,0.6905,0.0,-0.059,step_5,no_load
1.223715,4.7241,1.1426,0.4515,0.6911,0.0,-0.059,step_5,no_load
1.234117,4.7241,1.1426,0.4509,0.6917,0.0,-0.058,step_5,no_load
1.244701,4.7241,1.1426,0.4504,0.6922,0.0,-0.058,step_5,no_load
1.25534,4.7241,1.3184,0.4495,0.8689,16.524,-0.057,step_5,no_load
1.265941,4.7241,1.5820,0.4489,1.1331,24.866,-0.057,step_5,no_load
1.276839,4.7241,2.1094,0.6165,1.4929,48.394,16.756,step_5,no_load
1.287207,4.7241,2.5488,0.9268,1.6220,42.38,31.027,step_5,no_load
1.297823,4.7241,3.0762,1.3100,1.7662,49.68,38.325,step_5,no_load
1.308149,4.7241,3.5156,1.7198,1.7958,42.553,40.984,step_5,no_load
1.318878,4.7241,3.6914,2.1264,1.5650,16.385,40.658,step_5,no_load
1.329658,4.7241,3.9551,2.5115,1.4436,24.462,38.510,step_5,no_load
1.339877,4.7241,4.0430,2.8650,1.1780,8.602,35.344,step_5,no_load
1.350393,4.7241,4.1309,3.3264,0.8045,8.359,30.760,step_5,no_load
1.360553,4.7241,4.2187,3.5873,0.6314,8.642,26.092,step_5,no_load
1.370811,4.7241,4.3066,3.8128,0.4938,8.569,22.548,step_5,no_load
1.381169,4.7241,4.3945,4.0056,0.3889,8.486,19.287,step_5,no_load
1.391727,4.7241,4.4824,4.1692,0.3132,8.325,16.356,step_5,no_load
1.401961,4.7241,4.4824,4.3069,0.1755,0.0,13.768,step_5,no_load
1.412599,4.7241,4.4824,4.4221,0.0603,0.0,11.517,step_5,no_load
1.422842,4.7241,4.4824,4.5179,-0.0355,0.0,9.579,step_5,no_load
1.4332,4.7241,4.4824,4.5971,-0.1147,0.0,7.928,step_5,no_load
1.443595,4.7241,4.4824,4.6624,-0.1800,0.0,6.532,step_5,no_load
1.454133,4.7241,4.4824,4.7160,-0.2336,0.0,5.360,step_5,no_load
1.464742,4.7241,4.4824,4.7599,-0.2775,0.0,4.382,step_5,no_load
1.475228,4.7241,4.4824,4.8108,-0.3284,0.0,3.397,step_5,no_load
1.485676,4.7241,4.4824,4.8369,-0.3545,0.0,2.610,step_5,no_load
1.496213,4.7241,4.4824,4.8580,-0.3756,0.0,2.111,step_5,no_load
1.506869,4.7241,4.4824,4.8751,-0.3927,0.0,1.702,step_5,no_load
1.51712,4.7241,4.4824,4.8888,-0.4064,0.0,1.369,step_5,no_load
1.527233,4.7241,4.4824,4.8997,-0.4173,0.0,1.099,step_5,no_load
1.537915,4.7241,4.4824,4.9085,-0.4261,0.0,0.880,step_5,no_load
1.548913,4.7241,4.4824,4.9156,-0.4332,0.0,0.703,step_5,no_load
1.559044,4.7241,4.4824,4.9212,-0.4388,0.0,0.560,step_5,no_load
1.569367,4.7241,4.4824,4.9256,-0.4432,0.0,0.446,step_5,no_load
1.579964,4.7241,4.4824,4.9292,-0.4468,0.0,0.354,step_5,no_load
1.590695,4.7241,4.4824,4.9331,-0.4507,0.0,0.265,step_5,no_load
1.601228,4.7241,4.4824,4.9351,-0.4527,0.0,0.197,step_5,no_load
1.61158,4.7241,4.4824,4.9367,-0.4543,0.0,0.155,step_5,no_load
1.621724,4.7241,4.4824,4.9379,-0.4555,0.0,0.126,step_5,no_load
1.632053,4.7241,4.4824,4.9391,-0.4567,0.0,0.114,step_5,no_load
1.642955,4.7241,4.4824,4.9402,-0.4578,0.0,0.108,step_5,no_load
1.653509,4.7241,4.4824,4.9412,-0.4588,0.0,0.106,step_5,no_load
1.663739,4.7241,4.4824,4.9423,-0.4599,0.0,0.105,step_5,no_load
1.673877,4.7241,4.4824,4.9433,-0.4609,0.0,0.104,step_5,no_load
1.684382,4.7241,4.4824,4.9443,-0.4619,0.0,0.103,step_5,no_load
1.694788,4.7241,4.4824,4.9453,-0.4629,0.0,0.102,step_5,no_load
1.705137,4.7241,4.4824,4.9469,-0.4645,0.0,0.101,step_5,no_load
1.715701,4.7241,4.4824,4.9479,-0.4655,0.0,0.100,step_5,no_load
1.726232,4.7241,4.4824,4.9489,-0.4665,0.0,0.100,step_5,no_load
1.736854,4.7241,4.4824,4.9499,-0.4675,0.0,0.099,step_5,no_load
1.747129,4.7241,4.4824,4.9508,-0.4684,0.0,0.098,step_5,no_load
1.757486,4.7241,4.4824,4.9518,-0.4694,0.0,0.098,step_5,no_load
1.768618,4.7241,4.4824,4.9528,-0.4704,0.0,0.097,step_5,no_load
1.779327,4.7241,4.4824,4.9538,-0.4714,0.0,0.096,step_5,no_load
1.790727,4.7241,4.4824,4.9552,-0.4728,0.0,0.095,step_5,no_load
1.801238,4.7241,4.4824,4.9561,-0.4737,0.0,0.095,step_5,no_load
1.811744,4.7241,4.4824,4.9571,-0.4747,0.0,0.094,step_5,no_load
1.822576,4.7241,4.4824,4.9580,-0.4756,0.0,0.093,step_5,no_load
