time,commanded_deg,real_deg,sim_deg,error_deg,real_vel_deg_s,sim_vel_deg_s,experiment_id,load_condition
0.000523,0.0,1.1426,1.3846,-0.2420,0.0,0.088,triangle,no_load
0.011573,0.0,1.1426,1.3854,-0.2428,0.0,0.087,triangle,no_load
0.022412,0.0,1.1426,1.3863,-0.2437,0.0,0.087,triangle,no_load
0.033239,0.0,1.1426,1.3872,-0.2446,0.0,0.086,triangle,no_load
0.043943,0.0,1.1426,1.3880,-0.2454,0.0,0.086,triangle,no_load
0.055363,0.0,1.1426,1.3893,-0.2467,0.0,0.085,triangle,no_load
0.066134,0.0,1.1426,1.3901,-0.2475,0.0,0.084,triangle,no_load
0.076445,0.0,1.1426,1.3581,-0.2155,0.0,-3.201,triangle,no_load
0.086842,0.0,1.1426,1.2982,-0.1556,0.0,-5.999,triangle,no_load
0.09702,0.0,1.1426,1.2238,-0.0812,0.0,-7.434,triangle,no_load
0.107134,0.0,1.1426,1.1442,-0.0016,0.0,-7.961,triangle,no_load
0.117222,0.0,1.1426,1.0652,0.0774,0.0,-7.904,triangle,no_load
0.127653,0.0,1.1426,0.9903,0.1523,0.0,-7.490,triangle,no_load
0.137769,0.0,1.1426,0.9215,0.2211,0.0,-6.876,triangle,no_load
0.148321,0.0,1.1426,0.8598,0.2828,0.0,-6.169,triangle,no_load
0.158929,0.0,1.1426,0.8054,0.3372,0.0,-5.439,triangle,no_load
0.169221,0.0,1.1426,0.7581,0.3845,0.0,-4.729,triangle,no_load
0.179591,0.0,1.1426,0.7175,0.4251,0.0,-4.065,triangle,no_load
0.190286,0.0,1.1426,0.6676,0.4750,0.0,-3.325,triangle,no_load
0.200685,0.0,1.1426,0.6408,0.5018,0.0,-2.682,triangle,no_load
0.210866,0.0,1.1426,0.6184,0.5242,0.0,-2.244,triangle,no_load
0.221408,0.0,1.1426,0.5997,0.5429,0.0,-1.866,triangle,no_load
0.231634,0.0,1.1426,0.5843,0.5583,0.0,-1.545,triangle,no_load
0.24186,0.0,1.1426,0.5715,0.5711,0.0,-1.273,triangle,no_load
0.25219,0.0,1.1426,0.5611,0.5815,0.0,-1.045,triangle,no_load
0.263173,0.0,1.1426,0.5525,0.5901,0.0,-0.854,triangle,no_load
0.273748,0.0,1.1426,0.5456,0.5970,0.0,-0.696,triangle,no_load
0.284533,0.0,1.1426,0.5399,0.6027,0.0,-0.566,triangle,no_load
0.294917,0.0,1.1426,0.5353,0.6073,0.0,-0.458,triangle,no_load
0.305144,0.0,1.1426,0.5301,0.6125,0.0,-0.352,triangle,no_load
0.315581,0.0,1.1426,0.5274,0.6152,0.0,-0.267,triangle,no_load
0.326273,0.0,1.1426,0.5252,0.6174,0.0,-0.215,triangle,no_load
0.336707,0.0,1.1426,0.5235,0.6191,0.0,-0.172,triangle,no_load
0.347731,0.0,1.1426,0.5221,0.6205,0.0,-0.138,triangle,no_load
0.357837,0.0,1.1426,0.5210,0.6216,0.0,-0.118,triangle,no_load
0.368194,0.0,1.1426,0.5198,0.6228,0.0,-0.111,triangle,no_load
