time,commanded_deg,real_deg,sim_deg,error_deg,real_vel_deg_s,sim_vel_deg_s,experiment_id,load_condition
0.000467,-53.9868,0.1318,0.1326,-0.0008,0.0,0.000,ramp,no_load
0.010957,-53.9868,0.1318,0.1326,-0.0008,0.0,0.000,ramp,no_load
0.021143,-53.9868,0.1318,0.1326,-0.0008,0.0,0.000,ramp,no_load
0.031225,-53.9868,0.1318,0.1326,-0.0008,0.0,0.000,ramp,no_load
0.041279,-53.9868,0.0439,0.1326,-0.0887,-8.743,0.000,ramp,no_load
0.052284,-53.9868,-0.2197,0.1326,-0.3523,-23.953,0.000,ramp,no_load
0.063281,-53.9868,-0.6592,0.1326,-0.7918,-39.965,0.000,ramp,no_load
0.073704,-53.9868,-1.2744,-0.0002,-1.2742,-59.023,-13.285,ramp,no_load
0.084744,-53.9868,-2.0654,-0.6144,-1.4510,-71.649,-61.418,ramp,no_load
0.095037,-53.9868,-2.9443,-2.2492,-0.6951,-85.388,-108.988,ramp,no_load
0.105154,-53.9868,-4.0869,-3.7145,-0.3724,-112.939,-146.528,ramp,no_load
0.115321,-53.9868,-5.3174,-5.4163,0.0989,-121.029,-170.179,ramp,no_load
0.125844,-53.9868,-6.8994,-7.3111,0.4117,-150.337,-189.486,ramp,no_load
0.136647,-53.9868,-8.4814,-9.3636,0.8822,-146.441,-205.247,ramp,no_load
0.147455,-53.9868,-10.5029,-11.5447,1.0418,-187.037,-218.113,ramp,no_load
0.157776,-53.9868,-12.7002,-13.8309,1.1307,-212.896,-228.618,ramp,no_load
0.168776,-53.9868,-14.9854,-16.2029,1.2175,-207.745,-237.194,ramp,no_load
0.178949,-53.9868,-17.2705,-18.6448,1.3743,-224.624,-244.198,ramp,no_load
0.189478,-53.9868,-19.8193,-21.1440,1.3247,-242.074,-249.918,ramp,no_load
0.199945,-53.9868,-22.1045,-23.6899,1.5854,-218.324,-254.590,ramp,no_load
0.211036,-53.9868,-25.0049,-27.5781,2.5732,-261.509,-259.213,ramp,no_load
0.221376,-53.9868,-27.4658,-30.2068,2.7410,-237.998,-262.866,ramp,no_load
