time,commanded_deg,real_deg,sim_deg,error_deg,real_vel_deg_s,sim_vel_deg_s,experiment_id,load_condition
0.001232,0.0,0.3955,0.3963,-0.0008,0.0,0.000,reverse,no_load
0.011842,0.0,0.3955,0.3963,-0.0008,0.0,0.000,reverse,no_load
0.023004,0.0,0.3955,0.3963,-0.0008,0.0,0.000,reverse,no_load
0.033647,0.0,0.3955,0.3963,-0.0008,0.0,0.000,reverse,no_load
0.045025,0.0,0.3955,0.3963,-0.0008,0.0,0.000,reverse,no_load
0.055269,0.0,0.3955,0.3963,-0.0008,0.0,0.000,reverse,no_load
0.065764,0.0,0.3955,0.3963,-0.0008,0.0,0.000,reverse,no_load
0.076053,0.0,0.3955,0.3570,0.0385,0.0,-3.931,reverse,no_load
0.08705,0.0,0.3955,0.3187,0.0768,0.0,-3.836,reverse,no_load
0.097408,0.0,0.3955,0.2845,0.1110,0.0,-3.421,reverse,no_load
0.107961,0.0,0.3955,0.2540,0.1415,0.0,-3.044,reverse,no_load
0.118184,0.0,0.3955,0.2269,0.1686,0.0,-2.708,reverse,no_load
0.128824,0.0,0.3955,0.2028,0.1927,0.0,-2.410,reverse,no_load
0.13907,0.0,0.3955,0.1814,0.2141,0.0,-2.144,reverse,no_load
0.150032,0.0,0.3955,0.1536,0.2419,0.0,-1.854,reverse,no_load
0.160643,0.0,0.3955,0.1376,0.2579,0.0,-1.601,reverse,no_load
0.170814,0.0,0.3955,0.1233,0.2722,0.0,-1.425,reverse,no_load
0.181019,0.0,0.3955,0.1106,0.2849,0.0,-1.268,reverse,no_load
0.191209,0.0,0.3955,0.0994,0.2961,0.0,-1.128,reverse,no_load
0.201747,0.0,0.3955,0.0893,0.3062,0.0,-1.004,reverse,no_load
0.211922,0.0,0.3955,0.0804,0.3151,0.0,-0.893,reverse,no_load
0.222714,0.0,0.3955,0.0725,0.3230,0.0,-0.795,reverse,no_load
0.233064,0.0,0.3955,0.0654,0.3301,0.0,-0.707,reverse,no_load
0.243422,0.0,0.3955,0.0591,0.3364,0.0,-0.629,reverse,no_load
0.254052,0.0,0.3955,0.0535,0.3420,0.0,-0.560,reverse,no_load
0.264688,0.0,0.3955,0.0485,0.3470,0.0,-0.498,reverse,no_load
0.275796,0.0,0.3955,0.0420,0.3535,0.0,-0.433,reverse,no_load
0.286088,0.0,0.3955,0.0382,0.3573,0.0,-0.377,reverse,no_load
0.296781,0.0,0.3955,0.0349,0.3606,0.0,-0.339,reverse,no_load
0.307719,0.0,0.3955,0.0318,0.3637,0.0,-0.305,reverse,no_load
0.318634,0.0,0.3955,0.0291,0.3664,0.0,-0.276,reverse,no_load
0.329341,0.0,0.3955,0.0266,0.3689,0.0,-0.249,reverse,no_load
0.340879,0.0,0.3955,0.0233,0.3722,0.0,-0.220,reverse,no_load
0.351747,0.0,0.3955,0.0213,0.3742,0.0,-0.195,reverse,no_load
0.362502,0.0,0.3955,0.0195,0.3760,0.0,-0.177,reverse,no_load
0.372772,0.0,0.3955,0.0179,0.3776,0.0,-0.161,reverse,no_load
0.383205,0.0,0.3955,0.0164,0.3791,0.0,-0.147,reverse,no_load
0.393417,0.0,0.3955,0.0151,0.3804,0.0,-0.134,reverse,no_load
0.404132,0.0,0.3955,0.0139,0.3816,0.0,-0.122,reverse,no_load
0.414481,0.0,0.3955,0.0128,0.3827,0.0,-0.111,reverse,no_load
0.425549,0.0,0.3955,0.0113,0.3842,0.0,-0.099,reverse,no_load
0.436057,0.0,0.3955,0.0104,0.3851,0.0,-0.089,reverse,no_load
0.446372,0.0,0.3955,0.0096,0.3859,0.0,-0.081,reverse,no_load
0.457004,0.0,0.3955,0.0088,0.3867,0.0,-0.074,reverse,no_load
0.467387,0.0,0.3955,0.0082,0.3873,0.0,-0.068,reverse,no_load
0.477864,0.0,0.3955,0.0075,0.3880,0.0,-0.062,reverse,no_load
0.488656,0.0,0.3955,0.0070,0.3885,0.0,-0.057,reverse,no_load
0.499097,0.0,0.3955,0.0065,0.3890,0.0,-0.052,reverse,no_load
0.510124,0.0,0.3955,0.0058,0.3897,0.0,-0.046,reverse,no_load
0.520593,0.0,0.3955,0.0054,0.3901,0.0,-0.042,reverse,no_load
0.531054,0.0,0.3955,0.0050,0.3905,0.0,-0.038,reverse,no_load
0.541819,0.0,0.3955,0.0046,0.3909,0.0,-0.035,reverse,no_load
