time,commanded_deg,real_deg,sim_deg,error_deg,real_vel_deg_s,sim_vel_deg_s,experiment_id,load_condition
0.001251,-89.978,-89.7803,-89.7807,0.0004,0.0,-0.000,staircase1,no_load
0.012269,-89.978,-89.7803,-89.7807,0.0004,0.0,-0.000,staircase1,no_load
0.023188,-89.978,-89.7803,-89.7807,0.0004,0.0,-0.000,staircase1,no_load
0.03357,-89.978,-89.7803,-89.7807,0.0004,0.0,-0.000,staircase1,no_load
0.04428,-89.978,-89.7803,-89.7807,0.0004,0.0,-0.000,staircase1,no_load
0.054871,-89.978,-89.7803,-89.7807,0.0004,0.0,-0.000,staircase1,no_load
0.065491,-89.978,-89.7803,-89.7807,0.0004,0.0,-0.000,staircase1,no_load
0.076208,-89.978,-89.7803,-89.7999,0.0196,0.0,-1.927,staircase1,no_load
0.086676,-89.978,-89.7803,-89.8187,0.0384,0.0,-1.881,staircase1,no_load
0.097211,-89.978,-89.7803,-89.8355,0.0552,0.0,-1.677,staircase1,no_load
0.107955,-89.978,-89.7803,-89.8504,0.0701,0.0,-1.492,staircase1,no_load
0.118612,-89.978,-89.7803,-89.8637,0.0834,0.0,-1.328,staircase1,no_load
0.129448,-89.978,-89.7803,-89.8755,0.0952,0.0,-1.182,staircase1,no_load
0.13965,-89.978,-89.7803,-89.8860,0.1057,0.0,-1.051,staircase1,no_load
0.149883,-89.978,-89.7803,-89.8954,0.1151,0.0,-0.935,staircase1,no_load
0.160585,-89.978,-89.7803,-89.9075,0.1272,0.0,-0.809,staircase1,no_load
0.17128,-89.978,-89.7803,-89.9145,0.1342,0.0,-0.699,staircase1,no_load
0.181562,-89.978,-89.7803,-89.9207,0.1404,0.0,-0.622,staircase1,no_load
0.19256,-89.978,-89.7803,-89.9263,0.1460,0.0,-0.553,staircase1,no_load
0.203351,-89.978,-89.7803,-89.9312,0.1509,0.0,-0.492,staircase1,no_load
0.214513,-89.978,-89.7803,-89.9356,0.1553,0.0,-0.439,staircase1,no_load
0.225268,-89.978,-89.7803,-89.9413,0.1610,0.0,-0.383,staircase1,no_load
0.235954,-89.978,-89.7803,-89.9447,0.1644,0.0,-0.335,staircase1,no_load
0.246329,-89.978,-89.7803,-89.9477,0.1674,0.0,-0.302,staircase1,no_load
0.259348,-89.978,-89.7803,-89.9504,0.1701,0.0,-0.273,staircase1,no_load
0.270232,-89.978,-89.7803,-89.9540,0.1737,0.0,-0.241,staircase1,no_load
0.280927,-89.978,-89.7803,-89.9562,0.1759,0.0,-0.213,staircase1,no_load
0.291459,-89.978,-89.7803,-89.9581,0.1778,0.0,-0.193,staircase1,no_load
0.302426,-89.978,-89.7803,-89.9599,0.1796,0.0,-0.176,staircase1,no_load
0.313141,-89.978,-89.7803,-89.9615,0.1812,0.0,-0.160,staircase1,no_load
0.324029,-89.978,-89.7803,-89.9629,0.1826,0.0,-0.145,staircase1,no_load
0.335264,-89.978,-89.7803,-89.9649,0.1846,0.0,-0.130,staircase1,no_load
0.345973,-89.978,-89.7803,-89.9660,0.1857,0.0,-0.115,staircase1,no_load
0.356619,-89.978,-89.7803,-89.9671,0.1868,0.0,-0.105,staircase1,no_load
0.367861,-89.978,-89.7803,-89.9680,0.1877,0.0,-0.096,staircase1,no_load
0.378496,-89.978,-89.7803,-89.9689,0.1886,0.0,-0.088,staircase1,no_load
0.388703,-89.978,-89.7803,-89.9697,0.1894,0.0,-0.080,staircase1,no_load
0.399687,-89.978,-89.7803,-89.9704,0.1901,0.0,-0.073,staircase1,no_load
0.410358,-89.978,-89.7803,-89.9714,0.1911,0.0,-0.066,staircase1,no_load
0.420814,-89.978,-89.7803,-89.9720,0.1917,0.0,-0.059,staircase1,no_load
0.431376,-89.978,-89.7803,-89.9726,0.1923,0.0,-0.054,staircase1,no_load
0.441817,-89.978,-89.7803,-89.9730,0.1927,0.0,-0.049,staircase1,no_load
0.452057,-89.978,-89.7803,-89.9735,0.1932,0.0,-0.045,staircase1,no_load
0.462288,-89.978,-89.7803,-89.9739,0.1936,0.0,-0.041,staircase1,no_load
