time,commanded_deg,real_deg,sim_deg,error_deg,real_vel_deg_s,sim_vel_deg_s,experiment_id,load_condition
0.000624,0.0,-0.4834,-0.4826,-0.0008,0.0,0.000,step_5,no_load
0.010907,0.0,-0.4834,-0.4826,-0.0008,0.0,0.000,step_5,no_load
0.021519,0.0,-0.4834,-0.4826,-0.0008,0.0,0.000,step_5,no_load
0.032059,0.0,-0.4834,-0.4826,-0.0008,0.0,0.000,step_5,no_load
0.042614,0.0,-0.4834,-0.4826,-0.0008,0.0,0.000,step_5,no_load
0.053592,0.0,-0.4834,-0.4826,-0.0008,0.0,0.000,step_5,no_load
0.064347,0.0,-0.4834,-0.4826,-0.0008,0.0,0.000,step_5,no_load
0.075085,0.0,-0.4834,-0.3615,-0.1219,0.0,8.071,step_5,no_load
0.086067,0.0,-0.4834,-0.2616,-0.2218,0.0,9.986,step_5,no_load
0.096779,0.0,-0.4834,-0.1791,-0.3043,0.0,8.255,step_5,no_load
0.107478,0.0,-0.4834,-0.1107,-0.3727,0.0,6.842,step_5,no_load
0.117742,0.0,-0.4834,-0.0538,-0.4296,0.0,5.689,step_5,no_load
0.127928,0.0,-0.4834,-0.0063,-0.4771,0.0,4.748,step_5,no_load
0.138131,0.0,-0.4834,0.0335,-0.5169,0.0,3.980,step_5,no_load
0.149046,0.0,-0.4834,0.0670,-0.5504,0.0,3.353,step_5,no_load
0.159134,0.0,-0.4834,0.0954,-0.5788,0.0,2.841,step_5,no_load
0.169731,0.0,-0.4834,0.1196,-0.6030,0.0,2.423,step_5,no_load
0.179902,0.0,-0.4834,0.1405,-0.6239,0.0,2.082,step_5,no_load
0.19006,0.0,-0.4834,0.2366,-0.7200,0.0,6.408,step_5,no_load
0.200249,0.0,-0.4834,0.2514,-0.7348,0.0,1.479,step_5,no_load
0.211341,0.0,-0.4834,0.2645,-0.7479,0.0,1.312,step_5,no_load
0.221995,0.0,-0.4834,0.2763,-0.7597,0.0,1.175,step_5,no_load
0.233111,0.0,-0.4834,0.2869,-0.7703,0.0,1.064,step_5,no_load
0.24428,0.0,-0.4834,0.2966,-0.7800,0.0,0.973,step_5,no_load
0.254902,0.0,-0.4834,0.3056,-0.7890,0.0,0.898,step_5,no_load
0.26563,0.0,-0.4834,0.2480,-0.7314,0.0,-3.837,step_5,no_load
0.27628,0.0,-0.4834,0.2557,-0.7391,0.0,0.767,step_5,no_load
