time,commanded_deg,real_deg,sim_deg,error_deg,real_vel_deg_s,sim_vel_deg_s,experiment_id,load_condition
0.00046,0.0,0.5713,0.5721,-0.0008,0.0,0.000,triangle,no_load
0.010888,0.0,0.5713,0.5721,-0.0008,0.0,0.000,triangle,no_load
0.02119,0.0,0.5713,0.5721,-0.0008,0.0,0.000,triangle,no_load
0.032104,0.0,0.5713,0.5721,-0.0008,0.0,0.000,triangle,no_load
0.04217,0.0,0.5713,0.5721,-0.0008,0.0,0.000,triangle,no_load
0.053195,0.0,0.5713,0.5721,-0.0008,0.0,0.000,triangle,no_load
0.063512,0.0,0.5713,0.5721,-0.0008,0.0,0.000,triangle,no_load
0.074112,0.0,0.5713,0.4393,0.1320,0.0,-13.285,triangle,no_load
0.084293,0.0,0.5713,0.3319,0.2394,0.0,-10.739,triangle,no_load
0.094511,0.0,0.5713,0.2453,0.3260,0.0,-8.661,triangle,no_load
0.105545,0.0,0.5713,0.2161,0.3552,0.0,-1.945,triangle,no_load
0.115874,0.0,0.5713,0.1663,0.4050,0.0,-4.987,triangle,no_load
0.126115,0.0,0.5713,0.1266,0.4447,0.0,-3.966,triangle,no_load
0.137152,0.0,0.5713,0.0953,0.4760,0.0,-3.133,triangle,no_load
0.147668,0.0,0.5713,0.0707,0.5006,0.0,-2.453,triangle,no_load
0.158274,0.0,0.5713,0.0518,0.5195,0.0,-1.898,triangle,no_load
0.169012,0.0,0.5713,0.0373,0.5340,0.0,-1.445,triangle,no_load
0.179385,0.0,0.5713,0.0266,0.5447,0.0,-1.075,triangle,no_load
0.189569,0.0,0.5713,0.0188,0.5525,0.0,-0.773,triangle,no_load
0.200607,0.0,0.5713,-0.0582,0.6295,0.0,-5.138,triangle,no_load
0.211052,0.0,0.5713,-0.0606,0.6319,0.0,-0.240,triangle,no_load
0.22124,0.0,0.5713,-0.0616,0.6329,0.0,-0.091,triangle,no_load
0.2316,0.0,0.5713,-0.0613,0.6326,0.0,0.030,triangle,no_load
0.241992,0.0,0.5713,-0.0600,0.6313,0.0,0.128,triangle,no_load
0.252069,0.0,0.5713,-0.0579,0.6292,0.0,0.209,triangle,no_load
0.26223,0.0,0.5713,-0.0551,0.6264,0.0,0.275,triangle,no_load
0.273224,0.0,0.5713,-0.0519,0.6232,0.0,0.329,triangle,no_load
0.284172,0.0,0.5713,-0.0481,0.6194,0.0,0.372,triangle,no_load
0.294948,0.0,0.5713,-0.0441,0.6154,0.0,0.408,triangle,no_load
0.305291,0.0,0.5713,0.0325,0.5388,0.0,5.106,triangle,no_load
0.315581,0.0,0.5713,0.0373,0.5340,0.0,0.472,triangle,no_load
0.326417,0.0,0.5713,0.0421,0.5292,0.0,0.489,triangle,no_load
0.336569,0.0,0.5713,0.0472,0.5241,0.0,0.503,triangle,no_load
0.347077,0.0,0.5713,0.0523,0.5190,0.0,0.515,triangle,no_load
0.357754,0.0,0.5713,0.0576,0.5137,0.0,0.525,triangle,no_load
0.367893,0.0,0.5713,0.0629,0.5084,0.0,0.533,triangle,no_load
0.378602,0.0,0.5713,0.0683,0.5030,0.0,0.539,triangle,no_load
0.388965,0.0,0.5713,0.0737,0.4976,0.0,0.544,triangle,no_load
0.399738,0.0,0.5713,0.0792,0.4921,0.0,0.548,triangle,no_load
0.410344,0.0,0.5713,0.0176,0.5537,0.0,-4.110,triangle,no_load
0.421368,0.0,0.5713,0.0231,0.5482,0.0,0.556,triangle,no_load
0.431602,0.0,0.5713,0.0287,0.5426,0.0,0.558,triangle,no_load
0.441749,0.0,0.5713,0.0343,0.5370,0.0,0.560,triangle,no_load
0.452754,0.0,0.5713,0.0399,0.5314,0.0,0.561,triangle,no_load
